job_title,employer,employer_type,location,summary,contains_information,contains_analysis,contains_data
HR & Recruitment Advisor,Malaria Consortium,NONPROFIT,London,"Malaria Consortium is recruiting for HR &amp; Recruitment Advisors to join our team in London, UK . The post holder is responsible for providing a professional and effective human resource support for managers and staff in a portfolio of countries, and provides advice to country management teams on local staff employment. This post holder is also responsible for reviewing and implementing HR policies &amp; procedures, and for leading on specific HR projects and initiatives such as salary reviews, employee engagement surveys. The successful candidate will have: Degree in a Human Resources related field Intermediate CIPD qualified or above or equivalent Experience of providing an HR service to a multi-site operation in the development or humanitarian sectors Good working knowledge of current UK employment law Strong experience of developing and implementing HR policies, procedures, and projects Strong experience of managing and undertaking a high quality high volume recruitment process at a senior level Strong experience of providing a broad range of high quality HR policy advice (including disciplinary and grievance) to managers and staff Strong experience of dealing with complex employee relations issues in different countries Strong experience of developing and communicating HR management information Good experience of undertaking and supervising payroll Excellent written and spoken English Experience of establishing strong working relationships with colleagues in different positions and cultures Ability to demonstrate a flexible approach to managing and prioritising a high workload and multiple tasks in a fast paced environment with tight deadlines Experience of proactively identifying and addressing issues * Due to the urgency of this role CVs will be reviewed on an ongoing basis, therefore early application is encouraged. ** All candidates must have the right to work in the UK.",TRUE,FALSE,FALSE
Senior HR & Systems Officer,Malaria Consortium,NONPROFIT,London,"Malaria Consortium is recruiting for a Senior HR &amp; Systems Officer to join our team in London, UK . The Senior Human Resources and Systems Officer is the global systems administrator for the human resource information system (HRIS), Cascade, to act as a point of contact and provide general human resource support on policies, procedures and benefits of UK based and globally relocated staff. The Senior Human Resources and Systems Officer is also responsible for supporting the Human Resources Director with the administration of complex employment relations cases, reporting, HR insurances and providers and compilation of UK and Global payrolls. The post holder provides a link between the country offices to ensure the quality of employees is managed with a consistent approach and high quality standards across Malaria Consortium. The successful candidate will have: A degree in a Human Resources related field Foundation CIPD Qualified or above or equivalent Strong knowledge and experience of administering an HRIS Experience of supporting colleagues to use HRIS at a distance Previous experience of producing reports and management information Experience of working on a multinational environment Strong experience in a human resources support role; including preparation of contracts and supporting stakeholders * Due to the urgency of the role CVs will be reviewed on an ongoing basis, therefore early application is encouraged. **All candidates must have the right to work in the UK.",TRUE,FALSE,FALSE
Networking and Investor Event @  DEMO Day: Collective Global Accelerator Cohort 2018,The Collective Foundation,NONPROFIT,London,"The Collective Global Accelerator will be hosting a cohort of eleven start-ups that will spend the month of June preparing, developing and perfecting their businesses. These participants come from across the globe; from South Africa to Vietnam to Turkey. Come to DEMO day to learn about the future of the entrepreneurial world across four distinct start-up categories. Human Connection Health and Well-being Education and Opportunity Circular Economy This is a one-time event will give you an opportunity to learn about these industries and the entrepreneurial ventures that are taking them over. The start-ups will be open to questions, challenges, and funding opportunities from interested parties.",FALSE,FALSE,FALSE
Digital Associate (London),Global Health Strategies,CONSULTANT,London,"Digital Content Associate – Communications &amp; Advocacy The Digital Content Associate designs and produces visual and digital content and assets to support client digital engagement strategies. Global Health Strategies (GHS) London Office is looking for a self-starting, independent team member with outstanding visual design and digital skills to create digital assets in support of our clients’ digital engagement strategies. The ideal candidate will have visual and interactive design work experience (preferably agency experience); an intimate knowledge of visual and digital tools and trends; and solid understanding of content architecture, professional graphic design standards, web development and user interface design. He/she will also be passionate about creating positive change for the issues GHS works on. RESPONSIBILITIES • Work with client teams to advise on and produce digital and visual assets in accordance with project objectives and strategies • Design and produce social media advertising, support graphics, animations and videos (statics, gifs, infographics, etc.) for platforms including Facebook, Twitter, Pinterest, Google Plus, Instagram and Periscope • Develop websites / web portals to support international conferences, advocacy campaigns and report launches • Develop innovative design solutions in support of email campaigns, marketing collateral and select printed materials • Assist with improving and maintaining the GHS company website • Maintain relevancy in the field by monitoring digital trends, attending workshops and joining professional groups (both relevant to global health and in different disciplines) and sharing innovations with the team REQUIREMENTS • 2+ years of relevant work experience • Bachelor’s degree in a related field SKILLS • Expertise using the Adobe suite of software, including InDesign, Photoshop, and Illustrator • Experience with front-end web development including HTML and JavaScript and working knowledge of leading web-based and hosted CMS platforms • Experience with the creation of mobile optimized HTML email templates for MailChimp, Constant Contact and other leading email marketing platforms • Experience in interface design principles including color theory, interactivity, typography and photography • Knowledge of social media platform content types including requirements for visual assets including share graphics, videos, etc. • Experience with social video editing – GIFs, Instagram, Vine, etc. • Thorough knowledge of MS-Office Suite (Word, Excel, PowerPoint, Access) QUALITIES • Strong conceptual thinking • Natural storyteller with the ability to leverage digital tactics to bring stories to life • Problem solver • Curious about new technologies and digital trends • Not afraid to try new approaches and propose new solutions • Interpersonal skills and ability to interact and work with staff at all levels • Ability to work independently and in a team environment • Willingness to take initiative and to follow through on projects • Strong organizational skills and attention to detail • Excellent time management skills, with the ability to prioritize and multitask, and work under shifting deadlines in a fast-paced environment HOW TO APPLY Please submit your resume, cover letter and portfolio via the provided link. Global Health Strategies provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics.",FALSE,FALSE,FALSE
Project Manager- Tanzania,Frontier; The Society for Environmental Exploration,NONPROFIT,London,"Contract Duration: Permanent, after successful completion of probation period. PRIMARY FUNCTION This is a unique opportunity to independently manage and develop Frontier’s overseas projects in the field with supervision from the London Headquarters. The Project Manager will have overall administrative control of the field projects including volunteer communications, financial management, equipment resupply and maintenance, comprehensive reporting procedures, volunteer and staff deployments, management of local relations and networks, fundraising for the project and the supervision of local staff. GENERAL OUTLINE OF THE ROLE Providing project specific information once the volunteer has paid the initial deposit; Advising and preparing volunteers with regards to their project details, insurance, arrival details, equipment requirements and kit lists; Organising appropriate visa support letters and travel paperwork; Organising the efficient reception and deployment of all volunteers; Supervising the arrival, briefing, and deployment of new project staff; Administration and control of project budgets and production of accounts and reports to London HQ; Management of all project resources and equipment of Frontier projects including sourcing, purchasing, and generally acquiring equipment for field projects; Development of new aspects to field projects or extending current programmes through liaison with national authorities, research institutes and international research, teaching, tourism and educational agencies, and preparation of project proposals to secure new contracts and funding; Administration and control of project budget, ensuring that expenditure does not exceed allocated funds. Over spending will be recovered from future budgets. Collating and reviewing internal reports and equipment inventories from projects; Ensure H&amp;S standards are maintained at all times, reviewed regularly and updated when necessary; Maintaining and managing communications between field projects, volunteers and London HQ; MAIN DUTIES &amp; RESPONSIBILITIES Send out welcome letter with introductory information to volunteers on receipt of the deposit payment; Produce, check and update information and briefing materials available to volunteers online via SysAdmin regarding the projects, medical and safety issues, insurance, kit requirements, visas, travel arrangements, and cultural issues; Read and respond to all volunteer email enquiries and feedback within 24 hours of receiving Inform volunteers of project start and end dates and ensure that those arriving/leaving outside of those dates are fully aware of meeting arrangements To ensure that all volunteers / research assistants are deployed constructively, usefully and enjoyably and will ensure the discipline and good behaviour of all members of the project team. To ensure the health and safety of all volunteers and field staff involved in the project, dealing with any medical incidents should they arise, being ready to initiate and implement an emergency medical evacuation procedure if necessary. Identify inconsistencies, duplications and mistakes in information provided to volunteers and ensure changes are made in consultation with the Head of Operations; Write references for past volunteers upon request; Monitor project prices and compare to similar projects available to ensure Frontier project prices remain competitive; Write visa, excess baggage, and fundraising support letters upon request; Provide independent reviews from outgoing volunteers on a weekly basis on websites such as Abroad Reviews. Communicate via situation reports and phone calls to London HQ and ensure that all communications are recorded effectively; Monitor project activities through reporting and updating system to London HQ and advise or enforce change as necessary; Ensure that internal reports are provided in the correct format and on time; Implementation of Frontier field project social media initiative including daily Facebook updates with copy and photos, science blog articles &amp; tweets, and weekly volunteer reviews, project news and gap year travel news directly from the field. Ensure that quarterly reports include project videos (10 minutes or longer), 150+ photos and the production of a quarterly SEE newsletter to be sent to London and uploaded on the SEE website. Identification of suppliers and the purchase and maintenance of equipment for field projects in country; Managing invoices for equipment purchases (in cooperation with the Accounts Department at London HQ); Sourcing potential sponsors and donors of equipment; Oversee and coordinating the order of equipment to field projects. Oversee the maintenance, servicing and repair of all project equipment; Identifying potential sources of funding, producing funding proposals and maintaining relationships with current and potential donors, collaborators and stakeholders; Liaising with collaborating organisations, including project donors, and technical advisors and to develop new collaborative links and projects; Researching and reporting on information relevant to the development of new projects/sites. Ensure the health and safety of all volunteers, project staff and host-country participants at all times, dealing with any medical incidents should they arise, being ready to initiate and implement an emergency medical evacuation procedure if necessary; Contract and manage local employees, and where necessary the employment of new staff and payment of wages; Supervise and arrange the arrival of new volunteers and project staff and briefing volunteers and staff on all aspects of country life upon their arrival in country; Oversee and act as internal verifier for elements of the project field training. Training: Pre-departure training provided. Accommodation: Basic accommodation provided at field project. Subsistence: Food provided on project site. Subsistence allowance provided for time spent off project site. Travel: Capped annual contribution towards a return international airfare plus internal travel as necessary to the fulfilment of duties. Insurance: Employer’s liability insurance provided.",TRUE,FALSE,FALSE
Project Coordinator - Tanzania,Frontier; The Society for Environmental Exploration,NONPROFIT,London,"Contract Duration: 6- 12 months with possibility of extension. Accommodation: Basic accommodation provided on camp. Travel: Contribution towards an international airfare provided plus internal travel as necessary to the fulfilment of duties. Insurance : Employer’s liability insurance provided. Subsistence : Food provided on project site. Subsistence allowance provided for time spent off project site. Training: BTEC assessor training &amp; pre-departure training provided PRIMARY FUNCTION The Project Coordinator will be responsible for the successful running of the project including management of volunteers, budgets, logistics and administration of the project. GENERAL OUTLINE OF THE ROLE To ensure the health and safety of all volunteers and field staff involved in the project, dealing with any medical incidents should they arise, being ready to initiate and implement an emergency medical evacuation procedure if necessary. Management, support and development of volunteers / research assistants in all aspects of their participation on the project. Organisation and supervision of camp activities and the schedule of Research Assistants camp duties. Preparation of a camp work schedule taking into account all relevant safety, physical, logistic and financial considerations. To manage local Frontier employees, camp assistant, driver, guards, as appropriate including payment of wages as and when necessary. Administration and control of project budget, ensuring that expenditure does not exceed allocated funds. Over spending will be recovered from future budgets. To develop proposals for work with other potential sites/organizations (including site visits and meetings as and when required). MAIN DUTIES &amp; RESPONSIBILITIES To oversee and arrange arrival of new volunteers and project staff, arranging immigration, visas, work permits, transport, accommodation and briefing volunteers and staff on all aspects of country life upon their arrival in country. To ensure that all volunteers / research assistants are deployed constructively, usefully and enjoyably and will ensure the discipline and good behaviour of all members of the project. To send situation reports through to LHQ each week. To send quarterly and mid-phase reports to LHQ to set deadlines including reporting on accounts, logistics, staff, equipment inventories and risk assessments. To oversee the maintenance, servicing and repair of all project equipment and camp as necessary.",FALSE,FALSE,FALSE
Principal Investigator - Tanzania,Frontier; The Society for Environmental Exploration,NONPROFIT,London,"Contract Duration: 12 months, possibility of an extension Accommodation: Basic accommodation provided at field project Travel: Capped contribution to international airfare plus internal travel as necessary to the fulfilment of duties. Insurance &amp; Admin : Employer’s liability insurance provided. Subsistence: Food provided Training: BTEC assessor training &amp; pre-departure training provided. PRIMARY FUNCTION To co-ordinate the research programme, involving overall supervision of the biological surveys and implementation of community-based conservation projects. GENERAL OUTLINE OF THE ROLE To take overall responsibility for the leadership of the project; Development and implementation of the research programme; To liaise, develop and maintain relationships with collaborators; Supervision and training of junior staff; Management, support, training and motivation of volunteers / research assistants; Preparation of project reports and publication of results in scientific journals; Preparation of project and funding proposals with the Project Coordinator or Country Coordinator and Research and Development and Operations Managers (London HQ); Representing the technical side of the project when liaising with relevant authorities, research institutes and international agencies; Assist with project logistics and administration. MAIN DUTIES &amp; RESPONSIBILITIES To manage all members of the project field staff, supervise all aspects of their survey work and provide accredited and non-accredited training where necessary to achieve the project objectives; To develop and implement a standard work programme to cover each survey component namely socio-economic survey work and biological work including vegetation surveys; bats; reptiles; and amphibians, and selected invertebrate groups; To manage, support and develop volunteers / research assistants in all aspects of their participation on the project; To supervise the collection and processing of accurate field data and specimen collections for all survey components; To ensure that the specimens collected are appropriately preserved and delivered to the relevant taxonomist for identification; To liaise with taxonomists to ensure the timely identification of specimens and the incorporation of an accurate species list in each technical report; To produce technical reports, scientific papers and project planning documents to a schedule agreed with the Research and Development and Operations Managers; To assist the Operations and Research and Development Managers with technical information required for the production of project planning documents and specific funding proposals; To manage and supervise the maintenance of project resources; To liaise with other relevant organisations, including the project funding organisation, the local University, and individuals to develop the project and its scientific resources, particularly relevant scientific references; To provide the Operations and Research and Development Managers with regular progress updates; Assist with the logistical operations relating to the project including administration and management of finances; production of accounts and reports; allocation, use and maintenance of project resources; management of local staff; and supervision of the activities of and ensuring the health and safety of project staff, volunteers and host country participants.",TRUE,FALSE,TRUE
Project Manager - Madasgascar,Frontier; The Society for Environmental Exploration,NONPROFIT,London,"Contract Duration :permanent, after successful completion of probation period. Training: Pre-departure training provided. Accommodation : Basic accommodation provided at field project. Subsistence: Food provided on project site. Subsistence allowance provided for time spent off project site. Travel: Capped annual contribution towards a return international airfare plus internal travel as necessary to the fulfilment of duties. Insurance : Employer’s liability insurance provided. PRIMARY FUNCTION This is a unique opportunity to independently manage and develop Frontier’s overseas projects in the field with supervision from the London Headquarters. The Project Manager will have overall administrative control of the field projects including volunteer communications, financial management, equipment resupply and maintenance, comprehensive reporting procedures, volunteer and staff deployments, management of local relations and networks, fundraising for the project and the supervision of local staff GENERAL OUTLINE OF THE ROLE Providing project specific information once the volunteer has paid the initial deposit; Advising and preparing volunteers with regards to their project details, insurance, arrival details, equipment requirements and kit lists; Organising appropriate visa support letters and travel paperwork; Organising the efficient reception and deployment of all volunteers; Supervising the arrival, briefing, and deployment of new project staff; Administration and control of project budgets and production of accounts and reports to London HQ; Management of all project resources and equipment of Frontier projects including sourcing, purchasing, and generally acquiring equipment for field projects; Development of new aspects to field projects or extending current programmes through liaison with national authorities, research institutes and international research, teaching, tourism and educational agencies, and preparation of project proposals to secure new contracts and funding; Administration and control of project budget, ensuring that expenditure does not exceed allocated funds. Over spending will be recovered from future budgets. Collating and reviewing internal reports and equipment inventories from projects; Ensure H&amp;S standards are maintained at all times, reviewed regularly and updated when necessary; Maintaining and managing communications between field projects, volunteers and London HQ; MAIN DUTIES &amp; RESPONSIBILITIES Send out welcome letter with introductory information to volunteers on receipt of the deposit payment; Produce, check and update information and briefing materials available to volunteers online via Sysadmin regarding the projects, medical and safety issues, insurance, kit requirements, visas, travel arrangements, and cultural issues; Read and respond to all volunteer email enquiries and feedback within 24 hours of receiving; Inform volunteers of project start and end dates and ensure that those arriving/leaving outside of those dates are fully aware of meeting arrangements; To ensure that all volunteers / research assistants are deployed constructively, usefully and enjoyably and will ensure the discipline and good behaviour of all members of the project team. To ensure the health and safety of all volunteers and field staff involved in the project, dealing with any medical incidents should they arise, being ready to initiate and implement an emergency medical evacuation procedure if necessary. Identify inconsistencies, duplications and mistakes in information provided to volunteers and ensure changes are made in consultation with the Head of Operations; Write references for past volunteers upon request; Monitor project prices and compare to similar projects available to ensure Frontier project prices remain competitive; Write visa, excess baggage, and fundraising support letters upon request; Provide independent reviews from outgoing volunteers on a weekly basis on websites such as Abroad Reviews. Communicate via situation reports and phone calls to London HQ and ensure that all communications are recorded effectively; Monitor project activities through reporting and updating system to London HQ and advise or enforce change as necessary; Ensure that internal reports are provided in the correct format and on time; Implementation of Frontier field project social media initiative including daily Facebook updates with copy and photos, science blog articles &amp; tweets, and weekly volunteer reviews, project news and gap year travel news directly from the field. Ensure that quarterly reports include project videos (10 minutes or longer), 150+ photos and the production of a quarterly SEE newsletter to be sent to London and uploaded on the SEE website. Identification of suppliers and the purchase and maintenance of equipment for field projects in country; Managing invoices for equipment purchases (in cooperation with the Accounts Department at London HQ); Sourcing potential sponsors and donors of equipment; Oversee and coordinating the order of equipment to field projects. Oversee the maintenance, servicing and repair of all project equipment; Identifying potential sources of funding, producing funding proposals and maintaining relationships with current and potential donors, collaborators and stakeholders; Liaising with collaborating organisations, including project donors, and technical advisors and to develop new collaborative links and projects; Researching and reporting on information relevant to the development of new projects/sites. Ensure the health and safety of all volunteers, project staff and host-country participants at all times, dealing with any medical incidents should they arise, being ready to initiate and implement an emergency medical evacuation procedure if necessary; Contract and manage local employees, and where necessary the employment of new staff and payment of wages; Supervise and arrange the arrival of new volunteers and project staff and briefing volunteers and staff on all aspects of country life upon their arrival in country; Oversee and act as internal verifier for elements of the project field training",TRUE,FALSE,FALSE
Project Coordinator - Madagascar,Frontier; The Society for Environmental Exploration,NONPROFIT,London,"Contract duration: 12 months, possibility of extension. PRIMARY FUNCTION Responsible for the successful running of the project including management of volunteers, logistics and administration of the project GENERAL OUTLINE OF THE ROLE - To ensure the health and safety of all volunteers and field staff involved in the project, dealing with any medical incidents should they arise, being ready to initiate and implement an emergency medical evacuation procedure if necessary. - Management, support and development of volunteers / research assistants in all aspects of their participation on the project. - Organisation and supervision of camp activities and the schedule of Research Assistants camp duties. Preparation of a camp work schedule taking into account all relevant safety, physical, logistic and financial considerations. - To manage local Frontier employees, camp assistant, driver, guards, as appropriate including payment of wages as and when necessary. - Administration and control of project budget, ensuring that expenditure does not exceed allocated funds. Over spending will be recovered from future budgets. - To develop proposals for work with other potential sites/organizations (including site visits and meetings as and when required). TERMS &amp; CONDITIONS Contract Duration: 12 months, possibility of extension. Accommodation: Basic accommodation provided on camp. Travel: Capped contribution towards international airfare provided, plus internal travel as necessary to the fulfilment of duties. Insurance: Employer’s liability insurance provided. Subsistence: Food provided on project site. Subsistence allowance provided for time spent off project site. Salary: £150 per quarter plus £150-250 end of contract bonus. Training: BTEC assessor training &amp; pre-departure training provided MAIN DUTIES &amp; RESPONSIBILITIES - To oversee and arrange arrival of new volunteers and project staff, arranging immigration, visas, work permits, transport, accommodation and briefing volunteers and staff on all aspects of country life upon their arrival in country. - To ensure that all volunteers / research assistants are deployed constructively, usefully and enjoyably and will ensure the discipline and good behaviour of all members of the project. - To act as deputy to the Principle Investigator and take on overall leadership of the project should the necessity arise. - To send through RA updates to LHQ during weeks 1, 4 and 10 of projects - To send situation reports through to LHQ each Tuesday. - To send quarterly and mid-phase reports to LHQ to set deadlines including reporting on accounts, logistics, staff, equipment inventories and risk assessments. - To oversee the maintenance, servicing and repair of all project equipment and camp as necessary.",FALSE,FALSE,FALSE
Campaign Manager,The Syria Campaign,NONPROFIT,London,"ABOUT THE ROLE The Campaign Manager will lead teams of creative and talented campaigners to develop new campaigns, programmatic work and creative interventions to support Syria’s heroic civil society. They will be responsible for delivering campaigns that place the work of Syria’s frontline heroes on front pages around the world and carry their voices into the corridors of power. ABOUT YOU You are a maker. You are motivated by ideas and driven to make things happen. You spot opportunities for impact and are comfortable with both scrappy quick turn around and large-scale campaigns. You are an activist. You never stop thinking about power, who has it and how can we change it. You know that no-one is free until we’re all free and are excited to work to support some of humanity’s biggest heroes. You are a creative communicator. You make efforts to communicate with clarity, passion and thoughtfulness. You understand the world is changed by the stories we tell and are excited to be part of that change. You take risks. You know that sometimes what is needed hasn’t been done before so you’re willing to take risks to make things happen. You are results-focused and won’t allow process, dogma or jargon to get in the way. You are open to new paths to progress. You are strategic. You have your eyes on the prize and can develop the right strategies and interventions to get there. You’re not blinded by vanity metrics and care about the lasting impact of your work. You build relationships. You know that strong relationships and teamwork is the key to getting things done inside the team and with partners beyond. You are values driven. You are motivated by a love for humanity rooted by a strong belief in human rights. You want to work to support some of humanity’s heroes to get their voices into the world. ABOUT US The Syria Campaign is a human rights organisation that combines the best elements of creative communication, digital mobilization, storytelling, and political analysis with the aim of supporting the demands of some of the most courageous frontline humanitarians and activists in the world. Click here if you want to see more about the work we’ve done to date. You don’t need to be an expert on Syria, we’ve got that covered. We need people who excel at one of the following: creative ideas and content, communications, digital mobilization and campaign strategy (or all of the above - unicorns welcome) and are excited to create campaigns that can save lives. ROLE REQUIREMENTS: THE ESSENTIALS • Track record of involvement in cross-platform campaigns that have had impact • Track record of excellence within advocacy, storytelling, digital mobilization or content creation • Strong teamwork skills, comfortable in a highly collaborative team culture and a hierarchical team structure ROLE REQUIREMENTS: THE BIG PLUSES • Arabic language preferred but not essential • Experience of working on Syria or other conflict or post-conflict contexts • Experience of managing project teams and budgets THE DEAL The Syria Campaign is committed to making sure everyone on the team is happy, productive and motivated. Here’s how we do that: Salary is competitive and inline with international organisations. The job is remote and can be done anywhere in European, Middle Eastern or East Coast US time zones. We have small offices in New York, Beirut and London and provide you with a space in a co-working office wherever you are based. We have full staff retreats twice a year to keep us connected. We provide budget, time and support for your professional development. We give 25 days of leave a year, discretionary break over Christmas and New Year and public holidays. We offer family friendly parental leave policies. We are an equal opportunity employer and encourage applicants of diverse backgrounds. To apply, please submit an application by clicking on ""apply for this opening"" below and include a brief cover letter explaining why you are interested in the job and how your background has prepared you for this role. This role will remain open until we find our all-star new member. We are actively reviewing applications.",FALSE,TRUE,FALSE
Executive Assistant,Equality Now,NONPROFIT,london,"Job Description Position: Executive Assistant Location: London, UK Term: Full time Hours: 40 hours a week Salary: Circa £30,000 per annum Summary Equality Now are looking for someone to support our Director of Programmes and our Director of Marketing and Communications to do their jobs more effectively and efficiently. Equality Now is a dynamic, exciting and rewarding place to work. Expect to be challenged and to be part of a hard-working, lively and committed team. We need someone that is: Upbeat, energetic and proactive Creative, takes initiative and supports others to step up Organised, takes instruction and pays attention to the detail An excellent communicator – oral, written and visual Hard working, timely and IT savvy Key responsibilities Day to day work would include supporting the two Directors with: Co-ordinating the meetings, minutes and actions of the Global Strategy Team Writing compelling internal briefs and summaries of information and actions Diary and message management Document management – e filing Internal communications: Collecting and collating information from staff members across the organisation; facilitating feedback, idea sessions and information sharing; ensuring these are shared with the wider organisation Creating and updating presentations Travel management – bookings Basic expense accounting Creating organisational reporting dashboards Skills and Experience Essential Highly organised and personable individual with a minimum of 4 years experience Experience of working and managing complex spreadsheets Writing and editorial skills Accurate and concise note taking Confident in the tools of Microsoft Office Summarising text into slideshows Ability to update website content Working with meeting communication channels i.e. Video/teleconferencing Desired: Confident in Prezi Experience of working on internal communications plans and creating internal comms content",TRUE,FALSE,FALSE
"Production Manager, Mozilla Festival",Mozilla Foundation,NONPROFIT,London,"The nonprofit Mozilla Foundation is passionate about the Internet remaining a global public resource that is open and accessible to all. Our work is guided by the Mozilla Manifesto . The direct work of the Mozilla Foundation focuses on fueling the movement for an open Internet. We do this by connecting open Internet leaders with each other and by mobilizing grassroots activists around the world. Mozilla Festival (MozFest) is the world’s leading event for and by the open Internet movement, and one of Mozilla Foundation’s largest annual networking opportunities. It’s a seven day extravaganza of interactive workshops, films, art installations and engaging talks across 2 venues in London. The festival welcomes up to 2500 passionate advocates of the open web from across the world and is one of the flagship events of Mozilla’s leadership network. MozFest 2018 will take place October 22nd to the 28th. The Events and Training team at the Mozilla Foundation is responsible for planning and producing MozFest each year. We are seeking a Production Manager to join our team, who will coordinate and oversee the MozFest weekend, from October 26th to the 29th. In this role, you will lead and deliver the main weekend event of the festival at Ravensbourne College. You will have an excellent opportunity to work on a community-driven, participatory event with creative, dedicated global teams while actively playing big role in the overall design and success. You will be responsible for: Crafting and executing the production of a 3-day weekend technology festival Producing an array of experiences from social gatherings, dinners, exhibitions and workshops Handling relationships with cross-organisational teams, contractors and vendors Producing production schedules, call sheets and floor plans Building Health &amp; Safety documentation with accuracy and due diligence Managing budget, including invoicing status and vendor payments Documenting the working process in an open and collaborative way Supporting the Festival Director with program design and the curation process Supporting cross-team and partner activations over the festival period You have the following essential qualifications: At least 3 years of live event management experience You’ve excelled at delivering a variety of events from launches to speaker series, to large scale interactive experiences You have exceptional organisation skills, with experience of running projects to deadlines You have experience leading a diverse team to success You are highly experienced in budget management You have excellent scheduling and time managements skills You are approachable &amp; insightful You have the following desirable qualifications: AV Knowledge Experience in producing interactive events for diverse audiences Understanding of open source and the Mozilla Mission We are an equal opportunity employer and value diversity. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. Job Type: Fixed-term, full-time employment Start date: May 2018 End date: November 2018 Location: UK or Germany",FALSE,FALSE,FALSE
Programme Manager - Accelerating Localisation through Partnerships,Christian Aid,NONPROFIT,London,"About us Christian Aid is a development and humanitarian organisation working to improve the lives of the world’s most vulnerable people and eliminate poverty. We work primarily through national and local partner organisations whose close knowledge of the communities they serve leaves them well-positioned to identify and deliver the assistance and protection that the vulnerable people they work with require. About the role Christian Aid has won a grant from a major donor for a consortium programme in 4 countries – Myanmar, Nepal, Nigeria and South Sudan – to help move forward the World Humanitarian Summit localisation of humanitarian aid agenda by researching and piloting best practice in partnerships and by supporting national NGO networks in national and international leadership of humanitarian response. The programme manager would be responsible for ensuring the effective delivery of this complex programme, including timely and high quality narrative and financial reporting to the donor, maintaining effective relationships with the 6 international NGO consortium members, and managing the country-level project managers and helping them to move forward the work effectively with many national and local NGOs at country level. About you You will have strong experience of managing complex programmes with ECHO or a similar donor; of working in multi-stakeholder consortia; and of managing humanitarian programming with national NGO partner organisations. You will be very familiar with the World Humanitarian Summit and Grand Bargain agendas, and have a strong personal commitment to localisation. You will have excellent inter-personal skills; enjoy working in teams; and have excellent project management skills. This is a great opportunity to be involved in a challenging, innovative and high profile localisation programme at the centre of the Grand Bargain and to make a real difference in turning the Grand Bargain localisation rhetoric into concrete action at country level. Further information Application is by submission of a CV with supporting statement. In your statement, please ensure you address the skills and experience requirements contained in the role profile. To apply please follow the link below. Interviews will take place on 9 th November. This role requires applicants to have the right to work in the UK. We value diversity and aspire to reflect this in its workforce. We welcome applications from people from all sections of the community, irrespective of race, colour, gender, age, disability, sexual orientation, religion or belief. You can expect a wide range of rewards and benefits, including a generous holiday allowance, a season ticket loan, and flexibility that will ensure you enjoy a good work/life balance.",TRUE,FALSE,FALSE
Policy and Advocacy Manager,Malaria Consortium,NONPROFIT,London,"Malaria Consortium is recruiting for a Policy and Advocacy Manager to join our team in London, UK . The Policy and Advocacy Manager leads on organisational advocacy from a global perspective, including the delivery of advocacy projects and activities to support Malaria Consortium’s international profile. The role works with senior management to develop and maintain the organisation’s position and its issues in the UK, Europe and globally. The Policy and Advocacy Manager develops innovative and creative advocacy campaigns, driving core elements of our external positioning in support of the organisation’s strategic objectives. He/she is responsible for representing the organisation in both formal and ad hoc advocacy networks and groups, and with parliamentarians, policy makers and other key stakeholders. The successful candidate will have: Masters in Development Studies, Social Policy, Development Economics or similar field, or equivalent work experience Extensive experience in a similar advocacy role Excellent knowledge of international development and development policy frameworks, such as aid effectiveness mechanisms, SDG frameworks, etc. Extensive experience of working in networks and building strong working relationships with a range of stakeholders Excellent knowledge of UK Parliamentary system and policy development and influencing processes Strong knowledge of major trends and current issues in global health and policy in an international development context Strong knowledge of major bilateral and multilateral donors and their funding interests/priorities Strong experience of event organisation and management Strong experience of managing and monitoring donor relations Strong experience of monitoring and evaluating advocacy activities for impact Good understanding of social media for outreach **All applicants must have the right to work in the UK",FALSE,FALSE,FALSE
