job_title,employer,location,summary,contains_information,contains_analysis,contains_data
Stock Worker and Receive $13.59/hrr,Sodexo Inc.,"Washington, DC","Description/Job Summary Job Overview: The Stock Worker and Receiver is responsible for receiving merchandise, unloading or unpacking it, marking it with codes to be identified, stocking shelves, and helping customers place orders. They work in stores, warehouses, stockrooms, and other storage facilities. The general responsibilities of the position include those listed below, but Sodexo may identify other responsibilities of the position. These responsibilities may differ among accounts, depending on business necessities and client requirements. General Responsibilities: Verifies and keeps records on incoming and outgoing shipments and prepares items for shipment. Receives, lifts, moves, stores, issues, counts, sorts, weighs and verifies items on requisitions or invoices. Receives and processes a wider variety of incoming freight, including stationery supplies, chemicals, electronic equipment, and other materials on a daily basis across perimeter buildings and according to priority. Compares incoming and outgoing shipments to bills of lading, invoices, orders, or other records to verify information. Determines method of shipment, utilizing knowledge of shipping procedures, routes, and rates. Unpacks and examines incoming shipments, rejects damaged items, records shortages, and corresponds with shipper to rectify damages and shortages. Fills orders, issues supplies from stock and rotates stock to ensure freshness. Resolves delivery problems using a computerized account payable/purchasing system. Assembles and delivers equipment such as glassware carts. Utilizes in-house inventory tracking system. Prepares assets for distribution, including transportation and storage. Returns damaged items or other items to vendors that do not meet Sodexo specifications. Maintains cleanliness and orderliness of storage areas by sweeping and mopping. Provides security for all stock in the storeroom and/or refrigerator/freezer. Follows all safety requirements of Sodexo, the facility, local, state and federal jurisdictions. May move or transport materials or supplies to other departments using hand or industrial trucks. Complies with all Sodexo HACCP/OSHA, and/ or local policies and procedures related to all assigned work. Reports all accidents and injuries in a timely manner. Complies with all company safety and risk management policies and procedures. Participates in regular safety meetings, safety training and hazard assessments. Attends training programs (classroom and virtual) as designated. May perform other duties and responsibilities as assigned. Job Qualifications:Experience/Knowledge: High School diploma, GED, or equivalent experience. No previous work experience necessary. Skills/Aptitude: Presents self in a highly professional manner to others and understands that honesty and ethics are essential. Ability to maintain a positive attitude. Ability to communicate with co-workers and other departments with professionalism and respect. Maintains a professional relationship with all coworkers, vendor representatives, supervisors, managers, customers, and client representatives. Ability to use a computer. License/Qualifications Certifications: None. General Qualifications: Willingness to be open to learning and growing. Maturity of judgment and behavior. Maintains high standards for work areas and appearance. Maintains a positive attitude. Ability to work a flexible schedule helpful. Must comply with any dress code requirements. Must be able to work nights, weekends and some holidays. Attends work and shows up for scheduled shift on time with satisfactory regularity. Physical Requirements: Close vision, distance vision, peripheral vision, depth perception and the ability to adjust focus, with or without corrective lenses. Significant walking or other means of mobility. Ability to work in a standing position for long periods of time (up to 8 hours). Ability to reach, bend, stoop, push and/or pull, and frequently lift up to 35 pounds and occasionally lift/move 40 pounds. Working Conditions (may add additional conditions specific to defined work location): Generally in an indoor setting; however, may supervise outside activities and events. Varying schedule to include evenings, holidays, weekends and extended hours as business dictates. While performing the duties of this job, the employee is primarily in a controlled, temperate environment; however, may be exposed to heat/cold during support of outside activities. The noise level in the work environment is usually moderate to loud. Details Title: Pantry Attendant Standard Workweek: Monday-Friday, 10:00 AM-6:30 PM (Lunch-12:30-1; Break - 3:45-4) Hours may change based on business needs Job Code: UY4075 Unit: Fannie Mae Midtown Center Department: Foodservice Reports To: General Manager Rate: $13.59 Number of Vacancies: One (1) Expected Start Date: May 1, 2018 Job Overview: The Pantry Attendant is responsible for receiving merchandise, unloading or unpacking it, marking it with codes to be identified, stocking shelves, and helping place orders. This is a customer facing position - candidates must be polished and have a friendly and welcoming personality.  The general responsibilities of the position include those listed below, but Sodexo may identify other responsibilities of the position. These responsibilities may differ among accounts, depending on business necessities and client requirements. Daily Tasks: Maintains supplies in coffee machines (coffee beans, milk, hot cocoa, chai tea, etc...) Maintains cleanliness and operation of machine internally, empties drip tray and coffee grind catch Verifies and keeps records on incoming and outgoing shipments Stocks dry supplies (sugars, teas, etc...) Takes supply inventory, Writes order lists Receives, lifts, moves, stores, issues, counts, sorts, weighs and verifies items on requisitions or invoices. Unpacks and examines incoming shipments, rejects damaged items, records shortages and corresponds with management to rectify damages and shortages. Fills orders, issues supply from stock and rotates stock to ensure freshness. Utilizes in-house inventory tracking system. Prepares assets for distribution, including transportation and storage. Returns damaged items or other items to vendors that do not meet Sodexo specifications. Maintains cleanliness and orderliness of storage areas by sweeping and mopping. Maintains cleanliness in coordination with facilities Manages stock in the storeroom and/or refrigerator/freezer. Follows all safety requirements of Sodexo, the facility, local, state and federal jurisdictions. Move or transport materials or supplies to other departments using hand or industrial trucks. Clean conference rooms of catering items and deliver to be cleaned, coordinate with catering team as needed Assemble and deliver equipment such as glassware and china carts. Assist in ware washing Reports all accidents and injuries in a timely manner Participates in regular safety meetings, safety training and hazard assessments. Complies with all Sodexo HACCP/OSHA, and/ or local policies and procedures related to all assigned work. Key stocking/cleaning times - 7 AM; 10 AM; 1 PM; 3 PM) Skills/Aptitude: Ideal candidates will possess following attributes - flexibility with scope of work and timing of needs, welcoming and friendly personality ability to stay ahead of needs communication with management for issues and supply needs. Presents self in a highly professional manner to others and understands that honesty and ethics are essential. Ability to maintain a positive attitude. Maintains a professional relationship with all coworkers, vendor representatives, supervisors, managers, customers, and client representatives. Willingness to be open to learning and growing. Maturity of judgment and behavior. Maintains high standards for work areas and appearance. Must comply with any dress code requirements. Attends work and shows up for scheduled shift on time with satisfactory regularity. Physical Requirements: Close vision, distance vision, peripheral vision, depth perception and the ability to adjust focus, with or without corrective lenses. Significant walking or other means of mobility. Ability to work in a standing position for long periods of time (up to 8 hours). Ability to reach, bend, stoop, push and/or pull, and frequently lift up to 35 pounds and occasionally lift/move 40 pounds. Working Conditions (may add additional conditions specific to defined work location): Generally, in an indoor setting; however, may supervise outside activities and events. Varying schedule to include evenings, holidays, weekends and extended hours as business dictates. While performing the duties of this job, the employee is primarily in a controlled, temperate environment; however, may be exposed to heat/cold during support of outside activities. The noise level in the work environment is usually moderate to loud Experience/Knowledge: High School diploma, GED or equivalent experience. 0 to 1 or more years of related work experience.",TRUE,FALSE,FALSE
Ice Cream Server,Baskin Robbins Ice Cream.,"Washington, DC 20008","You (the crew) are about to be employed at one of the best Baskin-Robbins stores in Washington DC. Such status comes with certain commitment and expectation, and you will be expected to maintain the high standards set by us.Apply if you think you possess the following characteristic:1. Honesty2. Hard working habit3. Sincerity4. Positive attitude5. Friendly demeanor6. Will to achieve a goal7. Motivation to improve oneself8. Responsible9. Diligent10. Desire to make customers happyYour daily routine:Create specialized ice cream combinationsPromote the brand and offer positive customer serviceUtilize POS systems to perform financial transactionsMaintain store cleanliness and appearanceAssist in ice cream preparationServe ice cream, beverages etc.Maintain a clean work environment; perform closing and opening dutiesExperience not required, prior experience preferred.Job Types: Part-time, TemporarySalary: $12.50 to $13.00 /hourRequired experience:Server: 1 yearice cream store: 1 yearRequired education:High school",FALSE,FALSE,FALSE
Insight Assistant,USA research,"Washington, DC 20008","Assist with research projects by sharing details about your daily lifeOverview: Are you looking for interesting part-time work? Are you comfortable answering broad questions about your daily habits and life such as talking about what you do for fun, what you did last week, what a past job was like, or what things you worry about?Our organization is looking to hire several âInsight Assistantsâ to help us with our research projects. Your job will be to help us get to know you over a series of 1 hour in-person meetings. We are interested in learning more about peopleâs lives in order to determine what future research areas would be most interesting to pursue.As an Insight Assistant, you will get paid $25 cash per 1-hour meeting. The meetings will all be in a public but quiet place in the area of Bethesda, MD (for example, a coffee or tea shop). During the meetings a member of our team will ask you a series of open-ended research questions to learn more about you. Insight Assistants will be interviewed between one and twenty times over the next few months. The number of interviews depends on how our research progresses and whether you want to continue being interviewed and continue providing us insights.Who we are: An organization conducting broad research on Americans and their everyday lives in order to determine narrower topics for future research. Our goal is to find interesting insights and patterns by working with our Insight Assistants and conducting many interviews over a period of time.Who you are: Skills and abilitiesFluent English speaker : the in-person meetings will all be conducted in English and it is important that you understand the researcherâs questions and that they can understand your answers.Strong communicator : you find it easy to express yourself and enjoy communicating with others.Strong ability for personal reflection and willingness to share openly : you find it easy to reflect on your life and enjoy talking about yourself when asked.Educational and Work ExperienceAt least a high school diploma or GED.Legally authorized to work in the U.S.OtherMust be willing and able to travel to Bethesda area for the paid in-person meetings.TO APPLY: Please fill out this Google form: https://goo.gl/forms/wBYhWyqASOiI6ZQC2.Accepted candidates will be notified by email. Once they accept, they will be contacted by a member of our team in order to find a convenient time for the first paid meeting.Job Type: Part-timeSalary: $25.00 /hour",FALSE,FALSE,FALSE
Entry Level Analyst,"Attain, LLC","Washington, DC","Who We Seek: Passion Seekers. You genuinely care about the work that you do and its impact on society. Self-Starters. You’re a go-getter who isn’t afraid to step up and disrupt the status quo. Entrepreneurs. You bring fresh ideas to the table, work hard, develop business and consistently seek new challenges. Collaborators. You’re a great contributor to a high performing team that accomplishes great feats for our clients. What You Need: Must be local to D.C. Metro Area. Bachelor’s degree required. Degrees in Business, Communications, Computer Science, Engineering, or other Technical Fields preferred. Ability to learn at a fast pace and be able to communicate effectively both written and orally. Demonstrated ability to work with system owners, business owners, technical teams, and functional teams to design, implement, test, and validate a system. Must be skilled in MS SharePoint, all MS Office products (Word, Excel, PPT). Ability to effectively prioritize and execute tasks in a high-pressure environment. Strong customer service skills and customer relationship management experience. Excellent organization, communication and writing skills, and have the ability to express yourself in technical discussion via strategy, implementation and design of application environments. Ability to obtain and maintain a Public Trust security clearance. Additional Qualifications: Project Management experience a plus. Change Management experience a plus. Strong Customer Relationship Management experience, preferably with Government clients. Business Process Modeling (process diagramming). Previous Professional Services firm experience. Familiarity with Agile software development methodology, processes, and techniques a plus. Familiarity with XML, XBRL, and HTML a plus. Advanced MS Excel skills, VBA. Experience in a customer-facing role. About Us: Attain is a place for great ideas and the people who have them. As a management, technology, and strategy consulting firm, our professionals provide innovative solutions to revolutionize government, education, health, and nonprofit organizations and positively impact those they serve. We are business analysts, technologists, digital strategists, managers of change, and forward thinkers, with the entrepreneurial drive to shape the future. Our team is present in 40 states and the District of Columbia. Visit www.attain.com/careers to explore your path forward with Attain.",FALSE,FALSE,FALSE
Delivery Driver,"Team Washington, Inc, - Dominos Pizza","Alexandria, VA","Are you looking for a fun filled, fast paced job with lots of opportunity for growth?We deliver that! WE NEED YOU!Smart hustle and results-driven. Demanding and customer-focused. Passionate and innovative. Fun with a family-feel. These arenât words we selected because we think they sound good. This is how actual team members describe the best aspects of the Dominoâs culture.Large Domino's Pizza franchise organization is growing and in need of motivated, friendly individuals for Delivery Experts positions in our Reston, Pan Am, and Centreville store locations. All you need is a great can-do attitude, high energy, and excellent customer rapport! We'll provide the rest.Driving for Domino's pizza is fun, with cash tips earned daily, mileage reimbursed daily and a bi-weekly paycheck. Delivery drivers can earn up to $18 per hour or more! If you are looking for a part-time job, this is the job for you! Applicants must be able to work in the US, should have a safe reliable car, insurance in your name and be able to pass an MVR.Many of our team members began their careers as delivery drivers and today are successful Dominoâs franchise owners. From delivery driver to management, general manager to regional director or franchisee, our stores offer a world of opportunity.Submit your application at https://www.jobs.dominos.com or apply atPAN AMhttps://jobs.dominos.com/dominos-careers/job-listing/5889BR/?Codes=indRESTONhttps://jobs.dominos.com/dominos-careers/job-listing/5904BR/?Codes=indCENTREVILLEhttps://jobs.dominos.com/dominos-careers/job-listing/5894BR/?Codes=indCall or Text Doug @ 703-785-8355MANAGEMENT POSITIONS AVAILABLEÂ¡TE NECESITAMOS! Ajetreo, inteligente y resultados impulsados. Exigente y centrado en el cliente. Apasionado e innovador. DiversiÃ³n con un ambiente familiar. Estas no son palabras que seleccionamos porque creemos que suenan bien. AsÃ­ es como los miembros del equipo real describen los mejores aspectos de la cultura de Domino.La organizaciÃ³n de franquicias de Domino's Pizza estÃ¡ creciendo y necesita personas motivadas y amigables para los puestos de Expertos en Delivery en nuestras oficinas en Pan Am, Reston, o Centreville.Todo lo que necesita es una gran actitud de poder hacer, de alta energÃ­a y excelente relaciÃ³n con el cliente! Proporcionaremos el resto.Conducir para la pizza de Domino es divertido, con consejos de efectivo ganados diariamente, kilometraje reembolsado diariamente y un cheque de pago quincenal. Los conductores de entrega pueden ganar hasta $ 18 por hora o mÃ¡s! Si usted estÃ¡ buscando un trabajo a tiempo parcial, este es el trabajo para usted!Los solicitantes deben ser capaces de trabajar en los EE.UU., debe tener un seguro de coche confiable, seguro a su nombre y ser capaz de pasar un MVR. Muchos de nuestros miembros del equipo comenzaron sus carreras como conductores de entrega y hoy son dueÃ±os exitosos de franquicia de Domino. Desde el conductor de entrega a la gerencia, gerente general a director regional o franquiciado, nuestras tiendas ofrecen un mundo de oportunidades.Porfavor envie su aplicacion a:PAN AMhttps://jobs.dominos.com/dominos-careers/job-listing/5889BR/?Codes=indRESTONhttps://jobs.dominos.com/dominos-careers/job-listing/5904BR/?Codes=indCENTREVILLEhttps://jobs.dominos.com/dominos-careers/job-listing/5894BR/?Codes=indLlama o Manda un text a Doug 703-785-8355Job Types: Full-time, Part-timeSalary: $11.50 to $17.00 /hourJob Types: Full-time, Part-timeSalary: $7.25 to $17.00 /hourExperience:Driving: 1 year (Required)License or certification:Driver's License (Required)",FALSE,FALSE,FALSE
Dog Walker,Wag!,"Washington, DC","Wag, the on-demand dog walking app, is seeking qualified dog lovers to join the platform.Are you an animal lover with dog care experience looking for part-time work? Then you can earn up to $30/hr walking dogs with Wag!Do You?Prefer working outside?Prefer to make your own schedule?Like being greeted with excitement everyday?Have You Ever?Been a dog walker, or dog sitter?Been an animal, or dog shelter volunteer?Owned a dog before?Are You?Familiar with basic training commands?Friendly and outgoing?Professional and reliable?RequirementsMust be over 18 years oldMust own an iPhone 5, or Android 4.2 or newerAbout Wag!Wag! is an on-demand dog walking service to instantly find and book a reliable, experienced and trustworthy dog walker to care for your pet when your schedule doesn't permit.Proudly featured in Forbes Magazine, Tech Crunch, NY Times, The Wall Street Journal, Chelsea Handler and much more, Wag! connects dog owners with only the best and most experienced dog walkers and sitters.Job Type: Contract",FALSE,FALSE,FALSE
Patient Services Coordinator/Medical Assistant,1138,"Washington, DC 20003","Facility open daily including weekends and holidays  Serves as the initial contact person at the medical practice, principally responsible for all front desk and reception activies. As needed, cross-trained to assist the back office as a Medical Assistant/Clinical Care Specialist/MA either during normal front office shirt or as back up for unplanned or scheduled CSS absences. Greets patients in a service oriented and professional manner, answers phones, monitors the reception area for patient comfort and potential emergencies, registers and submits charges for patients. Assists in coordinating patient care from an administrative perspective.  Qualifications EDUCATION: High school graduation or equivalent; completion of an approved Medical Assistant program. EXPERIENCE: 1 year experience working in an ambulatory care medical office, preferably in a paperless environment; minimum of externship in a medical or ambulatory health setting. 2 years back office medical experience strongly preferred. LICENSE/CERT/REG: CMA (Certified Medical Assistant) by the American Association of Medical Assistants or RMA (Registered Medical Assistant) through the American Medical Technologists within 6 months from hire date; CPR Certification. SKILLS: Ability to type 40 words per minute; basic computer skills; excellent verbal /written communication and customer service skills. Clinical competency as verified during the initial 90 day orientation period and annually thereafter. Computer and Electronic Medical Record skills and ability to function in a variable clinical setting.",FALSE,FALSE,FALSE
Medical Assistant/Medical Receptionist,1042,"Clinton, MD 20735","Serves as the initial contact person at the medical practice, principally responsible for all front desk and reception activities. As needed, cross-trained to assist the back office as a Medical Assistant either during normal front office shift or as back up for unplanned or scheduled absences. Greets patients in a service oriented and professional manner, answers phones, registers patients, collects co-payments, updates demographic and insurance information, and provides patients with follow up appointments and requisitions for tests. Performs clinical duties under the delegation of a physician in an ambulatory setting.  Qualifications  EDUCATION: High school graduation or equivalent; completion of an accredited Medical Assistant program preferred.  EXPERIENCE: Externship experience in a medical office or ambulatory health setting strongly preferred; experience working with electronic medical records preferred.  LICENSE/CERT/REG: CMA (Certified Medical Assistant) by American Association of Medical Assistants, or RMA (Registered Medical Assistant) through American Medical Technologists or equivalent within 6 months of hire. CPR certification.  SKILLS: Ability to type 40 words per minute; basic computer skills; excellent verbal /written communication and customer service skills. Clinical competency as verified during the initial 90 day orientation period and annually thereafter. Computer and Electronic Medical Record skills and ability to function in a variable clinical setting.",TRUE,FALSE,FALSE
Account Executive - Outside Sales,CHUTE MASTER ENVIRONMENTAL,"Washington, DC","Growing Indoor Environmental Company is seeking a disciplined, motivated candidate to join its Sales Team. The position is a true outside sales opportunity complete with commissions and bonus structure. Territory is for Washington DC/ Northern VA/ Maryland area. Some college course work is preferred - Serious Candidates only - Safe, Clean automobile and drivers license requiredJob Type: Full-timeSalary: $50,000.00 /yearExperience:Sales: 2 years (Preferred)",FALSE,FALSE,FALSE
Program Manager- CEP,The Aspen Institute,"Washington, DC 20037","The Aspen Institute is an educational and policy studies organization based in Washington, DC. Its mission is to foster leadership based on enduring values and to provide a nonpartisan venue for dealing with critical issues. The Institute has campuses in Aspen, Colorado, and on the Wye River on Maryland’s Eastern Shore. It also maintains offices in New York City and has an international network of partners. The College Excellence Program (CEP) aims to advance higher education practices and leadership that significantly improve student learning, completion, and employment after college—especially for the growing population of student of color and low-income students on American campuses. Through the Aspen Prize for Community College Excellence, the American Talent Initiative, the Presidential Fellowship for Community College Excellence, and other initiatives, the College Excellence Program works to improve colleges’ capacity to achieve high levels of success for all students, and to eliminate disparities in postsecondary access and achievement for low-income students and students of color. All of our projects are designed to improve higher education in four areas: strengthening learning; increasing completion rates; improving post-completion outcomes in community college transfer and the labor market; and increasing equity in educational outcomes for historically marginalized and underserved student populations. CEP is based in the Aspen Institute’s Washington, DC, headquarters. Position Description: Working closely with internal colleagues and external partners, the program manager/senior manager will be responsible for the high-quality management and execution of a range of projects. This role requires exceptional project and people management skills, an understanding of effective strategies for communicating with diverse audiences, and the ability to build strong and authentic relationships with external stakeholders. Specifically, this position offers an opportunity to play a lead role CEP’s Tackling Transfer work. The next iteration of this work, which this position will manage, includes a dynamic three-state transfer project aimed at strengthening policy, practice, and leadership to measurably improve bachelor’s attainment rates and equitable outcomes among students who begin at community college. The role will require the ability to effectively manage the flow of communication and engagement across partnering organizations and high-level state and institutional policy leaders. The preferred candidate is a proven manager with demonstrated relevant experience conceptualizing and leading complex projects with demanding timelines and multiple stakeholders. S/he is animated by a passion for improving the lives of students who attend community colleges and the communities served by those colleges. The ideal candidate is instinctively analytic and problem-solving focused. S/he has the intellectual curiosity and confidence to question processes and practices with an eye towards improving outcomes. Essential Duties and Responsibilities: Manage projects on a tight timeline with an extremely high level of attention to detail, quality, and professionalism. Develop and maintain relationships with partners and other stakeholders in the field with a focus on collaboration, engagement, outcomes, and quality of content and delivery. Design and execute high-quality programming and events for states and institutes involved in the project, balancing the interests of multiple stakeholders and audiences to achieve project goals. Maintain close control of project budgets, including tracking and reporting on grant expenditures. Contribute to the analysis, synthesis, and preparation of data reports and visual presentations. Engage with funders in the development of grant-funded initiatives and maintain relationships through grant reporting and other consistent communications. Manage and mentor junior program staff and contribute to program-wide team-building and collaborative efforts. Other duties as necessary. Knowledge, Education and Experience: Excellent project management skills, including a demonstrated ability to manage multiple projects with tight deadlines Customer service and problem-solving orientation, including patience, listening, resourcefulness, and attention to detail Ability to work both independently and productively with small internal teams and larger extended teams that include contractors and third-party partners Attention to detail and internal drive to “get it right” Professional knowledge of higher education Advanced degree in a related field preferred, or bachelor’s degree and at least five years of related experience with track record of accomplishment and growth Substantial travel required (approximately 30 - 50%) Level of Authority: Supervisory position Limited budget authority To Apply:  All interested applicants must submit a cover letter and resume to apply.  No phone calls or emails please.  The Aspen Institute is an Equal Opportunity Employer and complies with all District and federal laws. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, or protected veteran or disabled status and will not be discriminated against.",FALSE,TRUE,TRUE
Customer Support Specialist,Abstract Evolutions,"Washington, DC","***Please No 3rd Party Vendors or Staffing Companies***Entry Level Customer Service Position - is a first level representative to the OCTO technical support team. They answer a variety of technical inquires documenting issues and alerting senior staff in a timely fashion.Customer Support Entry:i. Answer calls in a dynamic IT operations environment; supporting multiple agenciesii. Provide desktop support for technical issues in a Call Center environment as well as off-site locations throughout the District of Columbiaiii. Log and route service requests and incidents in an incident management systemiv. Create and maintain knowledge articles in the agency's knowledge management system on a daily basisv. Provide a high level of customer service to end users on a daily basisvi. Provide technical expertise related to Microsoft Products, such as Microsoft Office, Windows operating systems, as well as other related Microsoft applicationsvii. Troubleshoot issues related to agency specific applications and web applicationsviii. Provide technical support for mobile devices, such as iPads, iPhones, Android devices and tabletsix. Collaborate with the IT leadership team to select and implement cost-effective technology for Districtx. Maintain service level agreements related to both Call Center and Desk Side support Service/Incident requestsxi. Work with other technical teams to coordinate multi-tiered technical support for outages, widespread security incidentsxii. Adhere to all Enterprise-wide security policies related to security and integrity of District-owned ResourcesResponsibilities:1. Provide technical assistance to computer system users on a variety of issues.2. Identifies, researches, and resolves technical problems.3. Responds to telephone calls, email and personnel requests for technical support.4. Documents, tracks, and monitors the problem to ensure a timely resolution.5. Has knowledge of commonly used concepts, practices, and procedures within a particular field.6. Answer questions or resolve computer problems for clients in person, via telephone or from remote location.7. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems.8. Provide service and preventive maintenance activities on terminals, printers, personal computers basic knowledge of electrical/mechanical principles and basic electronics.9. Reads and comprehends technical service manuals and publications.10. Knowledge of basic mathematics to read and understand various gauges, meters, and measurement devices.11. Able to diagnose and repair products by replacing worn or broken parts, and making technical adjustments.12. Makes appropriate use of reference publications and diagnostic aids in resolving technical problems.13. Strong communication skills.14. Assists in coordination of changes, upgrades and new products, ensuring systems shall operate correctly in current and future environment.15. Provides accurate and complete answers to general use and 35 administrative environment questions in a timely manner.16. Implements shared software, such as operating systems, configuration management tools, application and development tools, testing tools, compilers, and code editors.17. Communicates accurate and useful status updates.18. Manages and reports time spent on all work activities.19. Ability to work in a team environment.Minimum Education/Certification Requirements: Bachelorâs degree in Information Technology or related field or equivalent experience***NO C2C, strictly W2 or 1099 Position******Please No 3rd Party Vendors or Staffing Companies***Job Type: ContractSalary: $15.00 to $18.00 /hourRequired experience:supporting OS (Windows 7.8, 10 Mac OSX, 10.10X)): 1 yeartracking service request/incidents using a ITSM tool: 1 yearprovide technical support to computer users by phone, email: 1 yearMicrosoft Certifications: MCP Windows 7, Windows 10: 1 yearproviding technical support in a ""call center"" environment: 1 yearcustomer-oriented and efficient end-user support: 1 yearmaintaining personal computers, systems and printers: 1 yearStrong customer service: 1 yearExcellent written and verbal communication skills: 1 yearinstalling and troubleshooting computer systems and software: 1 yearbasic Active Directory functions: 1 yearKnowledge of Microsoft Office Suite, Office 2010+ and Office: 1 yearRequired education:Bachelor'sJob Location:Washington, D.C.",FALSE,FALSE,FALSE
Registration/Admission Representative I,Washington Hospital Center,"Washington, DC 20022","This is the first job in a series of two that are involved in the registration and/or admission of patients at WHC. This job may be located in Patient Access Services, Outpatient Registration, or in a department. Schedules patient appointments, registers patients, verifies or obtains demographic/ insurance information, and receives payments. May greet patients, answer the phone, validate insurance, answer questions/give patient information regarding preparation for tests/exams, and perform related clerical functions. Requires the ability to read and write and knowledge of grammar, and arithmetic, including fractions and decimals. May require the use of standard office/medical equipment (i.e., typewriter, personal computer, data terminal, on-line printer, calculator, telephone, facsimile, copier, sterilizing equipment, blood pressure cuff, OR tables). May require the preparation, comparison or checking of reports, records and related data. May require basic use of formulas, charts, tables, drawings and knowledge of their application. Requires knowledge such as that which would normally be acquired through the completion of a high school education or GED. May require up to l year of technical or other specialized training, such as training in typing/keyboarding/word-processing and office administrative procedures including customer service etc. From six to twelve months experience required as Office Assistant I or equivalent required, demonstrating organizational skills and a working familiarity with office computers (PC's and/or mainframes) performing word-processing/typing and/or data entry.",TRUE,FALSE,TRUE
Barista NO NIGHTS NO WEEKENDS,Brock & Company,"Silver Spring, MD","Full Time Barista NO NIGHTS! NO WEEKENDS! -We are a Corporate Cafe in search of a Full Time Barista. Our unique setting allows for a more personal touch when serving our clients and we demand the highest of standards in our employees to provide exceptional service. If people have told you that you should be a bartender, or youjust enjoy serving and talking woth people, then we want to talk to you! The pay is $15.00/Hr and the schedule is Monday-Friday 6:30am-3:00pm. No Nights or Weekends plus Full Benefits!!What we are looking for:-Outgoing Personality a MUST-2 years Barista experience minimum-Professional Appearance-Great Customer Service-Ability to Multitask-Great Time Management-Ability to work independently as well as in a small group-Punctuality-High standards of personal and work related cleanliness and sanitation-Ability to complete tasks in a timely mannerIf interested, please email a cover letter and resume. EOEJob Type: Full-timeSalary: $15.00 to $15.01 /hourRequired experience:Barista: 2 years",FALSE,FALSE,FALSE
Paid Summer Research and Policy Intern,Economic Innovation Group,"Washington, DC","The Economic Innovation Group (EIG) is an ideas laboratory and advocacy organization dedicated to forging a more dynamic, entrepreneurial, and innovative U.S. economy for the 21st century. Headquartered in Washington, D.C. and led by an experienced, bipartisan team, EIG convenes leading experts from the public and private sectors, develops original policy research, and works to advance creative legislative proposals that will bring new jobs, investment, and economic growth to communities across the nation.THE ROLEEIGâs Research and Policy intern will contribute to EIGâs policy, research, communications, events and administrative activities. Interns will engage in all areas of EIGâs operations and work directly with EIGâs Executive Team and staff on a wide variety of projects and topics. Interns will have a unique opportunity to contribute to policy and advocacy efforts impacting U.S. economic growth and new business and job creation.Specific responsibilities will include, but not be limited, to the following:Policy research and congressional bill tracking;Researching and writing in-depth reports and briefing memos;Assisting with events and outreach efforts;Monitoring online conversation in EIG issue areas; andSupporting administrative and operations activities.QUALIFICATIONSThe successful candidate must be a self-starter with a background in congressional relations, economic policy, and/or political communications. Excellent research and writing skills, as well the ability to handle multiple tasks under short deadlines, are essential qualities.EDUCATIONCurrent undergraduate or graduate student, or recent graduates.DETAILSThe internship will start in May and run through August. You will be expected to work 40 hours a week, and will be paid $600 per week.CONTACTApplicants should send a resume and cover letter with the subject line âEIG Summer Research and Policy Internship.âJob Type: InternshipSalary: $31,000.00 to $31,200.00 /yearRequired experience:Research: 2 years",FALSE,FALSE,FALSE
Family Support Worker/DC,Georgia Avenue Family Support Collaborative,"Washington, DC","Position: Family Support WorkerLocation: DC Resident preferredSalary Range: NegotiableFLSA Status: Non-exemptBrief Description of Duties:  The Family Support Worker, under the supervision of the Family Rehousing and Stabilization Program (FRSP) Supervisor, provides comprehensive case management services to formerly homeless families living in the District of Columbia. S/he will work from a strengths-based, trauma-informed perspective to help families develop skills, maintain housing, and move toward independence.Provides case management services to families including case planning, linkage to employment/education, mental health, and other resources; housing assessment and advocacy; budgeting; counseling and family stabilization.Completes home visits to assess for risks, safety, strengths, and needs of children and families and to monitor and address housing conditions.Assists families in creating and adhering to a monthly budget.Provides crisis intervention to individuals and families who have immediate needs.Works closely with families, empowering them to identify their goals and opportunities to improve their circumstances.Advocates for youth and families to receive services to strengthen their support system(s) through linkage with other service providers and organizations.Maintains consistent with familiesâ landlords to ensure rental payments are being made in a timely manner and to resolve any other landlord/tenant issues.Collaborate with the all of the service providerâs involvement with the family.Compile case file records in a consistently organized manner; maintain on-going documentation of case history/progress, including specific requirements of FRSP.Maintain all client notes in the Homeless Information Management System (HMIS) and well as the Customer Assessment Tracking and Case History program (CATCH).Qualifications:  Minimum BSW or BA in a related field and a minimum of three yearsâ experience in a community-based social service setting and knowledge of Microsoft Office required. Must be able to obtain a clear Police Clearance, Child Abuse Registry Clearance, and FBI Clearance and must possess a valid driverâs license. DC Residents preferred.Job Type: Full-timeRequired experience:Social Services: 2 yearsRequired education:AssociateJob Location:Washington, DC",FALSE,FALSE,FALSE
