Recipient Organization,deliverychannel,,
ADRA Zimbabwe,NGOs and CSOs,,
ADRA/HELP InterNational,NGOs and CSOs,,
ADRA/SCDO,NGOs and CSOs,,
ADRA-Haiti,NGOs and CSOs,,
ADU_04,Other,,
Advancement for Small Enterprise Programme,NGOs and CSOs,,
Advantest Corporation,Other,,
Advent Software,Other,,
Adventist Development and Relief Agency ,NGOs and CSOs,,
Adventist Development and Relief Agency - Nepal,NGOs and CSOs,,
Adventist Development and Relief Agency (New Zealand),NGOs and CSOs,,
Aertze der Welt e.V.,NGOs and CSOs,,
Aerzte für die Dritte Welt,NGOs and CSOs,,
Aetna Foundation,NGOs and CSOs,,
AFCAP,Other,,
AFD,Public sector,,
Afghan Center,Other,,
Afghan Development Association,NGOs and CSOs,,
Afghan Global Development Organization,NGOs and CSOs,,
Afghan Health & Development Services,NGOs and CSOs,,
Afghan Health and Social Assistance Organisation,NGOs and CSOs,,
Afghan Ministry of Planning,Public sector,,
Afghan Mobile Reconstruction Association,NGOs and CSOs,,
Afghan NGO Security Office,NGOs and CSOs,,
Afghan Reconstruction Trust Fund,Multilateral,,
Afghan Reconstruction Trust Fund ,Multilateral,,
Afghan Red Crescent,Red Cross,,
Afghan Red Crescent Society,Red Cross,,
Afghan Research and Evaluation Unit,NGOs and CSOs,,
Afghan Social and Agricultural Affairs Rehabilitation Organization,Other,,
Afghan Technical Consultants,Other,,
Afghan Women Association for Rehabilitation & Development,NGOs and CSOs,,
Afghanaid,NGOs and CSOs,,
Afghanischer Arzteverein in Deutschland e.V.,NGOs and CSOs,,
Afghanistan,Public sector,,
Afghanistan Demain,NGOs and CSOs,,
Afghanistan Development & Educational Organization,NGOs and CSOs,,
Afghanistan Independent Human Rights Commission,Other,,
Afghanistan Landmine Survivors' Organisation,NGOs and CSOs,,
Afghanistan Solidarity Organization,NGOs and CSOs,,
Afghanistan-Hilfe e.V.,NGOs and CSOs,,
Afkar Society for Development and Humanitarian Relief,NGOs and CSOs,,
Aflac,Other,,
Africa 2000 Network,NGOs and CSOs,,
Africa Centre for Holistic Management,Other,,
Africa Directo,NGOs and CSOs,,
Africa Humanitarian Action,NGOs and CSOs,,
Africa Muslims Agency (Johannesburg),NGOs and CSOs,,
African Child Outreach Trust,NGOs and CSOs,,
African Commission Human and People's Rights,NGOs and CSOs,,
African Development and Emergency Organisation,NGOs and CSOs,,
African Development Bank,Multilateral,,
African Development Solutions,NGOs and CSOs,,
African Educational Trust,NGOs and CSOs,,
African Medical and Research Foundation,NGOs and CSOs,,
African Mission in Burundi,Other,,
African Network for the Prevention and Protection Against Child Abuse and Neglect in Somalia,NGOs and CSOs,,
African Rescue Committee,NGOs and CSOs,,
African Revival Ministries,NGOs and CSOs,,
African Union,Multilateral,,
African Union Mission in Somalia,Multilateral,,
African Union Mission in Sudan,Multilateral,,
African Union Mission in Sudan ,Multilateral,,
Africare,NGOs and CSOs,,
Africare ,NGOs and CSOs,,
Africare/Catholic Relief Services,NGOs and CSOs,,
Afrique Verte Mali,NGOs and CSOs,,
Afrique Verte Niger,NGOs and CSOs,,
Aga Khan Development Network,NGOs and CSOs,,
Aga Khan Foundation,NGOs and CSOs,,
Aga Khan Foundation Tajikistan,NGOs and CSOs,,
AGEF,NGOs and CSOs,,
Agence d'Assistance aux Rapatries et Refugies au Congo,NGOs and CSOs,,
Agencia Española de Cooperación Internacional,Public sector,,
Agency for Cooperation and Research in Development,NGOs and CSOs,,
Agency for Co-operation and Research in Development,NGOs and CSOs,,
Agency for Peace and Development,NGOs and CSOs,,
Agency for Rehabilitation and Development,NGOs and CSOs,,
Agency for rehabilitation and Energy-Conservation in Afghanistan,NGOs and CSOs,,
Agency for Technical Cooperation and Development,NGOs and CSOs,,
Agenzia Italiana Risposta Emergenze,NGOs and CSOs,,
Agglobe Services InterNational and the Korean Unpasan General Trading Company,Other,,
AGHSAN,Other,,
Agility,Other,,
Agricultural and Environmental Development Society,Other,,
Agricultural Cooperative Development InterNational,NGOs and CSOs,,
Agricultural Cooperative Development International and Volunteers in Overseas Cooperative Assistance,NGOs and CSOs,,
Agricultural Cooperative Development InterNational/Volunteers in Overseas Cooperative Assistance,NGOs and CSOs,,
Agricultural Development Association (PARC),NGOs and CSOs,,
Agricultural Development Organisation,NGOs and CSOs,,
Agricultural Research Corporation,NGOs and CSOs,,
Agri-Systems,Other,,
Agriterra,Other,,
AGROCARE Community Development Association,Other,,
Agronomes et Vétérinaires Sans Frontières,NGOs and CSOs,,
AGROSPHERE,NGOs and CSOs,,
AH Dames Suisse,NGOs and CSOs,,
AICF-F,Other,,
Aid for Central Africa,Multilateral,,
Aid for Refugees and Orphans,NGOs and CSOs,,
Aide à l'Enfance de Canada,NGOs and CSOs,,
Aide à l''Enfance de l''Inde,NGOs and CSOs,,
Aide et Action,NGOs and CSOs,,
Aide Médicale  InterNationale ,NGOs and CSOs,,
AIDER,Other,,
Aids Foundation for Children,Other,,
AIG Disaster Relief Fund,Other,,
AiN - Afghanistankomiteen i Norge,Other,,
AÏNA (Afghanistan),NGOs and CSOs,,
Air Cargo Associates,Other,,
Air Charter World,Other,,
Air Force Contracting Augmentation Program,Other,,
Air Products,Other,,
Air Serv InterNational,NGOs and CSOs,,
Airamid Health Management,Other,,
Airbus Foundation,NGOs and CSOs,,
Airline Cargo Service,Other,,
AISHA Association for Woman and Child Protection,NGOs and CSOs,,
AK Steel,Other,,
Akin Gump Strauss Hauer & Feld LLP,Other,,
Aktion Afrika Hilfe,NGOs and CSOs,,
Aktion Deutschland Hilft,NGOs and CSOs,,
Al Afran Media and Culture ,Other,,
Al Anbar Center for Humanitarian Relief,Other,,
Al ghara Charity Organization-Jordan,NGOs and CSOs,,
Al Ihsan NGO,NGOs and CSOs,,
Al Maktoum Foundation,NGOs and CSOs,,
Al Mamoura Humanitarian Establishment,NGOs and CSOs,,
Al Manar Voluntary Organization,NGOs and CSOs,,
Al Zubair Charity Organisation,NGOs and CSOs,,
Al-Afeea Fund,Other,,
Al-Ahleya Association for the development of palm and dates,NGOs and CSOs,,
Al-Amal Charity Organization for the Disabled,NGOs and CSOs,,
Al-Amal Community for Social Welfare,Other,,
"Al-Aqsa Islamic Society, USA",Other,,
Alaska Sudan Medical Project,NGOs and CSOs,,
Albania,Public sector,,
Albanian Red Cross,Red Cross,,
Alcoa Foundation,NGOs and CSOs,,
Alcon Laboratories,Other,,
ALDHU - Latin American Association for Human Rights ,NGOs and CSOs,,
ALDI,Other,,
AlertNet,NGOs and CSOs,,
Alexander Bodini Foundation,NGOs and CSOs,,
Alfajr Palestinian Youth Association,NGOs and CSOs,,
Algeria,Public sector,,
Algerian Red Crescent,Red Cross,,
Algerian Red Crescent Society,Red Cross,,
ALICORP,Other,,
Al-Islah Association,Other,,
Alive and kicking,NGOs and CSOs,,
Al-Khidmat Foundation,NGOs and CSOs,,
All Hands Volunteers (previously Hands On Disaster Response),NGOs and CSOs,,
AllianceBernstein Holding L.P.,Other,,
Allianz Life Insurance Company of North America ,Other,,
Allianz Mission,NGOs and CSOs,,
Allocation  of unearmarked funds by UNDG/EXECCOMM Secretariat,Multilateral,,
Allocation from UNVTF/Mine Action,Multilateral,,
Allocation of unearmarked funds,Other,,
Allocation of unearmarked funds by DPKO,Multilateral,,
Allocation of unearmarked funds by FAO,Multilateral,,
Allocation of unearmarked funds by ILO,Multilateral,,
Allocation of unearmarked funds by IOM,Multilateral,,
Allocation of unearmarked funds by OCHA,Multilateral,,
Allocation of unearmarked funds by OHCHR,Multilateral,,
Allocation of unearmarked funds by UNAIDS,Multilateral,,
Allocation of unearmarked funds by UNDP,Multilateral,,
Allocation of unearmarked funds by UNDP for UNDSS,Multilateral,,
Allocation of unearmarked funds by UNDSS,Multilateral,,
Allocation of unearmarked funds by UNEP,Multilateral,,
Allocation of unearmarked funds by UNESCAP,Multilateral,,
Allocation of unearmarked funds by UNESCO,Multilateral,,
Allocation of unearmarked funds by UNFPA,Multilateral,,
Allocation of unearmarked funds by UN-HABITAT,Multilateral,,
Allocation of unearmarked funds by UNHCR,Multilateral,,
Allocation of unearmarked funds by UNICEF,Multilateral,,
Allocation of unearmarked funds by UNIFIL,Multilateral,,
Allocation of unearmarked funds by UNMAS,Multilateral,,
Allocation of unearmarked funds by UNOPS,Multilateral,,
Allocation of unearmarked funds by UNV,Multilateral,,
Allocation of unearmarked funds by WFP,Multilateral,,
Allocation of unearmarked funds by WHO,Multilateral,,
Allocation of unearmarked funds by WMO,Multilateral,,
Allstate Foundation,NGOs and CSOs,,
Almanar Voluntary Organization,NGOs and CSOs,,
Almassar Charity Organization for Nomads,NGOs and CSOs,,
ALNAP - Active Learning Network for Accountability and Performance,NGOs and CSOs,,
Alnour Wal Amal Association,NGOs and CSOs,,
Al-Ofiq Organization for Development and Emergency,Other,,
Alola Foundation,NGOs and CSOs,,
Alpha Ujuvi,NGOs and CSOs,,
Alpistan,NGOs and CSOs,,
Al-Sabeel Foundation for Social Development,NGOs and CSOs,,
Alsalam Organization for Rehabilitation and Development,NGOs and CSOs,,
Alshroog Organization for Social and Culture Development,Other,,
Alternative,Other,,
Alternative/SCF-UK,NGOs and CSOs,,
Altria Group,Other,,
Al-Yousser Organization for Assistance & Rehabilitation Assistance & Rehabilitation Assistance & Rehabilitation,Other,,
Aman Organization,NGOs and CSOs,,
AMAR Foundation,NGOs and CSOs,,
Ambassador's Authority,Other,,
AMDA InterNational,NGOs and CSOs,,
AMEL,NGOs and CSOs,,
America Continental 2000,Other,,
American Bar Association,Other,,
American Center for InterNational Labor,NGOs and CSOs,,
American Charities for Palestine,NGOs and CSOs,,
American Council for Voluntary InterNational Action,NGOs and CSOs,,
American Egg Board,Other,,
American Express Company,Other,,
American Friends of UNRWA,Multilateral,,
American Friends Service Committee,NGOs and CSOs,,
American Institutes for Research,NGOs and CSOs,,
American Jewish Joint Distribution Committee,Other,,
American Jewish World Service,NGOs and CSOs,,
American Lebanese Language Center,Other,,
American Near East Refugee Aid,NGOs and CSOs,,
American Red Cross,Red Cross,,
American Refugee Committee,NGOs and CSOs,,
American Rescue Committee,NGOs and CSOs,,
Americares,NGOs and CSOs,,
America's Development Foundation ,NGOs and CSOs,,
"Ameriprise Financial, Inc.",Other,,
Amgen,Other,,
AMICA e.V,NGOs and CSOs,,
Amica hilft in Bosnien e.V.,NGOs and CSOs,,
Amis des Personnes en Détresse,NGOs and CSOs,,
Amitie sans Frontieres,NGOs and CSOs,,
AMITY FOUNDATION,NGOs and CSOs,,
AMMAN CENTER HUMAN RIGHTS STUDIES,NGOs and CSOs,,
Amnesty InterNational Norge,NGOs and CSOs,,
AMURT (Ananda Marga Universal Relief Team) (Switzerland),NGOs and CSOs,,
AMURT InterNational,NGOs and CSOs,,
Amway,Other,,
ANA Airlines,Other,,
Andean Development Corporation,Multilateral,,
Andorra,Public sector,,
Andorran Red Cross,Red Cross,,
Angel Network,Other,,
ANGLO AMERICAN PLC,Other,,
Angola,Public sector,,
Angola Red Cross,Red Cross,,
"Anhar for Peace, Development and Humanitarian Work Organization",NGOs and CSOs,,
"Anheuser-Busch Companies, Inc.",Other,,
Anna Lininger,Other,,
Annie E. Casey Foundation,NGOs and CSOs,,
ANSO / IRC,NGOs and CSOs,,
Antares Foundation,NGOs and CSOs,,
Antenna Technologies Grands Lacs (ATGL),NGOs and CSOs,,
Antigua and Barbuda,Public sector,,
AP Moller Maersk Group,Other,,
APEC (Association pour la protection de l'enfance  au Congo),Other,,
APEDE,Other,,
APHEDA,NGOs and CSOs,,
APOPO,NGOs and CSOs,,
APOPO vzw (Anti-Persoonsmijnen Ontmijnende Product Onttwikkeling),NGOs and CSOs,,
Apostolic Christian World Relief,NGOs and CSOs,,
"Applied Materials, Inc.",Other,,
Applied Research Institute Jerusalem,NGOs and CSOs,,
APPRONA,Other,,
Appui aux Femmes Démunies et Enfants Marginalisés,NGOs and CSOs,,
Appui aux Initiatives de Bien Etre Familial,Other,,
AQUADEV,NGOs and CSOs,,
Arab Agronomist Association,NGOs and CSOs,,
Arab Association for Human Rights,NGOs and CSOs,,
Arab Authority for Agricultural Investment and Development ,Multilateral,,
Arab Fund for Human Rights,NGOs and CSOs,,
Arab Gulf Programme,Multilateral,,
Arab Gulf Programme for United Nations Development Organizations,Multilateral,,
Arab League,Multilateral,,
Arab Medical Association,Other,,
Arab Medical Equipment and Services Organization,Other,,
Arab Medical Union,NGOs and CSOs,,
Arab Network for Tolerance,NGOs and CSOs,,
Arab Physicians Federation,Other,,
Arab Reporters for Investigative Journalism,NGOs and CSOs,,
Arab Women Association,NGOs and CSOs,,
Aragti Relief and Development Organization,NGOs and CSOs,,
Aramark,Other,,
Aramex InterNational,Other,,
Arbeiter-Samariter-Bund Deutschland e.V,NGOs and CSOs,,
Arbeiterwohlfahrt Bayern,Other,,
ARC EN CIEL,NGOs and CSOs,,
ArcelorMittal Foundation,NGOs and CSOs,,
Archdiocese of Kisumu,Other,,
Arche de l'Alliance,Other,,
Arche Nova E.V. - Initiative for People in Need,NGOs and CSOs,,
Archer Daniels Midland Company,Other,,
Architectes de l'urgence,NGOs and CSOs,,
Arcos Dorados B.V.,Other,,
"Area Staff Union, HQ/Amman",Other,,
ARESA,Other,,
AREU - Afghan Research and Evaluation Unit,NGOs and CSOs,,
Argentina,Public sector,,
Argentina Red Cross,Red Cross,,
Argentine Red Cross,Red Cross,,
Argos Cement Company,Other,,
"ARIGATOU FOUNDATION, JAPAN",NGOs and CSOs,,
Armadilla S.c.s. Onlus,NGOs and CSOs,,
Armée du salut,NGOs and CSOs,,
Armée du Salut Kalemie,NGOs and CSOs,,
Armenia,Public sector,,
Armenian Red Cross Society,Red Cross,,
Armenian Relief Society,NGOs and CSOs,,
Armstrong,Other,,
Army Corps of Engineers,Public sector,,
Arno Kobamaron CBO,Other,,
ARTICLE 19,NGOs and CSOs,,
Article 36,NGOs and CSOs,,
"Arts for Peace	",NGOs and CSOs,,
Ärzte ohne Grenzen e.V.,Other,,
ASAL,Other,,
Asamblea De Cooperacion Por La Paz,NGOs and CSOs,,
ASASE,NGOs and CSOs,,
ASCHIANA,NGOs and CSOs,,
ASEP,Other,,
Asia Foundation,NGOs and CSOs,,
ASIA Onlus,NGOs and CSOs,,
Asia Pacific Permanent Representatives' Spouses Group,Multilateral,,
Asian Development Bank,Multilateral,,
Asian Disaster Preparedness Centre,NGOs and CSOs,,
Asian Disaster Reduction Center,Multilateral,,
Asian Network for Free Election,Other,,
Asmae Soeur Emmanuelle,Other,,
Asociacion de Trabajadores y Tecnicos Sin Fronteras,NGOs and CSOs,,
Asociación de Trabajadores y Técnicos Sin Fronteras,NGOs and CSOs,,
asociacion para la cooperacion con el sur,NGOs and CSOs,,
Assessment Capacities Project,NGOs and CSOs,,
Assistance Mission Africa,NGOs and CSOs,,
Assistência Médica Internacional (AMI),NGOs and CSOs,,
Assisting Marsh Arabs and Refugees,NGOs and CSOs,,
Associação Saúde em Português,Other,,
Associated Banc-Corp,Other,,
Associates in Rural Development,Other,,
Association d'aide à la femme et de la communication,Other,,
"Association de soutien aux refugies, aux personnes deplacees et aux detenus",Other,,
Association Develop Horn,NGOs and CSOs,,
Association for Aid and Relief,NGOs and CSOs,,
Association for Aid and Relief Japan,NGOs and CSOs,,
"Association for Cooperation, Interchange and Culture",NGOs and CSOs,,
Association for Empowerment of Persons with Disabilities,NGOs and CSOs,,
Association for Gender Awareness and Human Empowerment,NGOs and CSOs,,
Association for Humanitarian Development,NGOs and CSOs,,
Association for Humanity Development,Other,,
Association for People's Cooperation between South and North Korea,Other,,
Association for Promoting Social Action,NGOs and CSOs,,
Association for the Advancement of Democratic Rights-Legal Aid,Other,,
Association for the Prevention of Torture,NGOs and CSOs,,
Association Francaise de soutien a UNHCR ,Multilateral,,
Association française pour la prévention des catastrophes naturelles,NGOs and CSOs,,
Association Francois-Xavier Bagnoud,NGOs and CSOs,,
Association Fraternite Universelle,Other,,
Association Humanitaire AKAMASOA,NGOs and CSOs,,
Association Idée-elles,NGOs and CSOs,,
Association InterNationale des Soldats de la Paix,NGOs and CSOs,,
Association libanaise de l'Ordre de Malte,NGOs and CSOs,,
Association Luxembourg Pérou,NGOs and CSOs,,
ASSOCIATION MEDICALE FRANCO-ASIATIQUE,NGOs and CSOs,,
Association Morija,NGOs and CSOs,,
Association Notre Dame de Protection,Other,,
Association of Chinese Evangelical Ministry Limited,Other,,
Association of Christian Resource Organizations Serving Sudan,NGOs and CSOs,,
Association of Development Awareness and Motivation,NGOs and CSOs,,
Association of Evangelicals in Africa,Other,,
Association of International Development Agencies,NGOs and CSOs,,
Association of Major Superious of Religious Women in Korea,Other,,
Association of Southeast Asian Nations,Multilateral,,
Association of South-North Kang-Won Province Cooperation,Other,,
Association Persis Valais,NGOs and CSOs,,
Association pour la Coopération Technique et au Développement,NGOs and CSOs,,
Association pour la protection de l'enfant de la guerre,NGOs and CSOs,,
Association pour la Santé Familiale (ASF),NGOs and CSOs,,
Association pour le développement de M'Bres,NGOs and CSOs,,
Association pour le développement social et la sauvegarde de l’environnement,NGOs and CSOs,,
Association pour le Progres et la Defense des Droits des Femmes,NGOs and CSOs,,
Association pour les enfants oubliés,Other,,
Association Rég. d'Appro. en Médicaments Essentiels,Other,,
Association rwandaise des conseillers en traumatisme ,NGOs and CSOs,,
ASSOCIATION SOLIDARITE MAROC PALESTINE,Other,,
Associazione Amici dell’Oasis Togo,NGOs and CSOs,,
Associazione Italiana Amici di Raoul Follereau,NGOs and CSOs,,
Associazione Italiana per La Solidarieta Tra I Popoli (AISPO-ITA),NGOs and CSOs,,
Associazione par la Solidarieta Internazionale in Asia,NGOs and CSOs,,
Associazione per la cooperazione internazionale e l'aiuto umanitario,NGOs and CSOs,,
Associazione per la Participazione allo Svillupo,NGOs and CSOs,,
Associazione Volontari per il Servizio Internazionale,NGOs and CSOs,,
ASSODLO - Assoc. Haïtienne pour la Maîtrise des Sols et des Eaux,Other,,
Astellas,Other,,
Astoria Federal Savings,Other,,
AstraZeneca,Other,,
ASUR - Appui aux populations déplacées,NGOs and CSOs,,
AT&T Foundation,NGOs and CSOs,,
ATAV - Assoc. Tsunami Aides aux Victimes,Other,,
ATDL BUKAVU,Other,,
Atlantic Philanthropies,NGOs and CSOs,,
ATLAS,NGOs and CSOs,,
Atlas Logistique,NGOs and CSOs,,
Auschwitz-Birkenau Foundation,NGOs and CSOs,,
AUSTCARE - Australian Care for Refugees,NGOs and CSOs,,
Australia,Public sector,,
Australia for UNHCR,Multilateral,,
Australia Red Cross,Red Cross,,
Australian Aid InterNational,NGOs and CSOs,,
Australian Community Assistance Scheme,Public sector,,
Australian Red Cross,Red Cross,,
Australian Volunteers InterNational,NGOs and CSOs,,
Australians Care for Refugees,NGOs and CSOs,,
Austria,Public sector,,
Austria for UNHCR,Multilateral,,
Austrian Development Agency,Public sector,,
Austrian Embassy/Armenia,Public sector,,
Austrian Red Cross,Red Cross,,
Autorités locales,Other,,
Avenir pour les orphelins au Burundi,NGOs and CSOs,,
Aviation Assistance A/S,Other,,
Aviation Sans Frontieres,NGOs and CSOs,,
Aviation Sans Frontieres Belgium,NGOs and CSOs,,
Aviation Sans Frontieres France,NGOs and CSOs,,
Avocats Sans Frontieres,NGOs and CSOs,,
Avon,Other,,
AVRE -Support to Victims for Emotional Recovery,Other,,
AVREO,NGOs and CSOs,,
AVSF - Agronomes y Veterinaries sans Frontières,NGOs and CSOs,,
Award,NGOs and CSOs,,
Awaz Foundation Pakistan Center for Development Services,NGOs and CSOs,,
Aweil Relief Agency for Reintegration and Development,NGOs and CSOs,,
Aweil Window of Opportunities and Development Agency,NGOs and CSOs,,
AWWD,NGOs and CSOs,,
AXA Canada,Other,,
AXA Group,Other,,
Ayuda en Accion,NGOs and CSOs,,
AYUUB Organization,Other,,
Azat Foundation,NGOs and CSOs,,
Azerbaijan,Public sector,,
Azerbaijan Red Crescent,Red Cross,,
Azza Women Association,NGOs and CSOs,,
B2Gold,Other,,
Ba Futuru / For The Future,NGOs and CSOs,,
Bacardi Limited,Other,,
Backus y Cervesur,Other,,
Badil Resource Center for Palestinian Residency and Refugee Rights,NGOs and CSOs,,
Badin Development Organization,NGOs and CSOs,,
BAHA'I InterNational COMMUNITY,NGOs and CSOs,,
Bahamas,Public sector,,
Bahamas Red Cross,Red Cross,,
Bahamas Red Cross Society,Red Cross,,
Bahrain,Public sector,,
Bahrain Red Crescent,Red Cross,,
Bahrain Red Crescent Society,Red Cross,,
Bakpiny Community Development Agency,NGOs and CSOs,,
Balancing entry of ERF allocations,Other,,
"Balay Mindanaw Foundation, Inc.",NGOs and CSOs,,
Balcombe,Other,,
Balkanactive van de gemeenten,NGOs and CSOs,,
Balochistan Environmental and Educational Journey,NGOs and CSOs,,
Balochistan Rural Development Society,NGOs and CSOs,,
Baluchistan Boys Scouts Association,Other,,
BAM - Federal Institute for Materials Research and Testing,Public sector,,
Banesco Bank Venezuela,Other,,
Bangladesh,Public sector,,
Bangladesh Red Crescent Society,Red Cross,,
