Donor,codename,New code,recipient,checks
Aerzte für die Dritte Welt,NGOs,,NGOs,TRUE
Aetna Foundation,foundations,,foundations,TRUE
AFCAP,other,,other,TRUE
AFD,DAC governments,,DAC governments,TRUE
Afghan Center,other,,other,TRUE
Afghan Development Association,NGOs,,NGOs,TRUE
Afghan Global Development Organization,NGOs,,NGOs,TRUE
Afghan Health & Development Services,NGOs,,NGOs,TRUE
Afghan Health and Social Assistance Organisation,NGOs,,NGOs,TRUE
Afghan Ministry of Planning,NDD,,National government,TRUE
Afghan Mobile Reconstruction Association,NGOs,,NGOs,TRUE
Afghan NGO Security Office,NGOs,,NGOs,TRUE
Afghan Reconstruction Trust Fund,Other pooled,,Other pooled,TRUE
Afghan Reconstruction Trust Fund ,Other pooled,,Other pooled,TRUE
Afghan Red Crescent,red cross,,red cross,TRUE
Afghan Red Crescent Society,red cross,,red cross,TRUE
Afghan Research and Evaluation Unit,academia/think/research,,academia/think/research,TRUE
Afghan Social and Agricultural Affairs Rehabilitation Organization,other,,other,TRUE
Afghan Technical Consultants,private individual organisations,,private individual organisations,TRUE
Afghan Women Association for Rehabilitation & Development,NGOs,,NGOs,TRUE
Afghanaid,NGOs,,NGOs,TRUE
Afghanischer Arzteverein in Deutschland e.V.,NGOs,,NGOs,TRUE
Afghanistan,NDD,,National government,TRUE
Afghanistan Demain,NGOs,,NGOs,TRUE
Afghanistan Development & Educational Organization,NGOs,,NGOs,TRUE
Afghanistan Independent Human Rights Commission,other,,other,TRUE
Afghanistan Landmine Survivors' Organisation,NGOs,,NGOs,TRUE
Afghanistan Solidarity Organization,NGOs,,NGOs,TRUE
Afghanistan-Hilfe e.V.,NGOs,,NGOs,TRUE
Afkar Society for Development and Humanitarian Relief,other,NGOs,NGOs,FALSE
Aflac,private sector corporations,,private sector corporations,TRUE
Africa 2000 Network,NGOs,,NGOs,TRUE
Africa Centre for Holistic Management,private individual organisations,,private individual organisations,TRUE
Africa Directo,NGOs,,NGOs,TRUE
Africa Humanitarian Action,NGOs,,NGOs,TRUE
Africa Muslims Agency (Johannesburg),NGOs,,NGOs,TRUE
African Child Outreach Trust,NGOs,,NGOs,TRUE
African Commission Human and People's Rights,NGOs,,NGOs,TRUE
African Development and Emergency Organisation,NGOs,,NGOs,TRUE
African Development Bank,Other multi,,Other multi,TRUE
African Development Solutions,NGOs,,NGOs,TRUE
African Educational Trust,NGOs,,NGOs,TRUE
African Medical and Research Foundation,NGOs,,NGOs,TRUE
African Mission in Burundi,other,,other,TRUE
African Network for the Prevention and Protection Against Child Abuse and Neglect in Somalia,NGOs,,NGOs,TRUE
African Rescue Committee,NGOs,,NGOs,TRUE
African Revival Ministries,NGOs,,NGOs,TRUE
African Union,Other multi,,Other multi,TRUE
African Union Mission in Somalia,Other multi,,Other multi,TRUE
African Union Mission in Sudan,Other multi,,Other multi,TRUE
African Union Mission in Sudan ,Other multi,,Other multi,TRUE
Africare,NGOs,,NGOs,TRUE
Africare ,NGOs,,NGOs,TRUE
Africare/Catholic Relief Services,NGOs,,NGOs,TRUE
Afrique Verte Mali,NGOs,,NGOs,TRUE
Afrique Verte Niger,NGOs,,NGOs,TRUE
Aga Khan Development Network,NGOs,,NGOs,TRUE
Aga Khan Foundation,foundations,NGOs,NGOs,FALSE
Aga Khan Foundation Tajikistan,NGOs,,NGOs,TRUE
AGEF,NGOs,,NGOs,TRUE
Agence d'Assistance aux Rapatries et Refugies au Congo,NGOs,,NGOs,TRUE
Agencia Española de Cooperación Internacional,DAC governments,,DAC governments,TRUE
Agency for Cooperation and Research in Development,NGOs,,NGOs,TRUE
Agency for Co-operation and Research in Development,NGOs,,NGOs,TRUE
Agency for Peace and Development,NGOs,,NGOs,TRUE
Agency for Rehabilitation and Development,NGOs,,NGOs,TRUE
Agency for rehabilitation and Energy-Conservation in Afghanistan,NGOs,,NGOs,TRUE
Agency for Technical Cooperation and Development,NGOs,,NGOs,TRUE
Agenzia Italiana Risposta Emergenze,NGOs,,NGOs,TRUE
Agglobe Services InterNational and the Korean Unpasan General Trading Company,other,,other,TRUE
AGHSAN,other,,other,TRUE
Agility,private sector corporations,,private sector corporations,TRUE
Agricultural and Environmental Development Society,other,,other,TRUE
Agricultural Cooperative Development InterNational,NGOs,,NGOs,TRUE
Agricultural Cooperative Development International and Volunteers in Overseas Cooperative Assistance,NGOs,,NGOs,TRUE
Agricultural Cooperative Development InterNational/Volunteers in Overseas Cooperative Assistance,NGOs,,NGOs,TRUE
Agricultural Development Association (PARC),NGOs,,NGOs,TRUE
Agricultural Development Organisation,NGOs,,NGOs,TRUE
Agricultural Research Corporation,academia/think/research,,academia/think/research,TRUE
Agri-Systems,private sector corporations,,private sector corporations,TRUE
Agriterra,private sector corporations,,private sector corporations,TRUE
AGROCARE Community Development Association,private individual organisations,,private individual organisations,TRUE
Agronomes et Vétérinaires Sans Frontières,NGOs,,NGOs,TRUE
AGROSPHERE,NGOs,,NGOs,TRUE
AH Dames Suisse,NGOs,,NGOs,TRUE
AICF-F,other,,other,TRUE
Aid for Central Africa,Other multi,,Other multi,TRUE
Aid for Refugees and Orphans,NGOs,,NGOs,TRUE
Aide à l'Enfance de Canada,NGOs,,NGOs,TRUE
Aide à l''Enfance de l''Inde,NGOs,,NGOs,TRUE
Aide et Action,NGOs,,NGOs,TRUE
Aide Médicale  InterNationale ,NGOs,,NGOs,TRUE
AIDER,other,,other,TRUE
Aids Foundation for Children,other,,other,TRUE
AIG Disaster Relief Fund,private sector corporations,,private sector corporations,TRUE
AiN - Afghanistankomiteen i Norge,other,,other,TRUE
AÏNA (Afghanistan),NGOs,,NGOs,TRUE
Air Cargo Associates,private sector corporations,,private sector corporations,TRUE
Air Charter World,private sector corporations,,private sector corporations,TRUE
Air Force Contracting Augmentation Program,other,,other,TRUE
Air Products,private sector corporations,,private sector corporations,TRUE
Air Serv InterNational,NGOs,,NGOs,TRUE
Airamid Health Management,private sector corporations,,private sector corporations,TRUE
Airbus Foundation,foundations,,foundations,TRUE
Airline Cargo Service,private sector corporations,,private sector corporations,TRUE
AISHA Association for Woman and Child Protection,NGOs,,NGOs,TRUE
AK Steel,private sector corporations,,private sector corporations,TRUE
Akin Gump Strauss Hauer & Feld LLP,private sector corporations,,private sector corporations,TRUE
Aktion Afrika Hilfe,NGOs,,NGOs,TRUE
Aktion Deutschland Hilft,NGOs,,NGOs,TRUE
Al Afran Media and Culture ,other,,other,TRUE
Al Anbar Center for Humanitarian Relief,other,,other,TRUE
Al ghara Charity Organization-Jordan,NGOs,,NGOs,TRUE
Al Ihsan NGO,NGOs,,NGOs,TRUE
Al Maktoum Foundation,foundations,,foundations,TRUE
Al Mamoura Humanitarian Establishment,NGOs,,NGOs,TRUE
Al Manar Voluntary Organization,NGOs,,NGOs,TRUE
Al Zubair Charity Organisation,NGOs,,NGOs,TRUE
Al-Afeea Fund,other,,other,TRUE
Al-Ahleya Association for the development of palm and dates,NGOs,,NGOs,TRUE
Al-Amal Charity Organization for the Disabled,NGOs,,NGOs,TRUE
Al-Amal Community for Social Welfare,other,,other,TRUE
"Al-Aqsa Islamic Society, USA",private individual organisations,,private individual organisations,TRUE
Alaska Sudan Medical Project,NGOs,,NGOs,TRUE
Albania,NDD,,National government,TRUE
Albanian Red Cross,red cross,,red cross,TRUE
Alcoa Foundation,foundations,,foundations,TRUE
Alcon Laboratories,private sector corporations,,private sector corporations,TRUE
ALDHU - Latin American Association for Human Rights ,NGOs,,NGOs,TRUE
ALDI,private sector corporations,,private sector corporations,TRUE
AlertNet,NGOs,,NGOs,TRUE
Alexander Bodini Foundation,foundations,,foundations,TRUE
Alfajr Palestinian Youth Association,NGOs,,NGOs,TRUE
Algeria,NDD,,National government,TRUE
Algerian Red Crescent,red cross,,red cross,TRUE
Algerian Red Crescent Society,red cross,,red cross,TRUE
ALICORP,private sector corporations,,private sector corporations,TRUE
Al-Islah Association,other,,other,TRUE
Alive and kicking,NGOs,,NGOs,TRUE
Al-Khidmat Foundation,foundations,,foundations,TRUE
All Hands Volunteers (previously Hands On Disaster Response),NGOs,,NGOs,TRUE
AllianceBernstein Holding L.P.,private sector corporations,,private sector corporations,TRUE
Allianz Life Insurance Company of North America ,private sector corporations,,private sector corporations,TRUE
Allianz Mission,NGOs,,NGOs,TRUE
Allocation  of unearmarked funds by UNDG/EXECCOMM Secretariat,UN Multi,,UN Multi,TRUE
Allocation from UNVTF/Mine Action,UN Multi,,UN Multi,TRUE
Allocation of unearmarked funds,other,,other,TRUE
Allocation of unearmarked funds by DPKO,UN Multi,,UN Multi,TRUE
Allocation of unearmarked funds by FAO,UN Multi,,UN Multi,TRUE
Allocation of unearmarked funds by ILO,UN Multi,,UN Multi,TRUE
Allocation of unearmarked funds by IOM,Other multi,,Other multi,TRUE
Allocation of unearmarked funds by OCHA,UN Multi,,UN Multi,TRUE
Allocation of unearmarked funds by OHCHR,UN Multi,,UN Multi,TRUE
Allocation of unearmarked funds by UNAIDS,UN Multi,,UN Multi,TRUE
Allocation of unearmarked funds by UNDP,UN Multi,,UN Multi,TRUE
Allocation of unearmarked funds by UNDP for UNDSS,UN Multi,,UN Multi,TRUE
Allocation of unearmarked funds by UNDSS,UN Multi,,UN Multi,TRUE
Allocation of unearmarked funds by UNEP,UN Multi,,UN Multi,TRUE
Allocation of unearmarked funds by UNESCAP,UN Multi,,UN Multi,TRUE
Allocation of unearmarked funds by UNESCO,UN Multi,,UN Multi,TRUE
Allocation of unearmarked funds by UNFPA,UN Multi,,UN Multi,TRUE
Allocation of unearmarked funds by UN-HABITAT,UN Multi,,UN Multi,TRUE
Allocation of unearmarked funds by UNHCR,UN Multi,,UN Multi,TRUE
Allocation of unearmarked funds by UNICEF,UN Multi,,UN Multi,TRUE
Allocation of unearmarked funds by UNIFIL,UN Multi,,UN Multi,TRUE
Allocation of unearmarked funds by UNMAS,UN Multi,,UN Multi,TRUE
Allocation of unearmarked funds by UNOPS,UN Multi,,UN Multi,TRUE
Allocation of unearmarked funds by UNV,UN Multi,,UN Multi,TRUE
Allocation of unearmarked funds by WFP,UN Multi,,UN Multi,TRUE
Allocation of unearmarked funds by WHO,UN Multi,,UN Multi,TRUE
Allocation of unearmarked funds by WMO,UN Multi,,UN Multi,TRUE
Allstate Foundation,foundations,,foundations,TRUE
Almanar Voluntary Organization,NGOs,,NGOs,TRUE
Almassar Charity Organization for Nomads,NGOs,,NGOs,TRUE
ALNAP - Active Learning Network for Accountability and Performance,NGOs,,NGOs,TRUE
Alnour Wal Amal Association,NGOs,,NGOs,TRUE
Al-Ofiq Organization for Development and Emergency,other,,other,TRUE
Alola Foundation,NGOs,,NGOs,TRUE
Alpha Ujuvi,NGOs,,NGOs,TRUE
Alpistan,NGOs,,NGOs,TRUE
Al-Sabeel Foundation for Social Development,foundations,,foundations,TRUE
Alsalam Organization for Rehabilitation and Development,NGOs,,NGOs,TRUE
Alshroog Organization for Social and Culture Development,other,,other,TRUE
Alternative,other,,other,TRUE
Alternative/SCF-UK,NGOs,,NGOs,TRUE
Altria Group,private sector corporations,,private sector corporations,TRUE
Al-Yousser Organization for Assistance & Rehabilitation Assistance & Rehabilitation Assistance & Rehabilitation,other,,other,TRUE
Aman Organization,NGOs,,NGOs,TRUE
AMAR Foundation,foundations,,foundations,TRUE
Ambassador's Authority,other,,other,TRUE
AMDA InterNational,NGOs,,NGOs,TRUE
AMEL,NGOs,,NGOs,TRUE
America Continental 2000,private sector corporations,,private sector corporations,TRUE
American Bar Association,private individual organisations,private sector corporation,private sector corporation,FALSE
American Center for InterNational Labor,NGOs,,NGOs,TRUE
American Charities for Palestine,NGOs,,NGOs,TRUE
American Council for Voluntary InterNational Action,NGOs,,NGOs,TRUE
American Egg Board,private sector corporations,,private sector corporations,TRUE
American Express Company,private sector corporations,,private sector corporations,TRUE
American Friends of UNRWA,UN Multi,,UN Multi,TRUE
American Friends Service Committee,NGOs,,NGOs,TRUE
American Institutes for Research,academia/think/research,,academia/think/research,TRUE
American Jewish Joint Distribution Committee,private individual organisations,,private individual organisations,TRUE
American Jewish World Service,NGOs,,NGOs,TRUE
American Lebanese Language Center,other,,other,TRUE
American Near East Refugee Aid,NGOs,,NGOs,TRUE
American Red Cross,red cross,,red cross,TRUE
American Refugee Committee,NGOs,,NGOs,TRUE
American Rescue Committee,NGOs,,NGOs,TRUE
Americares,NGOs,,NGOs,TRUE
America's Development Foundation ,foundations,,foundations,TRUE
"Ameriprise Financial, Inc.",private sector corporations,,private sector corporations,TRUE
Amgen,private sector corporations,,private sector corporations,TRUE
AMICA e.V,NGOs,,NGOs,TRUE
Amica hilft in Bosnien e.V.,NGOs,,NGOs,TRUE
Amis des Personnes en Détresse,NGOs,,NGOs,TRUE
Amitie sans Frontieres,NGOs,,NGOs,TRUE
AMITY FOUNDATION,foundations,,foundations,TRUE
AMMAN CENTER HUMAN RIGHTS STUDIES,academia/think/research,,academia/think/research,TRUE
Amnesty InterNational Norge,NGOs,,NGOs,TRUE
AMURT (Ananda Marga Universal Relief Team) (Switzerland),NGOs,,NGOs,TRUE
AMURT InterNational,NGOs,,NGOs,TRUE
Amway,private sector corporations,,private sector corporations,TRUE
ANA Airlines,private sector corporations,,private sector corporations,TRUE
Andean Development Corporation,Other multi,,Other multi,TRUE
Andorra,NDD,,National government,TRUE
Andorran Red Cross,red cross,,red cross,TRUE
Angel Network,other,,other,TRUE
ANGLO AMERICAN PLC,private sector corporations,,private sector corporations,TRUE
Angola,NDD,,National government,TRUE
Angola Red Cross,red cross,,red cross,TRUE
"Anhar for Peace, Development and Humanitarian Work Organization",NGOs,,NGOs,TRUE
"Anheuser-Busch Companies, Inc.",private sector corporations,,private sector corporations,TRUE
Anna Lininger,private individual organisations,,private individual organisations,TRUE
Annie E. Casey Foundation,foundations,,foundations,TRUE
ANSO / IRC,NGOs,,NGOs,TRUE
Antares Foundation,foundations,,foundations,TRUE
Antenna Technologies Grands Lacs (ATGL),NGOs,,NGOs,TRUE
Antigua and Barbuda,NDD,,National government,TRUE
AP Moller Maersk Group,private sector corporations,,private sector corporations,TRUE
APEC (Association pour la protection de l'enfance  au Congo),other,,other,TRUE
APEDE,other,,other,TRUE
APHEDA,NGOs,,NGOs,TRUE
APOPO,NGOs,,NGOs,TRUE
APOPO vzw (Anti-Persoonsmijnen Ontmijnende Product Onttwikkeling),NGOs,,NGOs,TRUE
APOPO vzw (Anti-Persoonsmijnen Ontmijnende Product Onttwikkeling),NGOs,,NGOs,TRUE
APOPO vzw (Anti-Persoonsmijnen Ontmijnende Product Onttwikkeling),NGOs,,NGOs,TRUE
Apostolic Christian World Relief,NGOs,,NGOs,TRUE
"Applied Materials, Inc.",private sector corporations,,private sector corporations,TRUE
Applied Research Institute Jerusalem,academia/think/research,,academia/think/research,TRUE
APPRONA,other,,other,TRUE
Appui aux Femmes Démunies et Enfants Marginalisés,NGOs,,NGOs,TRUE
Appui aux Initiatives de Bien Etre Familial,other,,other,TRUE
AQUADEV,NGOs,,NGOs,TRUE
Arab Agronomist Association,NGOs,,NGOs,TRUE
Arab Association for Human Rights,NGOs,,NGOs,TRUE
Arab Authority for Agricultural Investment and Development ,Other multi,,Other multi,TRUE
Arab Fund for Human Rights,NGOs,,NGOs,TRUE
Arab Gulf Programme,UN Multi,,UN Multi,TRUE
Arab Gulf Programme for United Nations Development Organizations,UN Multi,,UN Multi,TRUE
Arab League,Other multi,,Other multi,TRUE
Arab Medical Association,private individual organisations,,private individual organisations,TRUE
Arab Medical Equipment and Services Organization,other,,other,TRUE
Arab Medical Union,NGOs,,NGOs,TRUE
Arab Network for Tolerance,NGOs,,NGOs,TRUE
Arab Physicians Federation,private individual organisations,,private individual organisations,TRUE
Arab Reporters for Investigative Journalism,NGOs,,NGOs,TRUE
Arab Women Association,NGOs,,NGOs,TRUE
Aragti Relief and Development Organization,NGOs,,NGOs,TRUE
Aramark,private sector corporations,,private sector corporations,TRUE
Aramex InterNational,private sector corporations,,private sector corporations,TRUE
Arbeiter-Samariter-Bund Deutschland e.V,NGOs,,NGOs,TRUE
Arbeiterwohlfahrt Bayern,other,,other,TRUE
ARC EN CIEL,NGOs,,NGOs,TRUE
ArcelorMittal Foundation,foundations,,foundations,TRUE
Archdiocese of Kisumu,private individual organisations,,private individual organisations,TRUE
Arche de l'Alliance,private individual organisations,,private individual organisations,TRUE
Arche Nova E.V. - Initiative for People in Need,NGOs,,NGOs,TRUE
Archer Daniels Midland Company,private sector corporations,,private sector corporations,TRUE
Architectes de l'urgence,foundations,,foundations,TRUE
Arcos Dorados B.V.,private sector corporations,,private sector corporations,TRUE
"Area Staff Union, HQ/Amman",other,,other,TRUE
ARESA,private sector corporations,,private sector corporations,TRUE
AREU - Afghan Research and Evaluation Unit,academia/think/research,,academia/think/research,TRUE
Argentina,NDD,,National government,TRUE
Argentina Red Cross,red cross,,red cross,TRUE
Argentine Red Cross,red cross,,red cross,TRUE
Argos Cement Company,private sector corporations,,private sector corporations,TRUE
"ARIGATOU FOUNDATION, JAPAN",foundations,,foundations,TRUE
Armadilla S.c.s. Onlus,other,NGOs,NGOs,FALSE
Armée du salut,NGOs,,NGOs,TRUE
Armée du Salut Kalemie,NGOs,,NGOs,TRUE
Armenia,NDD,,National government,FALSE
Armenian Red Cross Society,red cross,,red cross,TRUE
Armenian Relief Society,NGOs,,NGOs,TRUE
Armstrong,private sector corporations,,private sector corporations,TRUE
Army Corps of Engineers,DAC governments,,DAC governments,TRUE
Arno Kobamaron CBO,other,,other,TRUE
ARTICLE 19,NGOs,,NGOs,TRUE
Article 36,NGOs,,academia/think/research,TRUE
"Arts for Peace	",NGOs,,NGOs,TRUE
Ärzte ohne Grenzen e.V.,other,,other,TRUE
ASAL,other,,other,TRUE
Asamblea De Cooperacion Por La Paz,NGOs,,NGOs,TRUE
ASASE,NGOs,,NGOs,TRUE
ASCHIANA,NGOs,,NGOs,TRUE
ASEP,other,,other,TRUE
Asia Foundation,foundations,,foundations,TRUE
ASIA Onlus,NGOs,,NGOs,TRUE
Asia Pacific Permanent Representatives' Spouses Group,Other multi,,Other multi,TRUE
Asian Development Bank,Other multi,,Other multi,TRUE
Asian Disaster Preparedness Centre,NGOs,,NGOs,TRUE
Asian Disaster Reduction Center,Other multi,,Other multi,TRUE
Asian Network for Free Election,private individual organisations,,private individual organisations,TRUE
Asmae Soeur Emmanuelle,private individual organisations,,private individual organisations,TRUE
Asociacion de Trabajadores y Tecnicos Sin Fronteras,NGOs,,NGOs,TRUE
Asociación de Trabajadores y Técnicos Sin Fronteras,NGOs,,NGOs,TRUE
asociacion para la cooperacion con el sur,NGOs,,NGOs,TRUE
Assessment Capacities Project,NGOs,,NGOs,TRUE
Assistance Mission Africa,NGOs,,NGOs,TRUE
Assistência Médica Internacional (AMI),NGOs,,NGOs,TRUE
Assisting Marsh Arabs and Refugees,NGOs,,NGOs,TRUE
Associação Saúde em Português,private individual organisations,,private individual organisations,TRUE
