Donor,Deflatorvalue
APOPO,1.015410128
APOPO vzw (Anti-Persoonsmijnen Ontmijnende Product Onttwikkeling),1.015410128
APOPO vzw (Anti-Persoonsmijnen Ontmijnende Product Onttwikkeling),1.015410128
APOPO vzw (Anti-Persoonsmijnen Ontmijnende Product Onttwikkeling),1.015410128
Apostolic Christian World Relief,1.015410128
"Applied Materials, Inc.",1.015410128
Applied Research Institute Jerusalem,1.015410128
APPRONA,1.015410128
Appui aux Femmes DÇmunies et Enfants MarginalisÇs,1.015410128
Appui aux Initiatives de Bien Etre Familial,1.015410128
AQUADEV,1.015410128
Arab Agronomist Association,1.015410128
Arab Association for Human Rights,1.015410128
Arab Authority for Agricultural Investment and Development ,1.015410128
Arab Fund for Human Rights,1.015410128
Arab Gulf Programme,1.015410128
Arab Gulf Programme for United Nations Development Organizations,1.015410128
Arab League,1.015410128
Arab Medical Association,1.015410128
Arab Medical Equipment and Services Organization,1.015410128
Arab Medical Union,1.015410128
Arab Network for Tolerance,1.015410128
Arab Physicians Federation,1.015410128
Arab Reporters for Investigative Journalism,1.015410128
Arab Women Association,1.015410128
Aragti Relief and Development Organization,1.015410128
Aramark,1.015410128
Aramex InterNational,1.015410128
Arbeiter-Samariter-Bund Deutschland e.V,1.015410128
Arbeiterwohlfahrt Bayern,1.015410128
ARC EN CIEL,1.015410128
ArcelorMittal Foundation,1.015410128
Archdiocese of Kisumu,1.015410128
Arche de l'Alliance,1.015410128
Arche Nova E.V. - Initiative for People in Need,1.015410128
Archer Daniels Midland Company,1.015410128
Architectes de l'urgence,1.015410128
Arcos Dorados B.V.,1.015410128
"Area Staff Union, HQ/Amman",1.015410128
ARESA,1.015410128
AREU - Afghan Research and Evaluation Unit,1.015410128
Argentina,0.874710042
Argentina Red Cross,1.015410128
Argentine Red Cross,1.015410128
Argos Cement Company,1.015410128
"ARIGATOU FOUNDATION, JAPAN",1.015410128
Armadilla S.c.s. Onlus,1.015410128
ArmÇe du salut,1.015410128
ArmÇe du Salut Kalemie,1.015410128
Armenia,0.989382801
Armenian Red Cross Society,1.015410128
Armenian Relief Society,1.015410128
Armstrong,1.015410128
Army Corps of Engineers,1.015410128
Arno Kobamaron CBO,1.015410128
ARTICLE 19,1.015410128
Article 36,1.015410128
"Arts for Peace	",1.015410128
érzte ohne Grenzen e.V.,1.015410128
ASAL,1.015410128
Asamblea De Cooperacion Por La Paz,1.015410128
ASASE,1.015410128
ASCHIANA,1.015410128
ASEP,1.015410128
Asia Foundation,1.015410128
ASIA Onlus,1.015410128
Asia Pacific Permanent Representatives' Spouses Group,1.015410128
Asian Development Bank,1.015410128
Asian Disaster Preparedness Centre,1.015410128
Asian Disaster Reduction Center,1.015410128
Asian Network for Free Election,1.015410128
Asmae Soeur Emmanuelle,1.015410128
Asociacion de Trabajadores y Tecnicos Sin Fronteras,1.015410128
Asociaci¢n de Trabajadores y TÇcnicos Sin Fronteras,1.015410128
asociacion para la cooperacion con el sur,1.015410128
Assessment Capacities Project,1.015410128
Assistance Mission Africa,1.015410128
Assistància MÇdica Internacional (AMI),1.015410128
Assisting Marsh Arabs and Refugees,1.015410128
Associaá∆o Sa£de em Portuguàs,1.015410128
Associated Banc-Corp,1.015410128
Associates in Rural Development,1.015410128
Association d'aide Ö la femme et de la communication,1.015410128
"Association de soutien aux refugies, aux personnes deplacees et aux detenus",1.015410128
Association Develop Horn,1.015410128
Association for Aid and Relief,1.015410128
Association for Aid and Relief Japan,1.015410128
"Association for Cooperation, Interchange and Culture",1.015410128
Association for Empowerment of Persons with Disabilities,1.015410128
Association for Gender Awareness and Human Empowerment,1.015410128
Association for Humanitarian Development,1.015410128
Association for Humanity Development,1.015410128
Association for People's Cooperation between South and North Korea,1.015410128
Association for Promoting Social Action,1.015410128
Association for the Advancement of Democratic Rights-Legal Aid,1.015410128
Association for the Prevention of Torture,1.015410128
Association Francaise de soutien a UNHCR ,1.015410128
Association franáaise pour la prÇvention des catastrophes naturelles,1.015410128
Association Francois-Xavier Bagnoud,1.015410128
Association Fraternite Universelle,1.015410128
Association Humanitaire AKAMASOA,1.015410128
Association IdÇe-elles,1.015410128
Association InterNationale des Soldats de la Paix,1.015410128
Association libanaise de l'Ordre de Malte,1.015410128
Association Luxembourg PÇrou,1.015410128
ASSOCIATION MEDICALE FRANCO-ASIATIQUE,1.015410128
Association Morija,1.015410128
Association Notre Dame de Protection,1.015410128
Association of Chinese Evangelical Ministry Limited,1.015410128
Association of Christian Resource Organizations Serving Sudan,1.015410128
Association of Development Awareness and Motivation,1.015410128
Association of Evangelicals in Africa,1.015410128
Association of International Development Agencies,1.015410128
Association of Major Superious of Religious Women in Korea,1.015410128
Association of Southeast Asian Nations,1.015410128
Association of South-North Kang-Won Province Cooperation,1.015410128
Association Persis Valais,1.015410128
Association pour la CoopÇration Technique et au DÇveloppement,1.015410128
Association pour la protection de l'enfant de la guerre,1.015410128
Association pour la SantÇ Familiale (ASF),1.015410128
Association pour le dÇveloppement de M'Bres,1.015410128
Association pour le dÇveloppement social et la sauvegarde de l?environnement,1.015410128
Association pour le Progres et la Defense des Droits des Femmes,1.015410128
Association pour les enfants oubliÇs,1.015410128
Association RÇg. d'Appro. en MÇdicaments Essentiels,1.015410128
Association rwandaise des conseillers en traumatisme ,1.015410128
ASSOCIATION SOLIDARITE MAROC PALESTINE,1.015410128
Associazione Amici dell?Oasis Togo,1.015410128
Associazione Italiana Amici di Raoul Follereau,1.015410128
Associazione Italiana per La Solidarieta Tra I Popoli (AISPO-ITA),1.015410128
Associazione par la Solidarieta Internazionale in Asia,1.015410128
Associazione per la cooperazione internazionale e l'aiuto umanitario,1.015410128
Associazione per la Participazione allo Svillupo,1.015410128
Associazione Volontari per il Servizio Internazionale,1.015410128
ASSODLO - Assoc. Haãtienne pour la Maåtrise des Sols et des Eaux,1.015410128
Astellas,1.015410128
Astoria Federal Savings,1.015410128
AstraZeneca,1.015410128
ASUR - Appui aux populations dÇplacÇes,1.015410128
AT&T Foundation,1.015410128
ATAV - Assoc. Tsunami Aides aux Victimes,1.015410128
ATDL BUKAVU,1.015410128
Atlantic Philanthropies,1.015410128
ATLAS,1.015410128
Atlas Logistique,1.015410128
Auschwitz-Birkenau Foundation,1.015410128
AUSTCARE - Australian Care for Refugees,1.015410128
Australia,0.996975929
Australia for UNHCR,1.015410128
Australia Red Cross,1.015410128
Australian Aid InterNational,1.015410128
Australian Community Assistance Scheme,1.015410128
Australian Red Cross,1.015410128
Australian Volunteers InterNational,1.015410128
Australians Care for Refugees,1.015410128
Austria,1.021012147
Austria for UNHCR,1.015410128
Austrian Development Agency,1.015410128
Austrian Embassy/Armenia,1.015410128
Austrian Red Cross,1.015410128
AutoritÇs locales,1.015410128
Avenir pour les orphelins au Burundi,1.015410128
Aviation Assistance A/S,1.015410128
Aviation Sans Frontieres,1.015410128
Aviation Sans Frontieres Belgium,1.015410128
Aviation Sans Frontieres France,1.015410128
Avocats Sans Frontieres,1.015410128
Avon,1.015410128
AVRE -Support to Victims for Emotional Recovery,1.015410128
AVREO,1.015410128
AVSF - Agronomes y Veterinaries sans Frontiäres,1.015410128
Award,1.015410128
Awaz Foundation Pakistan Center for Development Services,1.015410128
Aweil Relief Agency for Reintegration and Development,1.015410128
Aweil Window of Opportunities and Development Agency,1.015410128
AWWD,1.015410128
AXA Canada,1.015410128
AXA Group,1.015410128
Ayuda en Accion,1.015410128
AYUUB Organization,1.015410128
Azat Foundation,1.015410128
Azerbaijan,0.676445531
Azerbaijan Red Crescent,1.015410128
Azza Women Association,1.015410128
B2Gold,1.015410128
Ba Futuru / For The Future,1.015410128
Bacardi Limited,1.015410128
Backus y Cervesur,1.015410128
Badil Resource Center for Palestinian Residency and Refugee Rights,1.015410128
Badin Development Organization,1.015410128
BAHA'I InterNational COMMUNITY,1.015410128
Bahamas,1.015410128
Bahamas Red Cross,1.015410128
Bahamas Red Cross Society,1.015410128
Bahrain,1.00156984
Bahrain Red Crescent,1.015410128
Bahrain Red Crescent Society,1.015410128
Bakpiny Community Development Agency,1.015410128
Balancing entry of ERF allocations,1.015410128
"Balay Mindanaw Foundation, Inc.",1.015410128
Balcombe,1.015410128
Balkanactive van de gemeenten,1.015410128
Balochistan Environmental and Educational Journey,1.015410128
Balochistan Rural Development Society,1.015410128
Baluchistan Boys Scouts Association,1.015410128
BAM - Federal Institute for Materials Research and Testing,1.015410128
Banesco Bank Venezuela,1.015410128
Bangladesh,1.026857222
Bangladesh Red Crescent Society,1.015410128
Bangladesh Rural Advancement Committee,1.015410128
Bank of America Corporation,1.015410128
Bank of Palestine,1.015410128
Bank of West,1.015410128
BAPPENAS - Indonesia National Development Planning Agency,1.015410128
Baptist Aotearoa NZ Aid,1.015410128
Baptist World Aid,1.015410128
BÑr + Leu,1.015410128
Barbados,1.003017123
Barbados Red Cross,1.015410128
Barbados Red Cross Society,1.015410128
Barclay's Foundation,1.015410128
Barclays Ghana,1.015410128
Barneombudet,1.015410128
BASF,1.015410128
Bashaer,1.015410128
Basic Education and Employable Skill Training,1.015410128
Basic Needs,1.015410128
Baxter InterNational Foundation,1.015410128
Bayer,1.015410128
BBC World Service Trust,1.015410128
BCIE,1.015410128
BD,1.015410128
BDC Anglican,1.015410128
BDCD,1.015410128
BDD BUKAVU,1.015410128
BDD Kasongo,1.015410128
Beaconhouse,1.015410128
Bearing Point,1.015410128
Bechtel,1.015410128
"Becton, Dickson and Company",1.015410128
Bel Avenir,1.015410128
Belarus,0.908539482
Belarus Red Cross,1.015410128
Belarusian Red Cross,1.015410128
Belgian Air Force,1.015410128
Belgian First Aid and Support Team,1.015410128
Belgian Red Cross,1.015410128
Belgium,1.020237589
Belgium Red Cross,1.015410128
Belize,1.009576514
Belize Red Cross,1.015410128
Belize Red Cross Society,1.015410128
Belun,1.015410128
Benfica Foundation,1.015410128
Benin,1.007339627
Benposta Naci¢n de Muchachos,1.015410128
BEPROD,1.015410128
Berkat,1.015410128
Bernard van Leer Foundation,1.015410128
Berne helps Lviv,1.015410128
Berne University,1.015410128
Bertelsmann AG,1.015410128
Best Buy Children's Foundation,1.015410128
"Best Buy Co., Inc. ",1.015410128
BGR - German Federal Institute for Geosciences and Natural Resources ,1.015410128
BHN Association -Telecom for Basic Human Needs,1.015410128
Bhutan,0.974943815
BID,1.015410128
Bidan Kesehatan Department of Health Indonesia,1.015410128
Bienvenu Refugee Shelter,1.015410128
BIJOU Trust,1.015410128
Bilateral (to affected government),1.015410128
Bilkent Holding,1.015410128
Bill and Melinda Gates Foundation,1.015410128
Bill Emerson Humanitarian Trust,1.015410128
Bioforce,1.015410128
Biogen Idec,1.015410128
Biomet Inc.,1.015410128
Birdlife InterNational,1.015410128
Bjerknes Centre for Climate Research,1.015410128
blank,1.015410128
BLD - Barne- og likestillingsdepartementet,1.015410128
BlÇs du dÇsert,1.015410128
Bloomberg,1.015410128
"Blue Cross and Blue Shield of Minnesota Foundation, Inc.",1.015410128
BLU-MED Response Systems ,1.015410128
BMaA,1.015410128
BMI,1.015410128
BMO Financial Group,1.015410128
BMVg,1.015410128
BMW Group,1.015410128
BNPP,1.015410128
Boeing Company,1.015410128
BOLHISPANIA,1.015410128
Bolivia,1.035720115
Bolivia Red Cross,1.015410128
Bolivian Red Cross,1.015410128
Bolivian Red Cross,1.015410128
Booz Allen Hamilton,1.015410128
BorgWarner,1.015410128
Bosnia & Herzegovina,1.015410128
Bosnian Red Crescent Society,1.015410128
Boston Archiepiscopal Diocese,1.015410128
Boston Foundation,1.015410128
Boston Foundation (Ansara Family Fund),1.015410128
Botswana,0.736601565
Botswana Red Cross,1.015410128
Botswana Red Cross Society,1.015410128
BP Foundation,1.015410128
BRASCRI ,1.015410128
Brazil,1.032094796
Brazil Red Cross,1.015410128
Brazilian Red Cross,1.015410128
Bread for the World,1.015410128
Bridderlech Deelen,1.015410128
Bridgestone Group,1.015410128
Bright Future Organization,1.015410128
Bristol-Myers Squibb,1.015410128
British Agencies Afghanistan Group,1.015410128
British Airways,1.015410128
British Council,1.015410128
British Embassy in Khartoum (Sudan),1.015410128
BRITISH ORG. FOR MEDICAL AND SCIENTIFIC ASSISTANCE,1.015410128
British Red Cross,1.015410128
British Red Cross Society,1.015410128
British Virgin Islands,1.015410128
Broadcasting Board of Governors,1.015410128
Brookings Institute,1.015410128
Brother Industries Ltd.,1.015410128
Brotherhood Association humanity of Human Rights,1.015410128
