Donor,privatemoney,code,check,private?
Action Contre la Faim,no,#N/A,,
Action contre la Faim / contra Hambre / Against Hunger,no,#N/A,,
Action Contre la Faim-Espagne,no,#N/A,,
Action Contre la Faim-France,no,#N/A,,
Action Contre la Pauvreté (ACP),no,#N/A,,
Action de Dévelopement Durable en Afrique,no,#N/A,,
Action de lutte contre la pollution des sources et des puits,no,#N/A,,
Action d'Espoir,no,#N/A,,
Action d'Urgence InterNational,no,#N/A,,
Action for Community Transformation Organization - Afghanistan,no,#N/A,,
Action for Independent Media,no,#N/A,,
Action for Relief and Development,no,#N/A,,
Action for Youth & Environmental Development,no,#N/A,,
Action on Armed Violence,no,#N/A,,
Action pour le Bien Etre Communautaire (ABC),no,#N/A,,
Action pour le Développement Intégral au Kivu,no,#N/A,,
Action pour un Monde Uni,no,#N/A,,
Action Solidarité Tiers Monde,no,#N/A,,
ActionAid,no,#N/A,,
ActionAid InterNational NEPAL,no,#N/A,,
ACTIONAID InterNational ZIMBABWE,no,#N/A,,
ActionAid-Uganda,no,#N/A,,
Actions et Interventions pour le Développement et l'Encadrement Social,no,#N/A,,
Actions Médicales InterNationale,no,#N/A,,
Actions pour la Protection et l’Encadrement de l’Enfant,no,#N/A,,
Actions pour le Developpement Integre en Mileu Rural,no,#N/A,,
Active Development Aid,no,#N/A,,
Active in Development Association,private,#N/A,,
Active Learning Network for Accountability and Performance,no,#N/A,,
ACU/START,no,#N/A,,
Acumet Catholic Parish,private,#N/A,,
Ad Council,no,#N/A,,
ADA,no,#N/A,,
Adam's Peak,no,#N/A,,
ADC Foundation,private,#N/A,,
Admira,no,#N/A,,
Adobe,private,#N/A,,
ADRA Cambodia,no,#N/A,,
ADRA Canada,no,#N/A,,
ADRA Denmark,no,#N/A,,
ADRA Germany,no,#N/A,,
ADRA Nepal,no,#N/A,,
ADRA PASMIC,no,#N/A,,
ADRA Sweden,no,#N/A,,
ADRA UK,no,#N/A,,
ADRA Yemen,no,#N/A,,
ADRA Zimbabwe,no,#N/A,,
ADRA/HELP InterNational,no,#N/A,,
ADRA/SCDO,no,#N/A,,
ADRA-Haiti,no,#N/A,,
ADU_04,no,#N/A,,
Advancement for Small Enterprise Programme,no,#N/A,,
Advantest Corporation,private,#N/A,,
Advent Software,private,#N/A,,
Adventist Development and Relief Agency ,no,#N/A,,
Adventist Development and Relief Agency - Nepal,no,#N/A,,
Adventist Development and Relief Agency (New Zealand),no,#N/A,,
Aertze der Welt e.V.,no,#N/A,,
Aerzte für die Dritte Welt,no,#N/A,,
Aetna Foundation,private,#N/A,,
AFCAP,no,#N/A,,
AFD,no,#N/A,,
Afghan Center,no,#N/A,,
Afghan Development Association,no,#N/A,,
Afghan Global Development Organization,no,#N/A,,
Afghan Health & Development Services,no,#N/A,,
Afghan Health and Social Assistance Organisation,no,#N/A,,
Afghan Ministry of Planning,no,#N/A,,
Afghan Mobile Reconstruction Association,no,#N/A,,
Afghan NGO Security Office,no,#N/A,,
Afghan Reconstruction Trust Fund,no,#N/A,,
Afghan Reconstruction Trust Fund ,no,#N/A,,
Afghan Red Crescent,no,#N/A,,
Afghan Red Crescent Society,no,#N/A,,
Afghan Research and Evaluation Unit,no,#N/A,,
Afghan Social and Agricultural Affairs Rehabilitation Organization,no,#N/A,,
Afghan Technical Consultants,private,#N/A,,
Afghan Women Association for Rehabilitation & Development,no,#N/A,,
Afghanaid,no,#N/A,,
Afghanischer Arzteverein in Deutschland e.V.,no,#N/A,,
Afghanistan,no,#N/A,,
Afghanistan Demain,no,#N/A,,
Afghanistan Development & Educational Organization,no,#N/A,,
Afghanistan Independent Human Rights Commission,no,#N/A,,
Afghanistan Landmine Survivors' Organisation,no,#N/A,,
Afghanistan Solidarity Organization,no,#N/A,,
Afghanistan-Hilfe e.V.,no,#N/A,,
Afkar Society for Development and Humanitarian Relief,no,Afkar Society for Development and Humanitarian Relief,NGOs,
Aflac,private,#N/A,,
Africa 2000 Network,no,#N/A,,
Africa Centre for Holistic Management,private,#N/A,,
Africa Directo,no,#N/A,,
Africa Humanitarian Action,no,#N/A,,
Africa Muslims Agency (Johannesburg),no,#N/A,,
African Child Outreach Trust,no,#N/A,,
African Commission Human and People's Rights,no,#N/A,,
African Development and Emergency Organisation,no,#N/A,,
African Development Bank,no,#N/A,,
African Development Solutions,no,#N/A,,
African Educational Trust,no,#N/A,,
African Medical and Research Foundation,no,#N/A,,
African Mission in Burundi,no,#N/A,,
African Network for the Prevention and Protection Against Child Abuse and Neglect in Somalia,no,#N/A,,
African Rescue Committee,no,#N/A,,
African Revival Ministries,no,#N/A,,
African Union,no,#N/A,,
African Union Mission in Somalia,no,#N/A,,
African Union Mission in Sudan,no,#N/A,,
African Union Mission in Sudan ,no,#N/A,,
Africare,no,#N/A,,
Africare ,no,#N/A,,
Africare/Catholic Relief Services,no,#N/A,,
Afrique Verte Mali,no,#N/A,,
Afrique Verte Niger,no,#N/A,,
Aga Khan Development Network,no,#N/A,,
Aga Khan Foundation,private,Aga Khan Foundation,NGOs,no
Aga Khan Foundation Tajikistan,no,#N/A,,
AGEF,no,#N/A,,
Agence d'Assistance aux Rapatries et Refugies au Congo,no,#N/A,,
Agencia Española de Cooperación Internacional,no,#N/A,,
Agency for Cooperation and Research in Development,no,#N/A,,
Agency for Co-operation and Research in Development,no,#N/A,,
Agency for Peace and Development,no,#N/A,,
Agency for Rehabilitation and Development,no,#N/A,,
Agency for rehabilitation and Energy-Conservation in Afghanistan,no,#N/A,,
Agency for Technical Cooperation and Development,no,#N/A,,
Agenzia Italiana Risposta Emergenze,private,#N/A,,
Agglobe Services InterNational and the Korean Unpasan General Trading Company,no,#N/A,,
AGHSAN,no,#N/A,,
Agility,private,#N/A,,
Agricultural and Environmental Development Society,no,#N/A,,
Agricultural Cooperative Development InterNational,no,#N/A,,
Agricultural Cooperative Development International and Volunteers in Overseas Cooperative Assistance,no,#N/A,,
Agricultural Cooperative Development InterNational/Volunteers in Overseas Cooperative Assistance,no,#N/A,,
Agricultural Development Association (PARC),no,#N/A,,
Agricultural Development Organisation,no,#N/A,,
Agricultural Research Corporation,no,#N/A,,
Agri-Systems,private,#N/A,,
Agriterra,private,#N/A,,
AGROCARE Community Development Association,private,#N/A,,
Agronomes et Vétérinaires Sans Frontières,no,#N/A,,
AGROSPHERE,no,#N/A,,
AH Dames Suisse,no,#N/A,,
AICF-F,no,#N/A,,
Aid for Central Africa,no,#N/A,,
Aid for Refugees and Orphans,no,#N/A,,
Aide à l'Enfance de Canada,no,#N/A,,
Aide à l''Enfance de l''Inde,no,#N/A,,
Aide et Action,no,#N/A,,
Aide Médicale  InterNationale ,no,#N/A,,
AIDER,no,#N/A,,
Aids Foundation for Children,no,#N/A,,
AIG Disaster Relief Fund,private,#N/A,,
AiN - Afghanistankomiteen i Norge,no,#N/A,,
AÏNA (Afghanistan),no,#N/A,,
Air Cargo Associates,private,#N/A,,
Air Charter World,private,#N/A,,
Air Force Contracting Augmentation Program,no,#N/A,,
Air Products,private,#N/A,,
Air Serv InterNational,no,#N/A,,
Airamid Health Management,private,#N/A,,
Airbus Foundation,private,#N/A,,
Airline Cargo Service,private,#N/A,,
AISHA Association for Woman and Child Protection,no,#N/A,,
AK Steel,private,#N/A,,
Akin Gump Strauss Hauer & Feld LLP,private,#N/A,,
Aktion Afrika Hilfe,no,#N/A,,
Aktion Deutschland Hilft,no,#N/A,,
Al Afran Media and Culture ,no,#N/A,,
Al Anbar Center for Humanitarian Relief,no,#N/A,,
Al ghara Charity Organization-Jordan,no,#N/A,,
Al Ihsan NGO,no,#N/A,,
Al Maktoum Foundation,private,#N/A,,
Al Mamoura Humanitarian Establishment,no,#N/A,,
Al Manar Voluntary Organization,no,#N/A,,
Al Zubair Charity Organisation,no,#N/A,,
Al-Afeea Fund,no,#N/A,,
Al-Ahleya Association for the development of palm and dates,no,#N/A,,
Al-Amal Charity Organization for the Disabled,no,#N/A,,
Al-Amal Community for Social Welfare,no,#N/A,,
"Al-Aqsa Islamic Society, USA",private,#N/A,,
Alaska Sudan Medical Project,no,#N/A,,
Albania,no,#N/A,,
Albanian Red Cross,no,#N/A,,
Alcoa Foundation,private,#N/A,,
Alcon Laboratories,private,#N/A,,
ALDHU - Latin American Association for Human Rights ,no,#N/A,,
ALDI,private,#N/A,,
AlertNet,no,#N/A,,
Alexander Bodini Foundation,private,#N/A,,
Alfajr Palestinian Youth Association,no,#N/A,,
Algeria,no,#N/A,,
Algerian Red Crescent,no,#N/A,,
Algerian Red Crescent Society,no,#N/A,,
ALICORP,private,#N/A,,
Al-Islah Association,no,#N/A,,
Alive and kicking,no,#N/A,,
Al-Khidmat Foundation,private,#N/A,,
All Hands Volunteers (previously Hands On Disaster Response),no,#N/A,,
AllianceBernstein Holding L.P.,private,#N/A,,
Allianz Life Insurance Company of North America ,private,#N/A,,
Allianz Mission,no,#N/A,,
Allocation  of unearmarked funds by UNDG/EXECCOMM Secretariat,no,#N/A,,
Allocation from UNVTF/Mine Action,no,#N/A,,
Allocation of unearmarked funds,no,#N/A,,
Allocation of unearmarked funds by DPKO,no,#N/A,,
Allocation of unearmarked funds by FAO,no,#N/A,,
Allocation of unearmarked funds by ILO,no,#N/A,,
Allocation of unearmarked funds by IOM,no,#N/A,,
Allocation of unearmarked funds by OCHA,no,#N/A,,
Allocation of unearmarked funds by OHCHR,no,#N/A,,
Allocation of unearmarked funds by UNAIDS,no,#N/A,,
Allocation of unearmarked funds by UNDP,no,#N/A,,
Allocation of unearmarked funds by UNDP for UNDSS,no,#N/A,,
Allocation of unearmarked funds by UNDSS,no,#N/A,,
Allocation of unearmarked funds by UNEP,no,#N/A,,
Allocation of unearmarked funds by UNESCAP,no,#N/A,,
Allocation of unearmarked funds by UNESCO,no,#N/A,,
Allocation of unearmarked funds by UNFPA,no,#N/A,,
Allocation of unearmarked funds by UN-HABITAT,no,#N/A,,
Allocation of unearmarked funds by UNHCR,no,#N/A,,
Allocation of unearmarked funds by UNICEF,no,#N/A,,
Allocation of unearmarked funds by UNIFIL,no,#N/A,,
Allocation of unearmarked funds by UNMAS,no,#N/A,,
Allocation of unearmarked funds by UNOPS,no,#N/A,,
Allocation of unearmarked funds by UNV,no,#N/A,,
Allocation of unearmarked funds by WFP,no,#N/A,,
Allocation of unearmarked funds by WHO,no,#N/A,,
Allocation of unearmarked funds by WMO,no,#N/A,,
Allstate Foundation,private,#N/A,,
Almanar Voluntary Organization,no,#N/A,,
Almassar Charity Organization for Nomads,no,#N/A,,
ALNAP - Active Learning Network for Accountability and Performance,no,#N/A,,
Alnour Wal Amal Association,no,#N/A,,
Al-Ofiq Organization for Development and Emergency,no,#N/A,,
Alola Foundation,no,#N/A,,
Alpha Ujuvi,no,#N/A,,
Alpistan,no,#N/A,,
Al-Sabeel Foundation for Social Development,private,#N/A,,
Alsalam Organization for Rehabilitation and Development,no,#N/A,,
Alshroog Organization for Social and Culture Development,no,#N/A,,
Alternative,no,#N/A,,
Alternative/SCF-UK,no,#N/A,,
Altria Group,private,#N/A,,
Al-Yousser Organization for Assistance & Rehabilitation Assistance & Rehabilitation Assistance & Rehabilitation,no,#N/A,,
Aman Organization,no,#N/A,,
AMAR Foundation,private,#N/A,,
Ambassador's Authority,no,#N/A,,
AMDA InterNational,no,#N/A,,
AMEL,no,#N/A,,
America Continental 2000,private,#N/A,,
American Bar Association,private,American Bar Association,private sector corporation,
American Center for InterNational Labor,no,#N/A,,
American Charities for Palestine,no,#N/A,,
American Council for Voluntary InterNational Action,no,#N/A,,
American Egg Board,private,#N/A,,
American Express Company,private,#N/A,,
American Friends of UNRWA,no,#N/A,,
American Friends Service Committee,no,#N/A,,
American Institutes for Research,no,#N/A,,
American Jewish Joint Distribution Committee,private,#N/A,,
American Jewish World Service,no,#N/A,,
American Lebanese Language Center,no,#N/A,,
American Near East Refugee Aid,no,#N/A,,
American Red Cross,no,#N/A,,
American Refugee Committee,no,#N/A,,
American Rescue Committee,no,#N/A,,
Americares,no,#N/A,,
America's Development Foundation ,private,#N/A,,
"Ameriprise Financial, Inc.",private,#N/A,,
Amgen,private,#N/A,,
AMICA e.V,no,#N/A,,
Amica hilft in Bosnien e.V.,no,#N/A,,
Amis des Personnes en Détresse,no,#N/A,,
Amitie sans Frontieres,no,#N/A,,
AMITY FOUNDATION,private,#N/A,,
AMMAN CENTER HUMAN RIGHTS STUDIES,no,#N/A,,
Amnesty InterNational Norge,no,#N/A,,
AMURT (Ananda Marga Universal Relief Team) (Switzerland),no,#N/A,,
AMURT InterNational,no,#N/A,,
Amway,private,#N/A,,
ANA Airlines,private,#N/A,,
Andean Development Corporation,no,#N/A,,
Andorra,no,#N/A,,
Andorran Red Cross,no,#N/A,,
Angel Network,no,#N/A,,
ANGLO AMERICAN PLC,private,#N/A,,
Angola,no,#N/A,,
Angola Red Cross,no,#N/A,,
"Anhar for Peace, Development and Humanitarian Work Organization",no,#N/A,,
"Anheuser-Busch Companies, Inc.",private,#N/A,,
Anna Lininger,private,#N/A,,
Annie E. Casey Foundation,private,#N/A,,
ANSO / IRC,no,#N/A,,
Antares Foundation,private,#N/A,,
Antenna Technologies Grands Lacs (ATGL),no,#N/A,,
Antigua and Barbuda,no,#N/A,,
AP Moller Maersk Group,private,#N/A,,
APEC (Association pour la protection de l'enfance  au Congo),no,#N/A,,
APEDE,no,#N/A,,
APHEDA,no,#N/A,,
APOPO,no,#N/A,,
APOPO vzw (Anti-Persoonsmijnen Ontmijnende Product Onttwikkeling),no,#N/A,,
APOPO vzw (Anti-Persoonsmijnen Ontmijnende Product Onttwikkeling),no,#N/A,,
APOPO vzw (Anti-Persoonsmijnen Ontmijnende Product Onttwikkeling),no,#N/A,,
Apostolic Christian World Relief,no,#N/A,,
"Applied Materials, Inc.",private,#N/A,,
Applied Research Institute Jerusalem,no,#N/A,,
APPRONA,no,#N/A,,
Appui aux Femmes Démunies et Enfants Marginalisés,no,#N/A,,
Appui aux Initiatives de Bien Etre Familial,no,#N/A,,
AQUADEV,no,#N/A,,
Arab Agronomist Association,no,#N/A,,
Arab Association for Human Rights,no,#N/A,,
Arab Authority for Agricultural Investment and Development ,no,#N/A,,
Arab Fund for Human Rights,no,#N/A,,
Arab Gulf Programme,no,#N/A,,
Arab Gulf Programme for United Nations Development Organizations,no,#N/A,,
Arab League,no,#N/A,,
Arab Medical Association,private,#N/A,,
Arab Medical Equipment and Services Organization,no,#N/A,,
Arab Medical Union,no,#N/A,,
Arab Network for Tolerance,no,#N/A,,
Arab Physicians Federation,private,#N/A,,
Arab Reporters for Investigative Journalism,no,#N/A,,
Arab Women Association,no,#N/A,,
Aragti Relief and Development Organization,no,#N/A,,
Aramark,private,#N/A,,
Aramex InterNational,private,#N/A,,
Arbeiter-Samariter-Bund Deutschland e.V,no,#N/A,,
Arbeiterwohlfahrt Bayern,no,#N/A,,
ARC EN CIEL,no,#N/A,,
ArcelorMittal Foundation,private,#N/A,,
Archdiocese of Kisumu,private,#N/A,,
Arche de l'Alliance,private,#N/A,,
Arche Nova E.V. - Initiative for People in Need,no,#N/A,,
Archer Daniels Midland Company,private,#N/A,,
Architectes de l'urgence,private,#N/A,,
Arcos Dorados B.V.,private,#N/A,,
"Area Staff Union, HQ/Amman",no,#N/A,,
ARESA,private,#N/A,,
AREU - Afghan Research and Evaluation Unit,no,#N/A,,
Argentina,no,#N/A,,
Argentina Red Cross,no,#N/A,,
Argentine Red Cross,no,#N/A,,
Argos Cement Company,private,#N/A,,
"ARIGATOU FOUNDATION, JAPAN",private,#N/A,,
Armadilla S.c.s. Onlus,no,Armadilla S.c.s. Onlus,NGOs,
Armée du salut,no,#N/A,,
Armée du Salut Kalemie,no,#N/A,,
Armenia,no,#N/A,,
Armenian Red Cross Society,no,#N/A,,
Armenian Relief Society,no,#N/A,,
Armstrong,private,#N/A,,
Army Corps of Engineers,no,#N/A,,
Arno Kobamaron CBO,no,#N/A,,
ARTICLE 19,no,#N/A,,
Article 36,no,#N/A,,
"Arts for Peace	",no,#N/A,,
Ärzte ohne Grenzen e.V.,no,#N/A,,
ASAL,no,#N/A,,
Asamblea De Cooperacion Por La Paz,no,#N/A,,
ASASE,no,#N/A,,
ASCHIANA,no,#N/A,,
ASEP,no,#N/A,,
Asia Foundation,private,#N/A,,
ASIA Onlus,no,#N/A,,
Asia Pacific Permanent Representatives' Spouses Group,no,#N/A,,
Asian Development Bank,no,#N/A,,
Asian Disaster Preparedness Centre,no,#N/A,,
Asian Disaster Reduction Center,no,#N/A,,
Asian Network for Free Election,private,#N/A,,
Asmae Soeur Emmanuelle,private,#N/A,,
Asociacion de Trabajadores y Tecnicos Sin Fronteras,no,#N/A,,
Asociación de Trabajadores y Técnicos Sin Fronteras,no,#N/A,,
asociacion para la cooperacion con el sur,no,#N/A,,
Assessment Capacities Project,no,#N/A,,
Assistance Mission Africa,no,#N/A,,
Assistência Médica Internacional (AMI),no,#N/A,,
Assisting Marsh Arabs and Refugees,no,#N/A,,
Associação Saúde em Português,private,#N/A,,
Associated Banc-Corp,private,#N/A,,
Associates in Rural Development,private,#N/A,,
Association d'aide à la femme et de la communication,no,#N/A,,
"Association de soutien aux refugies, aux personnes deplacees et aux detenus",no,#N/A,,
Association Develop Horn,no,#N/A,,
Association for Aid and Relief,no,#N/A,,
Association for Aid and Relief Japan,no,#N/A,,
"Association for Cooperation, Interchange and Culture",no,#N/A,,
Association for Empowerment of Persons with Disabilities,no,#N/A,,
Association for Gender Awareness and Human Empowerment,no,#N/A,,
Association for Humanitarian Development,no,#N/A,,
Association for Humanity Development,no,#N/A,,
Association for People's Cooperation between South and North Korea,private,#N/A,,
Association for Promoting Social Action,no,#N/A,,
Association for the Advancement of Democratic Rights-Legal Aid,no,#N/A,,
Association for the Prevention of Torture,no,#N/A,,
Association Francaise de soutien a UNHCR ,no,#N/A,,
Association française pour la prévention des catastrophes naturelles,no,#N/A,,
Association Francois-Xavier Bagnoud,no,#N/A,,
Association Fraternite Universelle,private,#N/A,,
Association Humanitaire AKAMASOA,no,#N/A,,
Association Idée-elles,no,#N/A,,
Association InterNationale des Soldats de la Paix,no,#N/A,,
Association libanaise de l'Ordre de Malte,private,#N/A,,
Association Luxembourg Pérou,no,#N/A,,
ASSOCIATION MEDICALE FRANCO-ASIATIQUE,no,#N/A,,
Association Morija,no,#N/A,,
Association Notre Dame de Protection,no,#N/A,,
Association of Chinese Evangelical Ministry Limited,no,#N/A,,
Association of Christian Resource Organizations Serving Sudan,no,#N/A,,
Association of Development Awareness and Motivation,no,#N/A,,
Association of Evangelicals in Africa,no,#N/A,,
Association of International Development Agencies,no,#N/A,,
Association of Major Superious of Religious Women in Korea,private,#N/A,,
Association of Southeast Asian Nations,no,#N/A,,
Association of South-North Kang-Won Province Cooperation,no,#N/A,,
Association Persis Valais,no,#N/A,,
Association pour la Coopération Technique et au Développement,no,#N/A,,
Association pour la protection de l'enfant de la guerre,no,#N/A,,
Association pour la Santé Familiale (ASF),no,#N/A,,
Association pour le développement de M'Bres,no,Association pour le développement de M'Bres,NGOs,
Association pour le développement social et la sauvegarde de l’environnement,no,#N/A,,
Association pour le Progres et la Defense des Droits des Femmes,no,#N/A,,
Association pour les enfants oubliés,no,#N/A,,
Association Rég. d'Appro. en Médicaments Essentiels,no,#N/A,,
Association rwandaise des conseillers en traumatisme ,no,#N/A,,
ASSOCIATION SOLIDARITE MAROC PALESTINE,no,#N/A,,
Associazione Amici dell’Oasis Togo,no,#N/A,,
Associazione Italiana Amici di Raoul Follereau,no,#N/A,,
Associazione Italiana per La Solidarieta Tra I Popoli (AISPO-ITA),no,#N/A,,
Associazione par la Solidarieta Internazionale in Asia,no,#N/A,,
Associazione per la cooperazione internazionale e l'aiuto umanitario,no,#N/A,,
Associazione per la Participazione allo Svillupo,no,#N/A,,
Associazione Volontari per il Servizio Internazionale,no,#N/A,,
ASSODLO - Assoc. Haïtienne pour la Maîtrise des Sols et des Eaux,no,#N/A,,
Astellas,private,#N/A,,
Astoria Federal Savings,private,#N/A,,
AstraZeneca,private,#N/A,,
ASUR - Appui aux populations déplacées,no,#N/A,,
AT&T Foundation,private,#N/A,,
ATAV - Assoc. Tsunami Aides aux Victimes,no,#N/A,,
ATDL BUKAVU,no,#N/A,,
Atlantic Philanthropies,private,#N/A,,
ATLAS,private,#N/A,,
Atlas Logistique,no,#N/A,,
Auschwitz-Birkenau Foundation,private,#N/A,,
AUSTCARE - Australian Care for Refugees,no,#N/A,,
Australia,no,#N/A,,
Australia for UNHCR,no,#N/A,,
Australia Red Cross,no,#N/A,,
Australian Aid InterNational,no,#N/A,,
Australian Community Assistance Scheme,no,#N/A,,
Australian Red Cross,no,#N/A,,
Australian Volunteers InterNational,no,#N/A,,
Australians Care for Refugees,no,#N/A,,
Austria,no,#N/A,,
Austria for UNHCR,no,#N/A,,
Austrian Development Agency,no,#N/A,,
Austrian Embassy/Armenia,no,#N/A,,
Austrian Red Cross,no,#N/A,,
Autorités locales,no,#N/A,,
Avenir pour les orphelins au Burundi,no,#N/A,,
Aviation Assistance A/S,private,#N/A,,
Aviation Sans Frontieres,no,#N/A,,
Aviation Sans Frontieres Belgium,no,#N/A,,
Aviation Sans Frontieres France,no,#N/A,,
Avocats Sans Frontieres,no,#N/A,,
Avon,private,#N/A,,
AVRE -Support to Victims for Emotional Recovery,no,#N/A,,
AVREO,private,AVREO,NGOs,no
AVSF - Agronomes y Veterinaries sans Frontières,no,#N/A,,
Award,no,#N/A,,
Awaz Foundation Pakistan Center for Development Services,private,#N/A,,
Aweil Relief Agency for Reintegration and Development,no,#N/A,,
Aweil Window of Opportunities and Development Agency,private,Aweil Window of Opportunities and Development Agency,NGOs,no
AWWD,no,#N/A,,
AXA Canada,private,#N/A,,
AXA Group,private,#N/A,,
Ayuda en Accion,no,#N/A,,
AYUUB Organization,no,#N/A,,
Azat Foundation,no,#N/A,,
Azerbaijan,no,#N/A,,
Azerbaijan Red Crescent,no,#N/A,,
Azza Women Association,no,#N/A,,
B2Gold,private,#N/A,,
Ba Futuru / For The Future,no,#N/A,,
Bacardi Limited,private,#N/A,,
Backus y Cervesur,private,#N/A,,
Badil Resource Center for Palestinian Residency and Refugee Rights,no,#N/A,,
Badin Development Organization,no,#N/A,,
BAHA'I InterNational COMMUNITY,no,#N/A,,
Bahamas,no,#N/A,,
Bahamas Red Cross,no,#N/A,,
Bahamas Red Cross Society,no,#N/A,,
Bahrain,no,#N/A,,
Bahrain Red Crescent,no,#N/A,,
Bahrain Red Crescent Society,no,#N/A,,
Bakpiny Community Development Agency,no,#N/A,,
Balancing entry of ERF allocations,no,#N/A,,
"Balay Mindanaw Foundation, Inc.",private,#N/A,,
Balcombe,no,#N/A,,
Balkanactive van de gemeenten,no,#N/A,,
Balochistan Environmental and Educational Journey,no,#N/A,,
Balochistan Rural Development Society,no,#N/A,,
Baluchistan Boys Scouts Association,no,#N/A,,
BAM - Federal Institute for Materials Research and Testing,no,#N/A,,
Banesco Bank Venezuela,private,#N/A,,
Bangladesh,no,#N/A,,
Bangladesh Red Crescent Society,no,#N/A,,
Bangladesh Rural Advancement Committee,no,#N/A,,
Bank of America Corporation,private,#N/A,,
Bank of Palestine,private,#N/A,,
Bank of West,private,#N/A,,
BAPPENAS - Indonesia National Development Planning Agency,no,#N/A,,
Baptist Aotearoa NZ Aid,no,#N/A,,
Baptist World Aid,no,#N/A,,
Bär + Leu,no,#N/A,,
Barbados,no,#N/A,,
