country,yearpov125_1,poverty125_1,yearpov125_2,poverty125_2,yearpov125_3,poverty125_3,yearpov125_4,poverty125_4,yearpov2_1,poverty2_1,yearpov2_2,poverty2_2,yearpov2_3,poverty2_3,yearpov2_4,poverty2_4,yearGDP_1,GDP_1,yearGDP_2,GDP_2,yearGDP_3,GDP_3,yearGDP_4,GDP_4,yearGDP_5,GDP_5
Bolivia,2012,8.0,2011,7.0,2009,10.7,2008,10.5,2012,12.7,2011,12.0,2009,16.3,2008,18.2,2014,6153,2013,5934,2012,5650,2011,5462,2010,5279
Bosnia and Herzegovina,,,2007,0.0,2004,0.1,2001,0.3,,,2007,0.1,2004,0.3,2001,0.6,2014,9516,2013,9387,2012,9149,2011,9248,2010,9145
Botswana,2009,13.4,2003,24.4,1994,31.2,1985,35.6,2009,27.8,2003,41.6,1994,49.4,1985,54.7,2014,16725,2013,16155,2012,14905,2011,14341,2010,13642
Brazil,2012,3.8,2011,4.5,2009,4.7,2008,4.9,2012,6.8,2011,8.2,2009,9.5,2008,10.2,2014,15412,2013,15518,2012,15234,2011,15101,2010,14660
Brunei Darussalam,,,,,,,,,,,,,,,,,2014,72219,2013,69474,2012,71664,2011,71991,2010,70636
Bulgaria,2011,1.9,2010,1.6,2008,0.7,2007,0.3,2011,3.9,2010,3.3,2008,2.2,2007,1.3,2014,16048,2013,15695,2012,15443,2011,15278,2010,14886
Burkina Faso,2009,44.5,2003,48.9,1998,70.0,1994,71.2,2009,72.4,2003,72.5,1998,87.6,1994,85.8,2014,1606,2013,1588,2012,1532,2011,1481,2010,1431
Burundi,,,2006,81.3,1998,86.4,1992,84.2,,,2006,93.5,1998,95.4,1992,95.2,2014,758,2013,747,2012,737,2011,731,2010,725
Cambodia,2011,10.1,2010,11.3,2009,12.9,2008,20.9,2011,41.3,2010,40.9,2009,40.7,2008,51.1,2014,3093,2013,2942,2012,2790,2011,2646,2010,2513
Cameroon,,,2007,27.6,2001,24.9,1996,47.4,,,2007,53.2,2001,50.7,1996,71.5,2014,2829,2013,2739,2012,2661,2011,2610,2010,2571
Canada,,,,,,,,,,,,,,,,,2014,42817,2013,42213,2012,41865,2011,41567,2010,40773
Cape Verde,,,,,2007,13.7,2002,21.0,,,,,2007,34.7,2002,40.9,2014,6343,2013,6232,2012,6224,2011,6206,2010,6005
Central African Republic,,,2008,62.8,2003,62.4,1992,83.2,,,2008,80.1,2003,81.9,1992,91.0,2014,578,2013,584,2012,932,2011,913,2010,901
Chad,,,,,2011,36.5,2002,61.9,,,,,2011,60.5,2002,83.3,2014,2141,2013,2055,2012,2003,2011,1896,2010,1953
Chile,2011,0.8,2009,1.3,2006,1.1,2003,1.7,2011,1.9,2009,2.6,2006,3.1,2003,4.6,2014,21967,2013,21746,2012,21050,2011,20141,2010,19204
China,2011,6.3,2010,9.2,2008,12.3,2005,15.8,2011,18.6,2010,23.2,2008,28.3,2005,36.0,2014,12609,2013,11805,2012,11017,2011,10274,2010,9430
Colombia,2012,5.6,2011,5.0,2010,6.2,2009,7.3,2012,12.0,2011,11.3,2010,13.7,2009,15.7,2014,12447,2013,12054,2012,11636,2011,11332,2010,10777
Comoros,,,,,,,2004,46.1,,,,,,,2004,65.0,2014,1459,2013,1450,2012,1435,2011,1427,2010,1426
Congo (Republic of the),,,,,2011,32.8,2005,54.1,,,,,2011,57.3,2005,74.4,2014,5905,2013,5680,2012,5631,2011,5569,2010,5533
Costa Rica,2012,1.4,2011,1.4,2010,1.3,2009,2.9,2012,3.1,2011,3.2,2010,2.9,2009,5.2,2014,13713,2013,13427,2012,13162,2011,12694,2010,12322
Cote d'Ivoire,2008,35.0,2002,29.7,1998,30.1,1995,21.1,2008,59.1,2002,56.9,1998,57.1,1995,48.0,2014,3324,2013,3123,2012,2928,2011,2706,2010,2892
Croatia,2008,0.0,2004,0.0,2001,0.1,2000,0.1,2008,0.0,2004,0.0,2001,0.2,2000,0.2,2014,20060,2013,20049,2012,20183,2011,20571,2010,19989
Cuba,,,,,,,,,,,,,,,,,2013,20122,2012,19586,2011,19005,2010,18477,2009,18035
Cyprus,,,,,,,,,,,,,,,,,2014,29673,2013,30081,2012,31710,2011,32983,2010,33747
Czech Republic,2011,0.0,2010,0.0,2009,0.0,2008,0.0,2011,0.1,2010,0.1,2009,0.1,2008,0.1,2014,28695,2013,28124,2012,28333,2011,28603,2010,28111
Democratic People's Republic of Korea,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,,,,,,,2005,87.7,,,,,,,2005,95.2,2014,768,2013,724,2012,685,2011,657,2010,632
Denmark,,,,,,,,,,,,,,,,,2014,42777,2013,42483,2012,42869,2011,43314,2010,42997
Djibouti,,,,,,,2002,18.8,,,,,,,2002,41.2,2014,3016,2013,2903,2012,2807,2011,2767,2010,2665
Dominica,,,,,,,,,,,,,,,,,2014,10207,2013,10011,2012,10149,2011,10333,2010,10375
Dominican Republic,2012,2.3,2011,2.5,2010,2.2,2009,3.0,2012,8.8,2011,8.5,2010,9.9,2009,10.0,2014,12505,2013,11790,2012,11391,2011,11241,2010,11075
Ecuador,2012,4.0,2011,4.0,2010,4.6,2009,6.0,2012,8.4,2011,9.0,2010,10.6,2009,13.1,2014,10774,2013,10541,2012,10233,2011,9882,2010,9311
Egypt,2008,1.7,2004,2.3,2000,1.8,1996,2.5,2008,15.4,2004,20.1,2000,19.4,1996,26.3,2014,10792,2013,10731,2012,10683,2011,10629,2010,10615
El Salvador,2012,2.5,2011,2.8,2010,5.2,2009,4.2,2012,8.8,2011,10.3,2010,13.1,2009,12.4,2014,7613,2013,7515,2012,7442,2011,7352,2010,7237
Equatorial Guinea,,,,,,,,,,,,,,,,,2014,30783,2013,32654,2012,35282,2011,35150,2010,34431
Eritrea,,,,,,,,,,,,,,,,,2014,1140,2013,1157,2012,1180,2011,1139,2010,1083
Estonia,2011,1.0,2010,0.8,2009,0.6,2008,0.5,2011,1.4,2010,1.2,2009,0.9,2008,0.6,2014,25865,2013,25254,2012,24761,2011,23576,2010,21710
Ethiopia,2010,36.8,2005,39.0,1999,54.6,1995,63.2,2010,72.2,2005,77.6,1999,86.0,1995,86.0,2014,1432,2013,1336,2012,1240,2011,1171,2010,1081
Fiji,,,,,2008,5.9,2002,29.2,,,,,2008,22.9,2002,48.7,2014,7735,2013,7502,2012,7303,2011,7228,2010,7098
Finland,,,,,,,,,,,,,,,,,2014,38569,2013,38788,2012,39489,2011,40251,2010,39425
France,,,,,,,,,,,,,,,,,2014,37218,2013,37309,2012,37227,2011,37328,2010,36745
Gabon,,,,,,,2005,6.1,,,,,,,2005,20.9,2014,17912,2013,17580,2012,17252,2011,16590,2010,15982
Gambia,,,,,2003,33.6,1998,65.6,,,,,2003,55.9,1998,81.2,2014,1555,2013,1608,2012,1584,2011,1545,2010,1667
Georgia,2012,14.1,2011,16.1,2010,18.0,2009,14.0,2012,31.3,2011,33.5,2010,35.8,2009,31.8,2014,7233,2013,6930,2012,6702,2011,6322,2010,5938
Germany,,,,,,,,,,,,,,,,,2014,43444,2013,42887,2012,42959,2011,42080,2010,40632
Ghana,2005,28.6,1998,39.1,1991,51.1,1988,49.4,2005,51.8,1998,63.3,1991,77.7,1988,77.7,2014,3953,2013,3873,2012,3685,2011,3446,2010,3091
Greece,,,,,,,,,,,,,,,,,2014,24502,2013,24159,2012,24991,2011,26675,2010,29190
Grenada,,,,,,,,,,,,,,,,,2014,11400,2013,11273,2012,11046,2011,11219,2010,11178
Guatemala,2011,13.7,2006,13.5,2004,16.5,2003,18.0,2011,29.8,2006,26.0,2004,31.2,2003,30.3,2014,7181,2013,7063,2012,6985,2011,6957,2010,6849
Guinea,2012,40.9,2007,39.3,2003,56.3,1994,63.8,2012,72.7,2007,65.9,2003,80.8,1994,81.7,2014,1179,2013,1213,2012,1216,2011,1200,2010,1185
Guinea-Bissau,,,2002,48.9,1993,65.3,1991,41.3,,,2002,78.0,1993,84.6,1991,58.5,2014,1363,2013,1362,2012,1391,2011,1457,2010,1368
Guyana,,,,,1998,8.7,1992,6.9,,,,,1998,18.0,1992,17.1,2014,6545,2013,6336,2012,6054,2011,5808,2010,5542
Haiti,,,,,,,2001,61.7,,,,,,,2001,77.5,2014,1670,2013,1648,2012,1603,2011,1580,2010,1518
Honduras,2011,16.5,2010,13.4,2009,12.4,2008,14.6,2011,29.2,2010,26.3,2009,24.3,2008,26.7,2014,4214,2013,4154,2012,4131,2011,4345,2010,4270
Hungary,2011,0.1,2010,0.1,2008,0.0,2006,0.1,2011,0.2,2010,0.1,2008,0.1,2006,0.2,2014,23609,2013,22708,2012,22306,2011,22524,2010,22062
Iceland,,,,,,,,,,,,,,,,,2014,41237,2013,40958,2012,39925,2011,39619,2010,38809
India,2011,23.6,2009,32.7,2004,41.6,1993,49.4,2011,59.2,2009,68.8,2004,75.6,1993,81.7,2014,5565,2013,5244,2012,4967,2011,4787,2010,4547
Indonesia,2011,16.2,2010,18.0,2008,22.7,2005,21.6,2011,43.3,2010,46.3,2008,54.7,2005,54.1,2014,10099,2013,9729,2012,9327,2011,8907,2010,8498
Iran,2005,1.5,1998,1.3,1994,1.4,1990,3.9,2005,8.0,1998,8.3,1994,8.2,1990,13.1,2014,15573,2013,15552,2012,16068,2011,17425,2010,16980
Iraq,,,,,2012,3.9,2007,3.4,,,,,2012,21.2,2007,22.4,2014,14018,2013,15368,2012,14545,2011,13248,2010,12330
Ireland,,,,,,,,,,,,,,,,,2014,46633,2013,44640,2012,44673,2011,44913,2010,43860
Israel,,,,,,,,,,,,,,,,,2014,31180,2013,30927,2012,30518,2011,30183,2010,29509
Italy,,,,,,,,,,,,,,,,,2014,33078,2013,33827,2012,34813,2011,35901,2010,35753
Jamaica,2004,0.2,2002,0.3,2001,37.3,1999,1.3,2004,5.9,2002,8.5,2001,43.6,1999,6.5,2013,8607,2012,8521,2011,8485,2010,8370,2009,8526
Japan,,,,,,,,,,,,,,,,,2014,35635,2013,35614,2012,34988,2011,34316,2010,34404
Jordan,2010,0.1,2008,0.1,2006,0.3,2002,1.2,2010,1.2,2008,2.0,2006,2.9,2002,11.0,2014,11496,2013,11405,2012,11340,2011,11292,2010,11256
Kazakhstan,2010,0.1,2008,0.0,2007,0.2,2006,0.4,2010,0.8,2008,1.2,2007,1.5,2006,3.2,2014,23092,2013,22470,2012,21506,2011,20772,2010,19601
Kenya,2005,43.4,1997,31.8,1994,28.5,1992,38.4,2005,67.2,1997,56.2,1994,53.7,1992,59.3,2014,2776,2013,2706,2012,2631,2011,2585,2010,2503
Kiribati,,,,,,,,,,,,,,,,,2014,1822,2013,1796,2012,1772,2011,1750,2010,1729
Kuwait,,,,,,,,,,,,,,,,,2013,79395,2012,81080,2011,79102,2010,75365,2009,81025
Kyrgyzstan,2011,5.1,2010,6.0,2009,5.6,2008,5.5,2011,21.1,2010,21.1,2009,20.1,2008,19.0,2014,3169,2013,3121,2012,2870,2011,2921,2010,2790
Lao People's Democratic Republic,2012,30.3,2007,35.1,2002,41.2,1997,47.5,2012,62.0,2007,68.3,2002,74.9,1997,78.8,2014,4925,2013,4667,2012,4381,2011,4133,2010,3901
Latvia,2011,1.1,2010,1.4,2008,0.0,2006,1.2,2011,2.0,2010,2.9,2008,0.1,2006,1.9,2014,22460,2013,21699,2012,20597,2011,19405,2010,18148
Lebanon,,,,,,,,,,,,,,,,,2014,16794,2013,16623,2012,16633,2011,16431,2010,16263
Lesotho,2010,56.2,2002,55.2,1994,55.9,1993,67.0,2010,73.4,2002,73.7,1994,69.0,1993,79.6,2014,2494,2013,2473,2012,2390,2011,2301,2010,2235
Liberia,,,,,,,2007,83.8,,,,,,,2007,94.9,2014,934,2013,875,2012,782,2011,729,2010,689
Libya,,,,,,,,,,,,,,,,,2014,14887,2013,19760,2012,23032,2011,11358,2010,30261
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,2011,0.8,2010,1.5,2008,0.1,2006,1.4,2011,1.2,2010,2.5,2008,0.4,2006,2.1,2014,25708,2013,24732,2012,23711,2011,22530,2010,20758
Luxembourg,,,,,,,,,,,,,,,,,2013,88850,2012,89153,2011,91469,2010,91147,2009,88284
Madagascar,2010,87.7,2005,82.4,2001,76.3,1999,82.4,2010,95.1,2005,93.1,2001,88.8,1999,93.2,2014,1371,2013,1369,2012,1374,2011,1372,2010,1390
Malawi,,,2010,72.2,2004,75.0,1997,83.2,,,2010,88.1,2004,90.8,1997,93.6,2014,778,2013,757,2012,740,2011,747,2010,737
Malaysia,2009,0.0,2007,0.0,2004,0.5,1997,0.5,2009,2.3,2007,2.9,2004,7.8,1997,6.9,2014,23579,2013,22589,2012,21920,2011,21096,2010,20398
Maldives,,,,,2004,1.5,1998,25.6,,,,,2004,12.2,1998,37.0,2014,14095,2013,13353,2012,12637,2011,12694,2010,11674
Mali,2010,50.6,2006,51.4,2001,61.2,1994,85.9,2010,78.8,2006,77.1,2001,82.0,1994,93.7,2014,1653,2013,1589,2012,1603,2011,1658,2010,1664
Malta,,,,,,,,,,,,,,,,,2013,28822,2012,28271,2011,28178,2010,27906,2009,26888
Marshall Islands,,,,,,,,,,,,,,,,,2013,3776,2012,3672,2011,3510,2010,3514,2009,3316
Mauritania,2008,23.4,2004,25.4,2000,21.2,1995,23.4,2008,47.7,2004,52.6,2000,44.1,1995,48.3,2014,3718,2013,3579,2012,3470,2011,3357,2010,3299
Mauritius,,,,,2012,0.4,2006,0.2,,,,,2012,1.9,2006,1.4,2014,17731,2013,17146,2012,16651,2011,16179,2010,15599
Mexico,2012,1.0,2010,0.7,2008,1.2,2006,0.7,2012,4.1,2010,4.5,2008,5.2,2006,4.9,2014,16496,2013,16346,2012,16320,2011,15887,2010,15460
Micronesia (Federated States of),,,,,,,2000,31.2,,,,,,,2000,44.7,2013,3286,2012,3428,2011,3412,2010,3337,2009,3243
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,2014,11509,2013,10833,2012,9851,2011,8905,2010,7708
Montenegro,2011,0.2,2010,0.0,2009,0.0,2008,0.1,2011,0.7,2010,0.2,2009,0.3,2008,0.5,2014,14358,2013,14156,2012,13712,2011,14082,2010,13656
Morocco,2007,2.6,2001,6.3,1998,6.8,1990,2.5,2007,14.2,2001,24.4,1998,24.4,1990,15.9,2014,7040,2013,6967,2012,6777,2011,6698,2010,6466
Mozambique,,,2009,60.7,2002,74.7,1996,80.6,,,2009,82.5,2002,90.0,1996,92.6,2014,1115,2013,1064,2012,1017,2011,974,2010,930
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,2009,23.5,2004,31.9,1993,49.1,,,2009,43.2,2004,51.1,1993,62.2,2014,9506,2013,9275,2012,8995,2011,8715,2010,8433
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,2010,23.7,2003,53.1,1995,68.0,,,2010,56.0,2003,77.3,1995,89.0,2014,2265,2013,2173,2012,2118,2011,2044,2010,1999
Netherlands,,,,,,,,,,,,,,,,,2014,45281,2013,45021,2012,45484,2011,46388,2010,45843
New Zealand,,,,,,,,,,,,,,,,,2013,33360,2012,32806,2011,32283,2010,31824,2009,31723
Nicaragua,2009,8.5,2005,2.8,2001,14.4,1998,12.5,2009,20.8,2005,16.3,2001,34.4,1998,31.4,2014,4574,2013,4432,2012,4304,2011,4154,2010,3966
Niger,2011,40.8,2007,42.1,2005,51.3,1994,78.2,2011,76.1,2007,74.1,2005,75.2,1994,91.6,2014,923,2013,897,2012,891,2011,828,2010,841
Nigeria,2010,62.0,2004,61.8,1996,68.7,1992,61.9,2010,82.2,2004,83.3,1996,86.5,1992,80.4,2014,5607,2013,5423,2012,5291,2011,5217,2010,5114
Norway,,,,,,,,,,,,,,,,,2014,64020,2013,63322,2012,63620,2011,62737,2010,62946
Oman,,,,,,,,,,,,,,,,,2013,41770,2012,44060,2011,45081,2010,49188,2009,49393
Pakistan,2010,12.7,2007,17.2,2005,22.6,2004,22.6,2010,50.7,2007,55.8,2005,61.0,2004,60.3,2014,4619,2013,4454,2012,4337,2011,4261,2010,4220
Palau,,,,,,,,,,,,,,,,,2014,14078,2013,13153,2012,13532,2011,13034,2010,12113
Panama,2012,4.0,2011,3.6,2010,3.8,2009,3.0,2012,8.9,2011,8.4,2010,9.3,2009,8.1,2014,19637,2013,18793,2012,17627,2011,16254,2010,14921
Papua New Guinea,,,,,,,1996,35.8,,,,,,,1996,57.4,2013,2558,2012,2476,2011,2341,2010,2163,2009,2055
Paraguay,2012,3.0,2011,4.4,2010,5.3,2009,5.7,2012,7.7,2011,11.0,2010,11.4,2009,12.1,2014,8038,2013,7833,2012,6975,2011,7186,2010,7008
Peru,2012,2.9,2011,3.0,2010,2.7,2009,3.5,2012,8.0,2011,8.7,2010,8.0,2009,9.7,2014,11514,2013,11395,2012,10913,2011,10429,2010,9915
Philippines,2012,19.0,2009,18.1,2006,22.6,2003,22.9,2012,41.7,2009,41.1,2006,45.0,2003,44.8,2014,6598,2013,6326,2012,6005,2011,5721,2010,5614
Poland,2011,0.0,2010,0.0,2009,0.0,2008,0.0,2011,0.1,2010,0.1,2009,0.1,2008,0.1,2014,23952,2013,23144,2012,22740,2011,22333,2010,21328
Portugal,,,,,,,,,,,,,,,,,2014,26055,2013,25677,2012,25953,2011,26932,2010,27393
Qatar,,,,,,,,,,,,,,,,,2014,133563,2013,131579,2012,130990,2011,133734,2010,127984
Republic of Korea,,,,,,,,,,,,,,,,,2014,33629,2013,32684,2012,31901,2011,31327,2010,30440
Republic of Moldova,2011,0.2,2010,0.4,2009,0.8,2008,1.1,2011,2.8,2010,4.0,2009,6.2,2008,6.9,2014,4754,2013,4542,2012,4151,2011,4179,2010,3925
Romania,2012,0.0,2011,0.0,2010,0.0,2009,0.0,2012,1.6,2011,1.6,2010,2.0,2009,0.0,2014,18569,2013,18182,2012,17502,2011,17363,2010,16888
Russian Federation,2009,0.0,2008,0.0,2007,0.1,2006,0.2,2009,0.3,2008,0.0,2007,0.4,2006,1.2,2014,23293,2013,23561,2012,23299,2011,22570,2010,21664
Rwanda,,,2011,63.0,2006,72.0,2000,79.4,,,2011,82.3,2006,87.4,2000,91.6,2014,1485,2013,1426,2012,1400,2011,1324,2010,1262
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,2014,21688,2013,20620,2012,20098,2011,20582,2010,20479
Saint Lucia,,,,,,,1995,21.0,,,,,,,1995,40.6,2014,9917,2013,10152,2012,10275,2011,10535,2010,10515
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,2014,10131,2013,10177,2012,9997,2011,9883,2010,9935
Samoa,,,,,,,,,,,,,,,,,2014,5525,2013,5502,2012,5654,2011,5675,2010,5405
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,2010,43.5,2000,28.2,,,,,2010,73.1,2000,54.2,2014,2923,2013,2876,2012,2837,2011,2801,2010,2743
Saudi Arabia,,,,,,,,,,,,,,,,,2014,52096,2013,51294,2012,50916,2011,49230,2010,45598
Senegal,2011,34.1,2005,33.5,2001,44.1,1994,53.5,2011,60.3,2005,60.4,2001,71.2,1994,79.0,2014,2206,2013,2185,2012,2174,2011,2163,2010,2182
Serbia,2010,0.1,2009,0.1,2008,0.0,2007,0.1,2010,0.5,2009,0.8,2008,0.3,2007,0.7,2014,12717,2013,12889,2012,12505,2011,12572,2010,12301
Seychelles,,,,,2006,0.3,1999,0.0,,,,,2006,1.8,1999,0.0,2014,25038,2013,24805,2012,23685,2011,22556,2010,20364
Sierra Leone,,,2011,56.6,2003,59.4,1989,62.9,,,2011,82.5,2003,82.0,1989,75.1,2014,1959,2013,1865,2012,1582,2011,1400,2010,1347
Singapore,,,,,,,,,,,,,,,,,2014,78958,2013,77721,2012,75630,2011,74949,2010,72056
Slovakia,2011,0.3,2010,0.4,2009,0.0,2008,0.0,2011,0.5,2010,0.5,2009,0.0,2008,0.0,2014,26355,2013,25759,2012,25424,2011,25066,2010,24438
Slovenia,,,,,,,,,,,,,,,,,2014,28059,2013,27368,2012,27682,2011,28492,2010,28377
Solomon Islands,,,,,,,,,,,,,,,,,2014,2030,2013,2041,2012,2024,2011,1975,2010,1787
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,2011,9.4,2009,13.7,2006,16.7,2000,26.2,2011,26.2,2009,31.2,2006,35.2,2000,42.9,2014,12446,2013,12454,2012,12375,2011,12291,2010,12087
South Sudan,,,,,,,,,,,,,,,,,2014,2574,2013,1965,2012,1810,2011,3505,2010,3838
Spain,,,,,,,,,,,,,,,,,2014,32270,2013,31681,2012,31971,2011,32674,2010,32994
Sri Lanka,2009,4.1,2006,7.0,2002,14.0,1995,16.3,2009,23.9,2006,29.1,2002,39.7,1995,46.7,2014,10043,2013,9426,2012,8856,2011,8112,2010,7572
Sudan,,,,,,,2009,19.8,,,,,,,2009,44.1,2014,3940,2013,3903,2012,3856,2011,3524,2010,3282
Suriname,,,,,,,1999,15.5,,,,,,,1999,27.2,2013,15556,2012,15254,2011,14942,2010,14325,2009,13747
Swaziland,,,2009,39.3,2000,43.0,1994,78.6,,,2009,59.1,2000,64.1,1994,89.3,2014,6058,2013,5998,2012,5910,2011,5846,2010,5862
Sweden,,,,,,,,,,,,,,,,,2014,44029,2013,43448,2012,43263,2011,43709,2010,42898
Switzerland,,,,,,,,,,,,,,,,,2013,54983,2012,54573,2011,54551,2010,54183,2009,53179
Syria,,,,,,,2004,1.7,,,,,,,2004,16.9,,,,,,,,,,
Tajikistan,2009,6.5,2007,12.2,2004,20.7,2003,35.4,2009,27.4,2007,36.9,2004,50.1,2003,68.5,2014,2533,2013,2432,2012,2320,2011,2212,2010,2110
Thailand,2010,0.3,2008,0.3,2006,1.0,2002,1.6,2010,3.5,2008,4.6,2006,7.6,2002,13.4,2014,13986,2013,13932,2012,13586,2011,12798,2010,12822
The former Yugoslav Republic of Macedonia,2008,0.3,2006,0.9,2005,0.3,2004,0.5,2008,4.2,2006,4.6,2005,3.7,2004,3.1,2014,12096,2013,11664,2012,11370,2011,11431,2010,11179
Timor-Leste,,,,,,,2007,34.9,,,,,,,2007,71.1,2014,2173,2013,2093,2012,2040,2011,1940,2010,1777
Togo,,,,,2011,52.5,2006,53.2,,,,,2011,72.8,2006,75.3,2014,1387,2013,1346,2012,1314,2011,1273,2010,1246
Tonga,,,,,,,,,,,,,,,,,2014,4962,2013,4879,2012,5032,2011,5023,2010,4945
Trinidad and Tobago,,,,,1992,4.2,1988,1.4,,,,,1992,13.5,1988,8.6,2013,29469,2012,29086,2011,28743,2010,29321,2009,29383
Tunisia,2010,0.7,2005,1.4,2000,2.6,1995,6.5,2010,4.5,2005,7.6,2000,12.8,1995,20.4,2013,10768,2012,10609,2011,10235,2010,10411,2009,10187
Turkey,2011,0.1,2010,0.6,2009,0.4,2008,0.1,2011,2.6,2010,3.1,2009,3.6,2008,3.6,2014,18884,2013,18579,2012,18057,2011,17908,2010,16674
Turkmenistan,,,1998,24.8,1993,63.5,1988,14.4,,,1998,49.7,1993,85.7,1988,50.2,2014,14762,2013,13555,2012,12460,2011,11361,2010,10032
Tuvalu,,,,,,,,,,,,,,,,,2013,3528,2012,3489,2011,3488,2010,3222,2009,3319
Uganda,2012,37.8,2009,37.9,2005,51.7,2002,56.6,2012,62.9,2009,64.7,2005,75.7,2002,79.3,2014,1638,2013,1621,2012,1622,2011,1607,2010,1515
Ukraine,2010,0.0,2009,0.1,2008,0.0,2007,0.1,2010,0.0,2009,0.2,2008,0.0,2007,0.2,2014,8267,2013,8338,2012,8319,2011,8282,2010,7844
United Arab Emirates,,,,,,,,,,,,,,,,,2014,60578,2013,59092,2012,57028,2011,56192,2010,56644
United Kingdom,,,,,,,,,,,,,,,,,2014,37614,2013,36908,2012,36535,2011,36549,2010,36240
United Republic of Tanzania,2012,43.5,2007,67.9,2000,84.2,1992,72.0,2012,73.0,2007,87.9,2000,95.1,1992,91.1,2014,2472,2013,2382,2012,2288,2011,2243,2010,2143
United States of America,,,,,,,,,,,,,,,,,2014,52118,2013,51282,2012,50549,2011,49781,2010,49373
Uruguay,2012,0.3,2011,0.3,2010,0.2,2009,0.3,2012,1.3,2011,1.2,2010,1.2,2009,1.6,2014,19929,2013,19321,2012,18447,2011,17916,2010,17095
Uzbekistan,,,,,,,,,,,,,,,,,2014,5320,2013,5002,2012,4705,2011,4412,2010,4185
Vanuatu,,,,,,,,,,,,,,,,,2013,2895,2012,2902,2011,2916,2010,2948,2009,2970
Venezuela,2006,6.6,2005,13.2,2004,15.9,2003,19.1,2006,12.9,2005,20.9,2004,29.4,2003,34.8,2014,16666,2013,17614,2012,17642,2011,16960,2010,16536
