country,continent,regionUN,subregionUN,totalpop2015,under5pop,urbanpop,over65pop,u5mr2009,u5mr2010,u5mr2011,u5mr2012,u5mr2013,yearpov125_1,poverty125_1,yearpov125_2,poverty125_2,yearpov125_3,poverty125_3,yearpov125_4,poverty125_4,yearpov2_1,poverty2_1,yearpov2_2,poverty2_2,yearpov2_3,poverty2_3,yearpov2_4,poverty2_4,yearGDP_1,GDP_1,yearGDP_2,GDP_2,yearGDP_3,GDP_3,yearGDP_4,GDP_4,yearGDP_5,GDP_5,year_gini,value_gini,year_stunting_current,prev_stunting_current,number_stunting_current,current_aarr_stunting,reqd_aarr_stunting,stunting_progress,year_u5overweight,prev_u5overweight,number_u5overweight,current_aarr_u5overweight,reqd_aarr_u5overweight,u5overweight_progress,year_wasting,prev_wasting,number_wasting,wasting_progress,year_sev_wasting,number_sev_wasting,prev_sev_wasting,year_ebf_current,value_ebf_current,EBF_progress,year_lbw,LBW,year_stuntingtrend1,rate_stuntingtrend1,year_stuntingtrend2,rate_stuntingtrend2,year_stuntingtrend3,rate_stuntingtrend3,year_stuntingtrend4,rate_stuntingtrend4,year_stuntingtrend5,rate_stuntingtrend5,year_adolOWOB,AdolOW,AdolOB,year_heightBMI,prev_height145,prev_BMI185,year_adult_OB_OW,ow_male,ow_female,ow_bothsexes,ob_male,ob_female,ob_bothsexes,year_WRAanaemia,WRAanaemia_RATE,WRAanaemia_NUMBER,year_WHAtarget_WRAanaemia,WHAtarget_WRAanaemia1,year_vitA_def,prevalence_vita,year_IodineNutrition,Class_IodineNutrition,year_bloodglucose,BGboth,BGmale,BGfemale,year_bloodpressure,BPboth,BPmale,BPfemale,year_cholesterol,cholesterol_BOTH,cholesterol_MALE,cholesterol_FEMALE,YearMAD,MADTotal,YearMDD,MDDtotal,year_UNICEF_ANC_4,value_UNICEF_ANC_4,year_skilled,value_UNICEF_skilled_att,yearearly,early_BF,year_continued_BF,continued_BF,year_UNpop_Unmet_Needs,UnmetneedTotal,year_EBFtrend_1,EBF_trend_1,Source_EBFtrend1,year_EBFtrend_2,EBF_trend_2,Source_EBFtrend_2,year_EBFtrend_3,EBF_trend_3,Source_EBFtrend_3,year_SAM,SAMcoverage_rate,year_vitA_coverage,vitaminAdosecoverage,year_ORS,ORS,year_DTP,DTP3,year_Iodised,householdconsumingsalt,value_undernourishment1991,value_undernourishment2000,value_undernourishment2010,value_undernourishment2015,fruitandveg_gram1990,fruitandveg_gram2000,fruitandveg_gram2010,fruitandveg_gram2011,value_nonstaples1991,value_nonstaples2000,value_nonstaples2009,value_nonstaples2012,gender_inequality_year,gender_inequality_index,gender_inequality_rank,yearphysician,valuephysician,yearnurse,valuenurse,yearhealthworker,valuehealthworker,year_early_childbearing,early_childbearing,year_femaleED_1,rate_femaleED_1,year_femaleED_2,rate_femaleED_2,year_femaleED_3,rate_femaleED_3,year_femaleED_4,rate_femaleED_4,year_femaleED_5,rate_femaleED_5,water_piped1990,water_othimprov1990,water_unimprov1990,water_surface1990,water_piped2000,water_unimprov2000,water_othimprov2000,water_surface2000,water_piped2015,water_othimprov2015,water_unimprov2015,water_surface2015,san_improved1990,san_shared1990,san_othunimprov1990,san_opendef1990,san_improved2000,san_shared2000,san_othunimprov2000,san_opendef2000,san_improved2015,san_shared2015,san_othunimprov2015,san_opendef2015,totag_ppp1990,toteducation_ppp1990,tothealth_ppp1990,totsp_ppp1990,totag_ppp2000,toteducation_ppp2000,tothealth_ppp2000,totsp_ppp2000,totag_ppp2010,toteducation_ppp2010,tothealth_ppp2010,totsp_ppp2010,totag_ppp2012,toteducation_ppp2012,tothealth_ppp2012,totsp_ppp2012,year_code_bf,Code_breastfeeding,year_RTF,RTF_level1,year_maternityprotection,cat_maternityprotection,year_FFI,Fortification,year_policyrank,undernutritionrank_1to126,overnutritionrank_1to116,year_NCDpolicy,hypertension_policy,diabetes_policy,year_SUN,SUN_Process1,SUN_Process2,SUN_Process3,SUN_Process4,SUN_TotalAccomplished
Democratic Republic of the Congo,Africa,Africa,Middle Africa,71246,12357,37,6,135,131,126,122,119,,,,,,,2005,88,,,,,,,2005,95,2014,768,2013,724,2012,685,2011,657,2010,632,2008,43,2013,43,5072,1,6,Off course - Some progress,2013,4,524,3.519999981,0.0,On course - Good progress,2013,8,964,off course,,,,2013,48,on course,2010,9.5,2013,43,2010,44,2007,46,2001,44,1995,51,,,,2013,4.4,13.8,2014,13,28,21,2,7,4,2011,49,7552,2011,Currently off course,2013,64,1995,Risk of iodine-induced hyperthyroidism within 5?10 years following introduction of iodized salt in susceptible groups,2008,7,7,8,2008,45,47,43,2008,16,14,18,2013,8,2013,19.9,2010,44.7,2010,80,2013,51.9,2013,92,2014,27.7,2007,36.1,DHS,2010,37,MICS,2013-14,47.6,DHS,2012,24,2013,98,2010,26.6,2013,72,2010,58.6,,,,,,,,,,,,,2013,0.669,147,2004,0.107,2004,0.529,,,,25,2012,32,2011,32,2010,30,2009,29,2008,28,15,29,31,25,14,33,33,20,8,44,37,11,19,13,54,14,23,15,49,13,29,19,42,10,,,,,3.3,,,,,,,,,,,,2014,Many provisions law,2003,Medium high,2011,Yes,,Voluntary,2011-2015,18,107,2010,"Available, partially implemented","Available, partially implemented",2014,47,46,37,25,39
Denmark,Europe,Europe,Northern Europe,5662,320,88,37,4,4,4,4,4,,,,,,,,,,,,,,,,,2014,42777,2013,42483,2012,42869,2011,43314,2010,42997,2010,28,,,,,,,,,,,,,,,,,,,,,,,2012,5.4,,,,,,,,,,,,,,,,,2014,64,46,55,22,17,19,2011,18,226,2011,Currently off course,,,1997-8,Mild iodine deficiency,2008,7,9,6,2008,35,41,28,2008,65,68,62,,,,,,,.,,,,,,,,,,.,,,.,,,.,2012,,,,,,2013,94,,,,,,,402,527,606,605,73,71,70,,2013,0.056,5,2010,3.485,2010,16.785,,,,,2012,125,2011,124,2010,120,2009,119,2008,120,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0.6,12.2,12.0,39.3,0.3,13.7,12.3,42.0,0.2,14.0,14.6,43.8,0.3,13.3,14.5,43.4,2014,Many provisions law,.,,2011,Yes,,No Fortification,2002-2020,97,41,2010,"Available, partially implemented","Available, partially implemented",,,,,,
Djibouti,Africa,Africa,Eastern Africa,900,111,77,8,78,76,74,72,70,,,,,,,2002,19,,,,,,,2002,41,2014,3016,2013,2903,2012,2807,2011,2767,2010,2665,2005,32,2012,34,36,-2,4,Off course - No progress,2012,8,9,0.99000001,1.1,Off course - Some progress,2012,22,23,off course,2012,0,9.100000381,2006,1,,2006,10,2012,34,2006,33,2002,27,1996,32,1989,28,2007,16.3,4.6,,,,2014,27,37,32,6,14,10,2011,27,65,2011,Currently off course,2013,58,,,2008,10,10,9,2008,45,47,42,2008,37,37,36,,,,,2012,22.6,2012,87,2006,54.9,2006,54,,,,,.,,,.,2006,1.3,MICS,2012,100,2013,66,2012,93.6,2013,82,2006,0.2,74.80000305,52.40000153,23.10000038,15.89999962,186,114,236,243,44,42,45,,2013,,,2006,0.229,2008,0.8,2004,0.032,,,2014,43,2013,40,2012,38,2011,35,2009,28,52,26,20,2,52,16,30,2,53,37,9,1,66,6,11,17,60,5,17,18,47,4,29,20,,,,,,,,,,,,,,,,,2014,Many provisions law,2003,Medium,2011,Yes,,Mandatory,2010-2035,70,93,2010,Not available,Not available,,,,,,
Dominica,Americas,Latin America and the Caribbean,Caribbean,73,,68,,13,12,12,12,11,,,,,,,,,,,,,,,,,2014,10207,2013,10011,2012,10149,2011,10333,2010,10375,2005,42,,,,,,,,,,,,,,,,,,,,,,,2011,10.8,,,,,,,,,,,2009,24.8,9.1,,,,2014,54,63,58,19,33,26,2011,26,5,2011,Currently off course,2013,10,,,2008,18,16,21,2008,47,50,44,2008,38,32,43,,,,,,,2012,100,,,,,,,,,.,,,.,,,.,2012,,,,,,2013,96,,,,,,,1003,1253,1119,1119,67,67,64,,2013,,,2001,1.59,2001,5.615,,,,,2011,100,2010,101,2009,106,2008,103,2007,107,,,,,68,6,26,,,,,,,,,,81,,2,17,,,,,,,,,,,,,,,,,,,,,,.,.,,2011,Partial,,Mandatory,2012-2014,43,18,2010,"Available, fully implemented","Available, fully implemented",,,,,,
Dominican Republic,Americas,Latin America and the Caribbean,Caribbean,10652,1056,72,13,32,31,30,29,28,2012,2,2011,3,2010,2,2009,3,2012,9,2011,9,2010,10,2009,10,2014,12505,2013,11790,2012,11391,2011,11241,2010,11075,2003,47,2013,7,75,6,3,On course - Good progress,2013,8,81,1.460000038,0.7,Off course - Some progress,2013,2,25,on course,2013,,0.800000012,2014,5,Off course no progress,2007,11,2013,7,2007,10,2006,11,2002,12,2000,8,,,,2013,1.2,5.5,2014,53,60,56,18,30,24,2011,26,682,2011,Currently off course,2013,8,1993,Moderate iodine deficiency,2008,9,8,9,2008,42,45,39,2008,32,28,36,2013,38,2013,62.9,2007,94.5,2013,99,2013,65.2,2013,35,2013,10.8,2009-2010,8,.,2013,6.7,DHS,2014,4.7,NS,2012,,,,2013,48,2013,83,,,34.29999924,30.70000076,18.10000038,12.30000019,413,439,722,775,65,68,68,68,2013,0.505,105,2011,1.49,2011,1.33,,,,25,2012,80,2011,80,2010,80,2009,83,2008,83,72,15,8,5,73,10,14,3,72,13,14,1,73,11,6,10,78,11,4,7,84,11,2,3,18.2,11.3,12.0,4.9,8.6,16.6,11.9,7.0,,,,,,,,,2014,Law,2003,Medium high,2011,Partial,,Mandatory,2013-2030,78,99,2010,Not available,Not available,,,,,,
Ecuador,Americas,Latin America and the Caribbean,South America,16226,1607,70,13,26,25,24,23,23,2012,4,2011,4,2010,5,2009,6,2012,8,2011,9,2010,11,2009,13,2014,10774,2013,10541,2012,10233,2011,9882,2010,9311,2012,41,2012,25,402,2,4,Off course - Some progress,2012,8,120,-4.940000057,0.5,Off course - No progress,2012,2,37,on course,2012,0,0.699999988,2004,40,,2012,8.6,,,2012,25,2004,29,1998,33,1986,40,,,,2004,13.8,1.8,2014,52,57,54,14,23,19,2011,24,936,2011,Currently off course,2013,12,1999,"Risk of adverse health consequences (iodine induced hyperthyroidism, auto-immune thyroid diseases)",2008,10,9,10,2008,39,43,35,2008,40,38,41,,,,,2004,57.5,2011,91,2013,54.6,2013,71,2004,7.4,1994,28.6,NS,1999,34.8,NS,2004,39.6,NS,2012,,,,,,2013,99,,,19.39999962,17.79999924,14.39999962,10.89999962,540,618,558,540,62,61,67,,2013,0.429,82,2011,1.724,2011,2.157,,,,,2013,106,2012,88,2011,86,2010,86,2007,67,59,15,17,9,71,13,9,7,85,2,7,6,57,8,14,21,70,10,7,14,85,11,0,4,,,,,3.3,9.0,3.2,6.5,1.6,16.3,7.7,6.0,,,,,2014,Voluntary,2003,High,2011,Partial,,Mandatory,2013-2017,37,36,2010,"Available, partially implemented","Available, partially implemented",,,,,,
Egypt,Africa,Africa,Northern Africa,84706,9285,44,12,24,24,23,22,22,2008,2,2004,2,2000,2,1996,2,2008,15,2004,20,2000,19,1996,26,2014,10792,2013,10731,2012,10683,2011,10629,2010,10615,2010,31,2014,22,2068,5,4,On course - Good progress,2014,16,1456,4.349999905,7.1,Off course - Some progress,2014,10,881,off course,2014,0,4.800000191,2014,40,off course reversal,2008,13,2014,22,2008,31,2005,24,2003,20,2000,25,2011,32.5,7,2008,0.8,0.7,2014,56,68,62,20,38,29,2011,35,7384,2011,Currently off course,2013,8,1998,Optimal iodine nutrition,2008,7,7,7,2008,38,39,37,2008,40,34,45,,,,,2008,66,2008,79,2008,55.9,2008,78,2014,12.6,2005,38.3,DHS,2008,53.2,DHS,2014,39.7,DHS,2012,,,,2008,28.4,2013,97,2008,77.7,,,,,594,812,874,828,32,34,35,,2013,0.58,130,2009,2.83,2009,3.52,,,,7,2012,85,2011,85,2010,74,2009,73,2004,85,63,30,5,2,77,4,19,1,99,0,1,0,73,4,14,9,84,5,6,5,95,5,0,0,5.4,16.0,3.2,0.7,6.8,19.9,4.6,0.7,,12.3,4.7,25.6,,12.0,4.8,30.3,2014,Many provisions law,2003,Medium,2011,Partial,,Mandatory,2012-2022,83,105,2010,"Available, partially implemented","Available, partially implemented",,,,,,
El Salvador,Americas,Latin America and the Caribbean,Central America,6426,626,67,14,19,18,17,16,16,2012,3,2011,3,2010,5,2009,4,2012,9,2011,10,2010,13,2009,12,2014,7613,2013,7515,2012,7442,2011,7352,2010,7237,2005,43,2008,21,126,3,4,Off course - Some progress,2008,6,35,0.349999994,0.0,On course - Good progress,2008,2,10,on course,2008,0,0.5,2014,47,on course,2011,8.7,2008,21,2003,25,1998,32,1993,30,1988,37,2013,28.9,9.9,2002,9.3,2.9,2014,53,60,57,16,27,22,2011,24,407,2011,Currently off course,2013,7,1996-7,Optimal iodine nutrition,2008,11,11,11,2008,35,39,31,2008,35,31,38,,,,,2003,78.3,2013,100,2008,32.8,2008,73,2008,18.4,2003,24,NS,2008,31.4,NS,2014,47,MICS,2012,,,,2008,57.6,2013,92,2002,62,16.20000076,12.5,12,12.39999962,271,286,341,352,43,48,52,,2013,0.441,85,2008,1.596,2008,0.405,,,,,2013,71,2012,69,2011,67,2010,65,2009,63,42,28,26,4,59,14,23,4,78,16,2,4,51,4,26,19,62,5,22,11,75,6,16,3,5.4,16.2,7.8,3.2,5.6,24.2,5.0,1.4,1.8,18.5,11.3,12.8,1.6,20.4,10.7,10.9,2014,Many provisions law,2003,Medium high,2011,Partial,,Mandatory,2014-2019,93,51,2010,Not available,"Available, partially implemented",2014,38,44,50,54,47
Equatorial Guinea,Africa,Africa,Middle Africa,799,119,40,5,109,106,102,99,96,,,,,,,,,,,,,,,,,2014,30783,2013,32654,2012,35282,2011,35150,2010,34431,2010,35,2010,26,28,5,5,Off course - Some progress,2010,10,10,3.119999886,2.2,Off course - Some progress,2010,3,3,on course,2010,0,1.700000048,2011,7,,2000,13,,,2010,26,2004,35,2000,43,1997,39,,,,,,,2014,35,48,42,13,23,18,2011,45,77,2011,Currently off course,2013,24,,,2008,9,9,9,2008,48,51,45,2008,41,40,42,2011,11,2011,37.4,2011,66.9,2011,68,2011,20.5,2011,52,2011,33.8,,,.,2000,23.5,MICS,2011,7.4,DHS,2012,,,,2011,40.4,2013,3,,,,,,,,,,,,,,,2013,,,2004,0.302,2004,0.535,2004,2.515,,42,,,2005,24,2002,20,2000,19,1999,18,,,,,4,17,43,36,10,38,39,13,,,,,80,8,7,4,75,8,13,4,,,,,,,,,,,,,,,,,2014,No information,.,,2011,Partial,,No Fortification,2008-2020,126,116,2010,Not available,Not available,,,,,,
Eritrea,Africa,Africa,Eastern Africa,6738,1104,23,5,58,56,54,52,50,,,,,,,,,,,,,,,,,2014,1140,2013,1157,2012,1180,2011,1139,2010,1083,2011,52,2010,50,495,-2,5,Off course - No progress,2010,2,19,-2.170000076,0.0,On course - At risk,2010,15,151,off course,2010,0,4.199999809,2010,69,,2002,14,,,2010,50,2002,44,1995,48,1993,70,,,,2002,2.3,38.1,2014,12,26,19,1,7,4,2011,33,451,2011,Currently off course,2013,56,1998,Optimal iodine nutrition,2008,8,8,7,2008,41,43,38,2008,21,21,22,,,,,2010,57.4,2010,34,2010,93.1,2010,95,2002,28.5,1995,59,DHS,2002,52,DHS,2010,68.7,NS,2012,80.6,2013,37,2010,43.4,2013,94,2002,68,,,,,,,,,,,,,2013,,,2004,0.05,2004,0.583,,,,19,,,,,,,,,,,7,40,38,15,7,34,44,15,9,49,27,15,9,,1,90,11,,3,86,16,,7,77,,,,,,,,,,,,,,,,,2014,Being studied,2003,Medium high,2011,No,,No Fortification,2004-2006,7,76,2010,Not available,Not available,,,,,,
Estonia,Europe,Europe,Northern Europe,1280,69,70,37,5,5,4,4,3,2011,1,2010,1,2009,1,2008,0,2011,1,2010,1,2009,1,2008,1,2014,25865,2013,25254,2012,24761,2011,23576,2010,21710,2012,34,,,,,,,,,,,,,,,,,,,,,,,2012,4.6,,,,,,,,,,,,,,,,,2014,62,52,57,22,23,23,2011,24,77,2011,Currently off course,,,1995,Mild iodine deficiency,2008,8,9,8,2008,47,53,42,2008,57,56,57,,,,,,,2006,100,,,,,,,,,.,,,.,,,.,2012,,,,,,2013,94,,,,,,,,416,499,530,59,64,64,,2013,0.154,29,2012,3.242,2012,6.378,2000,0.032,,,2012,107,2011,109,2010,109,2009,108,2008,108,81,18,1,0,86,1,13,0,97,3,0,0,97,2,1,0,97,3,1,0,97,3,0,0,,,,,2.3,18.4,11.8,29.5,1.5,16.6,13.2,35.9,1.7,16.2,13.0,33.3,2014,Few provisions law,2003,Medium,2011,Yes,,No Fortification,2014-2015,126,21,2010,"Available, fully implemented","Available, fully implemented",,,,,,
Ethiopia,Africa,Africa,Eastern Africa,98942,14577,18,7,81,76,71,68,64,2010,37,2005,39,1999,55,1995,63,2010,72,2005,78,1999,86,1995,86,2014,1432,2013,1336,2012,1240,2011,1171,2010,1081,2002,36,2014,40,5822,3,5,Off course - Some progress,2014,3,375,-13.03999996,3.3,On course - At risk,2014,9,1254,off course,2014,0,2.5,2011,52,Off course some progress,2005,20,2014,40,2011,44,2005,51,2000,57,1992,67,,,,2011,2.4,24,2014,12,26,19,2,7,4,2011,19,3979,2011,Currently off course,2013,50,2000,Mild iodine deficiency,2008,7,7,7,2008,41,43,39,2008,21,21,22,2011,4,2011,4.8,2011,19.1,2011,10,2011,51.5,2011,96,2014,24.3,2000,54.2,DHS,2005,49,DHS,2011,52,DHS,2012,75.4,2013,79,2011,26.3,2013,72,2005,19.9,74.80000305,57.90000153,37.59999847,32,36,47,72,71,,18,23,24,2013,0.547,121,2009,0.025,2009,0.253,2009,0.364,,22,2006,22,2005,19,2004,16,2003,14,2002,14,1,12,39,48,4,35,25,36,12,45,30,13,3,4,1,92,9,6,9,76,28,14,29,29,6.9,9.9,3.2,4.5,6.6,8.8,2.7,7.0,5.2,16.7,3.9,19.8,,,,,2014,Few provisions law,2003,High,2011,Partial,,Planning,2010-2015,92,108,2010,Not available,Not available,2014,65,64,65,67,65
Fiji,Oceania,Oceania,Melanesia,893,88,54,11,24,24,24,24,24,,,,,2008,6,2002,29,,,,,2008,23,2002,49,2014,7735,2013,7502,2012,7303,2011,7228,2010,7098,1998,45,,,,,,,,,,,,,,,,,,,,2004,40,,2004,10.2,,,,,,,2004,8,1993,4,2010,19.2,5.2,,,,2014,68,75,71,31,42,36,2011,27,61,2011,Currently off course,2013,11,1994,Moderate iodine deficiency,2008,15,13,16,2008,42,43,40,2008,53,56,50,,,,,2013,93.6,2013,100,2004,57.3,,,,,,,.,,,.,2004,39.8,NS,2012,,,,,,2013,99,,,6.599999905,,,,102,179,216,214,54,52,52,,2013,,,2009,0.426,2009,2.242,,,,,2012,93,2011,94,2009,91,2008,91,2007,94,57,29,11,3,63,7,28,2,68,28,2,2,57,3,35,5,75,4,19,2,91,5,4,0,6.7,21.0,7.7,5.1,3.7,20.6,9.3,4.2,1.1,11.3,6.7,6.0,,,,,2014,Law,.,,2011,Partial,,Mandatory,2007-2011,80,32,2010,"Available, partially implemented","Available, partially implemented",,,,,,
Finland,Europe,Europe,Northern Europe,5461,306,84,40,3,3,3,3,3,,,,,,,,,,,,,,,,,2014,38569,2013,38788,2012,39489,2011,40251,2010,39425,2001,59,,,,,,,,,,,,,,,,,,,,,,,2012,4.2,,,,,,,,,,,,,,,,,2014,62,49,55,22,20,21,2011,18,206,2011,Currently off course,,,1997,Optimal iodine nutrition,2008,8,10,6,2008,42,47,36,2008,59,58,59,,,,,,,1993,100,,,,,,,,,.,,,.,,,.,2012,,,,,,2013,98,,,,,,,371,420,464,500,70,68,68,,2013,0.075,11,2009,2.905,2011,10.861,,,,,2012,110,2011,110,2010,110,2009,110,2008,111,94,6,0,0,97,0,3,0,100,0,0,0,97,3,0,0,97,3,0,0,98,2,0,0,9.2,13.0,12.0,39.8,4.2,12.2,11.9,42.2,1.9,11.8,14.2,43.2,1.7,11.2,14.4,42.5,2014,Many provisions law,2003,Medium high,2011,Yes,,No Fortification,2011-2015,126,45,2010,"Available, partially implemented","Available, fully implemented",,,,,,
France,Europe,Europe,Western Europe,64983,3973,88,37,4,4,4,4,4,,,,,,,,,,,,,,,,,2014,37218,2013,37309,2012,37227,2011,37328,2010,36745,2011,57,,,,,,,,,,,,,,,,,,,,,,,2011,6.6,,,,,,,,,,,,,,,,,2014,67,55,61,24,24,24,2011,19,2680,2011,Currently off course,,,1996,Mild iodine deficiency,2008,6,7,4,2008,36,42,29,2008,62,64,60,,,,,,,1993,99,,,,,2005,1.7,,,.,,,.,,,.,2012,,,,,,2013,99,,,,,,,566,566,586,586,73,72,71,,2013,0.08,12,2013,3.19,2013,0.325,,,,,2012,110,2011,110,2010,111,2009,110,2008,110,99,1,0,0,100,0,1,0,100,0,0,0,99,1,0,0,99,1,0,0,99,1,0,0,,,,,0.8,11.5,13.7,,0.8,10.9,14.5,,0.7,10.8,14.6,,2014,Many provisions law,2003,Medium,2011,Yes,,No Fortification,,,,2010,"Available, partially implemented","Available, partially implemented",,,,,,
Gabon,Africa,Africa,Middle Africa,1751,252,87,10,66,64,61,58,56,,,,,,,2005,6,,,,,,,2005,21,2014,17912,2013,17580,2012,17252,2011,16590,2010,15982,2011,29,2012,18,42,3,5,Off course - Some progress,2012,8,18,-2.690000057,0.7,Off course - No progress,2012,3,8,on course,2012,0,1.299999952,2012,6,,2000,14,,,,,,,2012,18,2000,26,,,,2012,1,5.2,2014,41,49,45,13,23,18,2011,51,201,2011,Currently off course,2013,40,2001,Optimal iodine nutrition,2008,10,9,10,2008,46,48,43,2008,43,41,44,,,,,2012,77.6,2012,89,2012,32.3,2012,45,2012,26.5,,,.,2000,5.2,DHS,2012,6,DHS,2012,,,,2012,26.1,2013,79,,,11.69999981,,,,567,559,594,536,54,51,49,,2013,0.508,108,2004,0.292,2004,5.017,,,,28,,,,,,,,,1999,45,,,,,39,6,44,11,65,28,2,5,,,,,39,31,28,2,42,34,22,2,,,,,,,,,,,,,,,,,2014,Law,2003,Medium,2011,Yes,,No Fortification,2011-2025,126,101,2010,Not available,Not available,,,,,,
Gambia,Africa,Africa,Western Africa,1970,359,59,5,85,82,79,76,74,,,,,2003,34,1998,66,,,,,2003,56,1998,81,2014,1555,2013,1608,2012,1584,2011,1545,2010,1667,2010,26,2013,25,83,-2,6,Off course - No progress,2013,3,9,-12.43000031,2.9,On course - At risk,2013,12,39,off course,,,,2013,47,on course,2010,10.2,2013,25,2010,23,2006,28,2000,24,1996,36,,,,,,,2014,26,39,33,6,16,11,2011,45,202,2011,Currently off course,2013,54,1999,Moderate iodine deficiency,2008,11,10,11,2008,46,48,43,2008,20,18,23,,,,,2010,72,2010,57,2010,51.6,2010,93,2010,21.5,2006,40.8,MICS,2010,33.5,MICS,2013,46.8,DHS,2012,10.4,,,2010,38.9,2013,97,2010,22,13.30000019,14.10000038,8.800000191,5.300000191,93,112,131,112,42,45,37,,2013,0.624,139,2008,0.107,2008,0.865,2008,0.705,,23,,,,,2010,56,2009,57,2008,56,11,65,24,0,20,17,63,0,33,57,10,0,,,,,60,22,13,5,59,24,15,2,6.0,11.4,6.5,2.8,,,,,,,,,,,,,2014,Law,.,,2011,Partial,,Voluntary,2012-2015,6,25,2010,"Available, fully implemented","Available, fully implemented",2014,80,54,29,43,52
Georgia,Asia,Asia,Western Asia,4305,281,53,29,18,16,15,14,13,2012,14,2011,16,2010,18,2009,14,2012,31,2011,34,2010,36,2009,32,2014,7233,2013,6930,2012,6702,2011,6322,2010,5938,2011,34,2009,11,32,3,2,On course - Good progress,2009,20,57,-1.190000057,6.3,Off course - No progress,2009,2,5,on course,2009,0,0.600000024,2009,55,on course,2012,6.5,,,,,2009,11,2005,15,1999,16,,,,,,,2014,54,56,55,17,24,21,2011,28,310,2011,Currently off course,2013,11,1998,Mild iodine deficiency,2008,12,12,11,2008,47,50,44,2008,37,36,38,,,,,2012,84.2,2012-2013,100,2012,68.7,2009,37,2010,12.3,,,.,2005,10.9,MICS,2009,54.8,NS,2012,,,,2005,40,2013,98,2009,99.9,56.5,14.80000019,9,7.400000095,,344,253,257,36,39,43,,2013,,,2013,4.272,2013,0.139,,,,6,2013,101,2008,87,2006,83,2005,80,2004,79,56,29,15,0,62,11,28,0,80,20,0,0,98,2,0,0,96,2,1,1,86,2,11,1,,,,,1.7,,,,0.4,8.0,6.5,20.2,3.0,9.1,5.2,21.9,2014,Law,2003,Medium,.,,,Planning,2014-2020,126,71,2010,"Available, partially implemented","Available, partially implemented",,,,,,
Germany,Europe,Europe,Western Europe,82562,3524,75,43,4,4,4,4,4,,,,,,,,,,,,,,,,,2014,43444,2013,42887,2012,42959,2011,42080,2010,40632,2011,38,2005,1,48,,4,,2005,4,129,,0.0,,2005,1,37,on course,2005,0,0.100000001,,,,2012,6.9,,,,,,,,,2005,1,,,,,,,2014,63,47,55,22,19,20,2011,18,3318,2011,Currently off course,,,1999,Optimal iodine nutrition,2008,8,10,6,2008,40,45,34,2008,66,70,61,,,,,,,.,,,,,,,,,,.,,,.,,,.,2012,,,,,,2013,96,,,,,,,520,555,455,478,74,72,72,,2013,0.046,3,2012,3.889,2003,9.72,,,,,,,,,,,,,,,99,1,0,0,100,0,0,0,100,0,0,0,99,1,0,0,99,1,0,0,99,1,0,0,1.5,1.8,15.2,43.3,0.8,9.0,14.7,46.6,0.5,9.3,15.0,42.8,0.5,9.7,15.7,43.5,2014,Many provisions law,2003,Medium high,2011,Yes,,No Fortification,,,,2010,"Available, partially implemented","Available, partially implemented",,,,,,
Ghana,Africa,Africa,Western Africa,26984,3735,55,7,84,83,82,80,78,2005,29,1998,39,1991,51,1988,49,2005,52,1998,63,1991,78,1988,78,2014,3953,2013,3873,2012,3685,2011,3446,2010,3091,2005,38,2014,19,697,6,4,On course - Good progress,2014,3,96,0,0.0,On course - Good progress,2014,5,174,on course,2014,0,0.699999988,2014,52,on course,2011,10.7,2014,19,2011,23,2008,29,2006,28,2003,36,2007,6.9,0.7,2008,1.2,7.7,2014,24,44,34,5,19,12,2011,56,3451,2011,Currently off course,2013,50,1994,Mild iodine deficiency,2008,10,10,10,2008,42,43,41,2008,18,16,21,2011,31,2011,46.5,2011,86.6,2011,68,2011,45.9,2011,91,2014,32.7,2008,62.8,DHS,2011,45.7,MICS,2014,52.3,DHS,2012,57.5,2013,96,2011,35,2013,90,2011,34.5,47.29999924,17.5,6.5,,221,394,563,581,32,31,35,,2013,0.549,123,2010,0.096,2010,0.926,2008,0.192,,16,2014,65,2013,67,2012,55,2011,54,2009,55,16,40,9,35,18,9,53,21,19,70,7,4,7,29,42,22,10,43,26,21,15,60,6,19,4.1,25.5,10.1,7.2,0.7,14.8,3.0,0.0,,,,,,,,,2014,Law,2003,Medium high,2011,Partial,,Mandatory,2010-2016,51,72,2010,"Available, fully implemented","Available, partially implemented",2014,42,36,12,0,23
Greece,Europe,Europe,Southern Europe,11126,545,62,40,5,5,5,5,4,,,,,,,,,,,,,,,,,2014,24502,2013,24159,2012,24991,2011,26675,2010,29190,2012,30,,,,,,,,,,,,,,,,,,,,,,,2012,9.8,,,,,,,,,,,,,,,,,2014,66,55,61,22,24,23,2011,20,540,2011,Currently off course,,,,,2008,9,10,8,2008,36,39,33,2008,48,50,46,,,,,,,.,,,,,,,,,,.,,,.,,,.,2012,,,,,,2013,99,,,,,,,1164,1241,940,967,67,68,70,,2013,0.146,27,2001,4.38,2001,0.175,,,,,2012,107,2011,106,2010,108,2007,99,2006,102,95,3,2,0,98,1,1,0,100,0,0,0,92,1,5,2,96,1,2,1,99,1,0,0,4.9,7.0,2.1,34.2,1.0,6.1,8.4,36.4,0.1,7.8,13.0,35.8,0.2,7.6,10.8,33.9,2014,Many provisions law,2003,Medium,2011,Yes,,No Fortification,,,,.,,,,,,,,
