indicator,year,region,n,value
Drinking.Unimproved,2000,Caribbean,13,8
Drinking.Safely managed,2000,Caribbean,0,
Drinking.Basic,2010,Caribbean,13,85
Drinking.Limited,2010,Caribbean,8,4
Drinking.Surface water,2010,Caribbean,13,2
Drinking.Unimproved,2010,Caribbean,13,9
Drinking.Safely managed,2010,Caribbean,0,
Drinking.Basic,2015,Caribbean,12,86
Drinking.Limited,2015,Caribbean,8,4
Drinking.Surface water,2015,Caribbean,12,1
Drinking.Unimproved,2015,Caribbean,12,10
Drinking.Safely managed,2015,Caribbean,0,
Sanitation.Basic,2000,Caribbean,13,56
Sanitation.Limited,2000,Caribbean,13,11
Sanitation.Safely managed,2000,Caribbean,0,
Sanitation.Unimproved,2000,Caribbean,13,11
Sanitation.Open defecation,2000,Caribbean,13,13
Sanitation.Basic,2010,Caribbean,13,60
Sanitation.Limited,2010,Caribbean,13,14
Sanitation.Safely managed,2010,Caribbean,0,
Sanitation.Unimproved,2010,Caribbean,13,9
Sanitation.Open defecation,2010,Caribbean,13,8
Sanitation.Basic,2015,Caribbean,12,62
Sanitation.Limited,2015,Caribbean,12,15
Sanitation.Safely managed,2015,Caribbean,0,
Sanitation.Unimproved,2015,Caribbean,12,8
Sanitation.Open defecation,2015,Caribbean,12,7
Agriculture,1990,Caribbean,,
Education,1990,Caribbean,,
Health,1990,Caribbean,,
Social protection,1990,Caribbean,,
Agriculture,2000,Caribbean,,
Education,2000,Caribbean,,
Health,2000,Caribbean,,
Social protection,2000,Caribbean,,
Agriculture,2010,Caribbean,,
Education,2010,Caribbean,,
Health,2010,Caribbean,,
Social protection,2010,Caribbean,,
Agriculture,2012,Caribbean,,
Education,2012,Caribbean,,
Health,2012,Caribbean,,
Social protection,2012,Caribbean,,
National Implementation of the International Code of Marketing of Breast Milk Substitutes,2016,Caribbean,13,Full provisions in law
Extent of Constitutional Right to Food,2003,Caribbean,4,Medium
Maternity protection (Convention 183),2011,Caribbean,13,Partial
Wheat fortification legislation ,2015,Caribbean,13,Mandatory
Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs through a primary care approach,2015,Caribbean,13,No
Bringing people into a shared space for action (%),2017,Caribbean,,
Ensuring a coherent policy and legal framework (%),2017,Caribbean,,
Aligning actions around a common results framework (%),2017,Caribbean,,
Financial tracking and resource mobilization (%),2017,Caribbean,,
Total weighed score (%),2017,Caribbean,,
Total population (000),2017,Central America,8,177316
Under-5 population (000),2017,Central America,8,16480
Urban population (%),2017,Central America,8,74
>65 population (%),2017,Central America,8,7
Under-5 mortality rate (deaths per 1000 live births),2015,Central America,8,16
GDP per capita (PPP),2016,Central America,8,14596
Poverty rates $1.90,2000-2013,Central America,8,5
Poverty rates $3.10,2000-2013,Central America,8,14
Stunting (millions),2016,Central America,8,3
Wasting (millions),2016,Central America,8,0.1
Overweight (millions),2016,Central America,7,1
Stunting (%),2016,Central America,8,15
Wasting (%),2016,Central America,8,1
Overweight (%),2016,Central America,7,6
Severe wasting (%),2016,Central America,7,0.2
Low birth weight (%),2000-2012,Central America,8,9
Adolescent overweight (%),2003-2014,Central America,0,
Adolescent obesity (%),2003-2014,Central America,0,
"Women of reproductive age, thinness (%)",1994-2015,Central America,0,
"Women of reproductive age, short stature (%)",1994-2015,Central America,0,
Women of reproductive age with anaemia (000),2016,Central America,8,7366
Women of reproductive age with anaemia (%),2016,Central America,8,16
Vitamin A deficiency in children 6-59 months (%),2013,Central America,8,10
Population classification of iodine status,1996-2001,Central America,8,Risk of iodine-induced hyperthyroidism
"Raised blood pressure, Male (%)",2015,Central America,8,22
"Raised blood pressure, Female (%)",2015,Central America,8,18
"Raised blood glucose, Male (%)",2014,Central America,8,10
"Raised blood glucose, Female (%)",2014,Central America,8,11
"Raised blood cholesterol, Male (%)",2008,Central America,8,42
"Raised blood cholesterold, Female (%)",2008,Central America,8,49
"Adult overweight and obesity, Male (%)",2014,Central America,8,60
"Adult overweight and obesity, Female (%)",2014,Central America,8,63
"Adult obesity, Male (%)",2014,Central America,8,21
"Adult obesity, Female (%)",2014,Central America,8,31
Stunting.No progress or worsening,2017,Central America,,0
Stunting.On course,2017,Central America,,2
Stunting.Some progress,2017,Central America,,2
Stunting.Insufficient data to make assessment,2017,Central America,,4
Wasting.No progress or worsening,2017,Central America,,0
Wasting.On course,2017,Central America,,4
Wasting.Some progress,2017,Central America,,0
Wasting.Insufficient data to make assessment,2017,Central America,,4
Overweight.Off course,2017,Central America,,1
Overweight.On course,2017,Central America,,3
Overweight.Insufficient data to make assessment,2017,Central America,,4
Anaemia.No progress or worsening,2017,Central America,,4
Anaemia.On course,2017,Central America,,
Anaemia.Some progress,2017,Central America,,4
Anaemia.Insufficient data to make assessment,2017,Central America,,0
EBF.No progress or worsening,2017,Central America,,0
EBF.On course,2017,Central America,,1
EBF.Some progress,2017,Central America,,1
EBF.Insufficient data to make assessment,2017,Central America,,6
"Adult obesity, female.Insufficient data to make assessment",2017,Central America,,0
"Adult obesity, female.Off course",2017,Central America,,8
"Adult obesity, female.On course",2017,Central America,,
"Adult obesity, male.Insufficient data to make assessment",2017,Central America,,0
"Adult obesity, male.Off course",2017,Central America,,8
"Adult obesity, male.On course",2017,Central America,,
"Adult diabetes, female.Insufficient data to make assessment",2017,Central America,,0
"Adult diabetes, female.Off course",2017,Central America,,8
"Adult diabetes, female.On course",2017,Central America,,0
Adult diabetes male.Insufficient data to make assessment,2017,Central America,,0
Adult diabetes male.Off course,2017,Central America,,8
Adult diabetes male.On course,2017,Central America,,0
Antenatal care (4+ visits),2003-2016,Central America,8,90
Skilled attendant at birth,1998-2016,Central America,8,92
Initiation of breastfeeding within 1 hour after birth,2003-2016,Central America,8,44
Continued breastfeeding at 1 year,1995-2016,Central America,8,46
Unmet need for family planning,1993-2016,Central America,8,13
"Severe acute malnutrition, geographic coverage",2012,Central America,0,
"Vitamin A supplementation, full coverage",2014,Central America,0,
Children under 5 with diarrhoea receiving ORS,2000-2016,Central America,8,59
Immunization coverage (DTP3),2016,Central America,8,95
Iodized salt consumption,2000-2013,Central America,3,90
Exclusive breastfeeding 0-5 months (%),1999-2015,Central America,8,21
Minimum acceptable diet 6-23 months (%),2010-2016,Central America,0,
Minimum dietary diversity 6-23 months (%),2010-2016,Central America,4,75
Undernourishment (%),1990,Central America,8,11
Undernourishment (%),1999,Central America,0,
Undernourishment (%),2009,Central America,0,
Undernourishment (%),2014,Central America,0,
Fruit and veg (grams),1990,Central America,8,358
Fruit and veg (grams),2000,Central America,8,417
Fruit and veg (grams),2010,Central America,8,396
Fruit and veg (grams),2013,Central America,8,415
Non-staples (%),1990,Central America,8,51
Non-staples (%),1999,Central America,8,53
Non-staples (%),2008,Central America,8,55
Non-staples (%),2011,Central America,4,56
Early childbearing: births by age 18 (%),2001-2015,Central America,7,21
Gender Inequality Index (score),2015,Central America,8,0.373
Female secondary education enrolment rate,2006-2012,Central America,7,84
Physicians,1998-2015,Central America,8,1.786
Nurses and midwives,1994-2015,Central America,8,2.115
Community health workers,1992-2013,Central America,0,
Drinking.Basic,2000,Central America,8,51
